name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.015Z
Swaad Food Express,<,3.6,3 Ratings,"B M Road Gandhi Nagar Mandya, Mandya",,,Casual Dining; Chinese; South Indian,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.015Z
Mani Catering Services,<,4.3,4 Ratings,"Mahadeshwara Badavane Kanakapura, Ramanagara",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.015Z
Royal Cafe,<,4.0,29 Ratings,"Alameda Aralepet, Hassan",,,Dine-in; Bar; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.015Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.015Z
Creweventor Events & Catering,<,5.0,2 Ratings,"Vyithri Kalpetta, Wayanad",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Hotel Dubai,<,3.6,420 Ratings,"Calicut Ootty Road Ripon Wynad, Wayanad",,,Multicuisine; Sea Food; North Indian,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Divine Caterers,<,5.0,1 Rating,"No 133 P kowshi Nivas Club Road, Ooty",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Royal Cafe,<,4.2,44 Ratings,"Elk Hill Elk Hill, Ooty",,,Delivery; Dine-in; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Taste Hut Caterers & Events,<,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Nammura Oota Caterers,N,4.0,59 Ratings,"Raghuvanahalli Kanakapura Road, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Alarfe,+,4.9,63 Ratings,"Anjanapura Jp Nagar 9th Phase, Bangalore",,,Tiffin Service; Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Srivasasiri Events & Caterers,+,4.6,53 Ratings,"Balaji Layout Uttarahalli, Bangalore",,07405708597,Event Decoration,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Harshitha Catering Services,+,4.8,35 Ratings,"Vigneshwara Nagara Sunkadakatte, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Royal Cafe,+,3.5,2 Ratings,"Kumaraswamy Layout, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Sriram Catering And Services,S,3.0,1 Rating,"18th Main Banashankari 1st Stage, Bangalore",,,Indian Caterers Upto 50 Persons; Caterers,false,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Royal Cafe,+,5.0,1 Rating,"2nd Main Road Jp Nagar, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Chilly Hut,C,3.9,67 Ratings,"Chemperi Chemperi, Kannur",,,Delivery; Dine-in; South Indian,true,false,false,false,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.016Z
Sai Kutera,+,4.7,3 Ratings,"Srinagara Main Road Chamarajpet, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Shree Annapoorneshwari Caterers,+,4.5,30 Ratings,"KHB Calony Basaveshwara Nagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Royal Cafe,+,4.5,2 Ratings,"Main Road Bannerghatta Road, Bangalore",,,Dine-in; Bar; Chinese,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Tawa Sagara,+,3.7,"1,082 Ratings","30th Cross Jayanagar 4th T Block, Bangalore",,,Dine-in; Casual Dining; Sea Food,false,false,false,true,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Divya Vithika Wedding Planners,D,4.8,16 Ratings,"15th Main BTM Layout 2nd Stage, Bangalore",,,Guest House Management,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Fumes Lounge,+,4.5,74 Ratings,"CL Layout Hosur Main Road, Bangalore",,,Dine-in; Lounge Bars; Chinese,true,false,false,true,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Lucky Caterers,+,4.4,10 Ratings,"Hamza Saab Lane Doddamavalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Foodiction,+,3.8,4 Ratings,"Kudlu Gate Bommanahalli, Bangalore",,,Home Delivery,false,false,false,true,false,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
Sri Sai Enterprises,+,5.0,1 Rating,"No. 86 Bommanahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
The Food Caterers,T,5.0,1 Rating,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Multicuisine Caterers,Mysore,2025-05-27T12:52:07.017Z
