name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rakshitha Catering,<,5.0,2 Ratings,"Gurur Village Ramabai Nagar, Mysore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.596Z
Taste Hut Caterers & Events,<,4.9,18 Ratings,"Thondiyil, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.596Z
Nirmala Caterers,<,3.2,7 Ratings,"6th Phase Jp Nagar, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.596Z
Indhu Ralhand Caterers,<,4.0,1 Rating,"11th Cross Jp Nagar 3rd Phase, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.596Z
Teju Caterers,<,5.0,1 Rating,"2nd Main Jp Nagar 6th Phase, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.597Z
Gayland Caterers & Furnitures,<,4.2,26 Ratings,"No.23/2 Richmond Road, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.597Z
Beijing Bites,<,3.8,"1,064 Ratings","Off Ricond Road Residency Road, Bangalore",,09054023404,Chinese Caterers; Thai Caterers,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.597Z
Sankalp Food Zone,<,5.0,1 Rating,"2nd Main Vasanth Nagar, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.598Z
Yadav Chef,<,2.8,4 Ratings,"24th Hsr Layout Sector 2, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.598Z
Shubham Restaurants & Caterers,<,3.5,1 Rating,"Intermediate Ring Rd Vivek Nagar, Bangalore",,,Dine-in; South Indian,true,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.598Z
Sagar Caterers,+,4.3,"3,124 Ratings","Palace Ground Mekhri Circle, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.598Z
R K Tent House & Caterer,+,3.5,2 Ratings,"1st Cross Ulsoor, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.599Z
The Great Maharaja Caterers,T,5.0,2 Ratings,"No. 805/B Hebbal Agri Farm, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.599Z
Rolling Pins,R,5.0,2 Ratings,"Anantharam Layout Lingarajapuram, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Thai Caterers,Mysore,2025-05-27T13:01:59.599Z
