name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Blacksands Management Consulting,<,4.4,20 Ratings,"Kantharaj Urs Road Kuvempunagar, Mysore",,08511316464,Accounting; GST Return; NRI ITR Filing,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
Dna Consulting,<,4.8,122 Ratings,"Office Vijaynagar 3rd Stage, Mysore",,08490056396,Accounting; GST Return; NRI ITR Filing,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
Manu A P and Associates,<,4.8,99 Ratings,"Vilasa Road Chamaraja Mohalla, Mysore",,07383121053,Accounting; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
Infinitude Consulting Private Limited,<,4.7,196 Ratings,"M G Road Chamarajapuram, Mysore",,08904249964,GST Return; TDS Return; Income Tax Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
AJR Associates,<,3.6,8 Ratings,"KRS Road Hootagalli, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
NIRAJ NIKHIL JAIN & ASSOCIATES,<,5.0,23 Ratings,"Narayan Shastri Road Kr Mohalla, Mysore",,09980768995,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
Roopa Swamy And Associates,<,4.3,16 Ratings,"Stage 10th Vijaynagar 3rd Stage, Mysore",,,,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.864Z
NJS Tax And HR Consultants,<,4.5,12 Ratings,"Kalidasa Road Jayalakshmipuram, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Sekhar & Associates Chartered Accountants,+,4.7,119 Ratings,"Nims Road Punjagutta, Hyderabad",,08792488601,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
CA Anusha Gupte & Associates,C,5.0,4 Ratings,"Nanded City Road Nanded City, Pune",,08460423917,Accounting; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Yogita S And Company,+,4.7,33 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Yatesh Renuke & Company,+,4.6,22 Ratings,"Erandwane Kothrud, Pune",,08460426416,GST Return; TDS Return; Income Tax Return,true,true,false,true,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Mithlesh Pardhi & Co,+,4.2,360 Ratings,"Jaitala Road Jaitala Road, Nagpur",,08511513986,GST Return; TDS Return; Income Tax Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
B R A H M & Associates,B,4.2,46 Ratings,"Jamnagar HO, Jamnagar",,,Accounting; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
TKSA SERVICES PVT LTD,T,3.5,2 Ratings,"Government Place East Esplanade, Kolkata",,08904955304,Licence; GST Return; NRI ITR Filing,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Arpit Gupta & Co,+,4.1,156 Ratings,"Westend Marg Saket, Delhi",,,,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
K K K D & CO,+,4.7,45 Ratings,"101 BP BLOCK Pitampura, Delhi",,09731820288,Accounting; GST Return; TDS Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
V V S V & CO,+,4.2,13 Ratings,"Pandav Nagar Block A, Delhi",,09035176479,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.865Z
Equiltax Private Limited,E,,,"Thapar Nagar, Meerut",,08105037165,Business Advisory Services; Name Change; IPO,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Dwarka & Co,D,4.1,97 Ratings,"Barabazar Garikhana, Shillong",,09054867046,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Rashmita & Associates Chartered Accountant,+,4.8,103 Ratings,"Surjya Nagar Udayan Vihar, Guwahati",,09035280635,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
P V Karthikeyan,+,4.4,24 Ratings,"Road K Block Kuvempunagar, Mysore",,,GST Return; TDS Return; Income Tax Return,true,true,true,true,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Lakshmi Srinivas & Co,+,4.9,132 Ratings,"Urs Road Ballal Circle, Mysore",,,Wheel Chair Accessible Entrance And Exit; Accounting; GST Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Kumarpal And Co,K,4.9,113 Ratings,"Narayan Shastry Road Kr Mohalla, Mysore",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Mayuresh & Co,+,4.8,90 Ratings,"Kantharaj Urs Road Ballal Circle, Mysore",,,Wheel Chair Accessible Entrance And Exit; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Mayuresh & Co,M,4.8,90 Ratings,"Karnataka Mandi Mohalla, Mysore",,,CA,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
Manju K & Associates,M,5.0,83 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,Wheel Chair Accessible Entrance And Exit,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
S Bhargava And Co,+,4.9,75 Ratings,"Vijaynagar Mysore, Mysore",,,Wheel Chair Accessible Entrance And Exit,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Mysore,2025-05-27T13:05:04.866Z
