name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Adithya Institute Of Management and Information Technology,<,4.3,98 Ratings,"Rao Road Vidyaranyapuram, Mysore",,,Computer Training Institutes; Language Classes For English,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.886Z
Aniframes College Of Animation Arts and Multimedia,<,4.7,414 Ratings,"Urs Road Niveditha Nagar, Mysore",,08511468778,Animation Training Institutes For Film Making; Colleges,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.886Z
Best Engineering Technologies,<,4.8,63 Ratings,"3rd Block Jayalakshmipuram, Mysore",,,Computer Training Institutes For Architectural CAD; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.886Z
Softflix,<,4.9,707 Ratings,"Maruthi Temple Road TK Layout, Mysore",,08460520016,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.886Z
Tni Technologies,<,4.7,29 Ratings,"SJCE Road TK Layout, Mysore",,08511358193,Computer Training Institutes; SAP Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.886Z
Rainbow Learners Academy,<,4.3,51 Ratings,"Cross 1st Main Sathagalli Layout, Mysore",,,Tutorials For Class IX; Tutorials,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Gk Software Technologies,<,4.4,61 Ratings,"Layout Sriramapura 2nd Stage, Mysore",,08105781162,Python Training Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Letspro Training Institute,<,4.7,250 Ratings,"Vijaynagar 2nd Stage, Mysore",,09054848120,Computer Training Institutes; Internship For CSE,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
CADPOINT,<,4.7,134 Ratings,"Udayaravi Road Kuvempunagar, Mysore",,08511521043,CAD Training Institutes; Computer Training Institutes,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Gtrac,<,4.5,176 Ratings,"5th Cross Saraswathipuram, Mysore",,08511518504,HTML Training Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
CADD Centre,+,4.7,174 Ratings,"Brigade Road Saraswathipuram, Mysore",,,2D Animation Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Talents Academy Mysuru,+,4.8,111 Ratings,"Gaddige Road Bogadi, Mysore",,08511016731,Tutorials For BE; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
The Rastriya Computer Saksharatha Samithi (rajendra Nagara - Lalithadri Pura - Ramaskrishna Nagar - Talakadu),T,3.5,2 Ratings,"Srikantapuri Extension, Nanjangud",,08460566877,Computer Training Institutes; Montessori Teacher Training Institutes,true,true,false,false,false,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Cfss Educational Trust,+,4.6,602 Ratings,"Panchamantra Road Kuvempunagar, Mysore",,,2D Animation Training Institutes; Tutorials,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Sahar Skill Development Center,+,5.0,8 Ratings,"Rajiv Nagar 2nd Stage, Mysore",,08123191712,Computer Training Institutes; Tutorials,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Inner Voice and CADD Academy,+,4.8,362 Ratings,"J S S Layout Jss Layout, Mysore",,08511203930,CAD Training Institutes; Computer Training Institutes,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Rankbook Learning and Software Solutions Pvt Ltd,+,4.3,325 Ratings,"Sandesh Arcade Saraswathipuram, Mysore",,09725570283,Computer Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Linux Academy,+,4.8,206 Ratings,"Chamaraja Double Road Kr Mohalla, Mysore",,08511344304,Computer Training Institutes; Tally Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Add CADD Training Center,+,4.6,11 Ratings,"Main Road Ramakrishnanagar, Mysore",,,3D Animation Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Edukare ITES,+,4.5,208 Ratings,"Kuvempunagar, Mysore",,08511474760,Accounting Training Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Basic Computer Centre (R),+,4.5,58 Ratings,"Nrupatunga Road Kuvempunagar, Mysore",,08511391922,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Rs It Solutions,+,4.2,45 Ratings,"ROAD Vivekananda Nagar, Mysore",,08511328176,Wifi Internet,true,true,false,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Cad Desk Mysuru ( IT DESK),+,5.0,"1,950 Ratings","5th Cross Saraswathipuram, Mysore",,08511840031,AUTOCAD Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.887Z
Crystal Sparrow,+,4.9,367 Ratings,"7th Cross Saraswathipuram, Mysore",,08511827223,Tutorials; Computer Training Institutes,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Competition Success Academy,+,4.6,14 Ratings,"JP Nagar Jp Nagar, Mysore",,,Computer Training Institutes For Adobe Photoshop 5; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Cfss Educational Trust,+,4.5,238 Ratings,"Hunsur Main Road Hinkal, Mysore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,true,true,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
SHARD Centre for Innovation,S,4.7,3 Ratings,"Navilu Road Kuvempunagar, Mysore",,07041697254,Computer Training Institutes; Python Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Emergio Games,+,4.9,150 Ratings,"Airport Road Infopark Kochi, Ernakulam",,08460448972,Computer Training Institutes; Mobile Game Development Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Indian Institute Of Computer Science,+,4.6,251 Ratings,"Vidyanagar Hubli, Hubli",,,Institutes For Distance Education MBA; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Kj's Trinity Colleges,+,4.0,"1,375 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Sir Padampat Singhania University,+,4.3,571 Ratings,"Udaipur Udaipur Surajpole, Udaipur-rajasthan",,,,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Visvesvaraya Foundation,+,4.2,"1,002 Ratings","Main Road Udaipur Surajpole, Udaipur-Rajasthan",,,Computer Engineering Colleges; Schools,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Shri Krishna University,+,4.1,"1,307 Ratings","Sagar Road Chhatrasal Chowk, Chhatarpur",,,,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Aks University (Satna M.p),+,4.0,"1,847 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
Maa Bhagwati Institute,M,4.0,905 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Computer Training Institutes,,Mysore,2025-05-27T13:06:20.888Z
