name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Elite Dental Care,<,4.6,57 Ratings,"Ring Road Junction Bogadi, Mysore",,08511495723,,true,true,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Umbrella Aesthetics Clinic,<,4.9,416 Ratings,"Mysuru Jayalakshmipuram, Mysore",,08296436036,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Ashvini Dental Clinic,<,4.8,551 Ratings,"Gokulam Main Road Gokulam, Mysore",,08511493248,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Fernandes Multi Speciality Dental Clinic and Implants Centre,<,4.3,87 Ratings,"Double Road Chamundipuram, Mysore",,08460220605,,true,false,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Manipal Hospital,<,4.6,"9,139 Ratings","Mysore Ring Road Siddique Nagar, Mysore",,08460270409,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Mahesh Dental Clinic,<,4.6,25 Ratings,"Gaddige Main Road Bogadi, Mysore",,08050998623,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Careascentan Healthcare,<,4.0,39 Ratings,"Railway Layout Hebbal, Mysore",,,,true,true,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Smile Dental Care,<,4.9,"2,392 Ratings","Double Road Saraswathipuram, Mysore",,08511155062,,true,false,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Apollo Bgs Hospitals,<,4.8,"38,790 Ratings","Road Kuvempunagar, Mysore",,08460423057,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Shine Dental Care,<,4.8,37 Ratings,"3rd Stage Vijaynagar Mysore, Mysore",,08105385362,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Dr Karunakara Nagarajegowda Multispeciality Hospital,+,4.5,90 Ratings,"Ring Road-Rajivnagar, Mysore",,09725553965,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Ntr The Dentist,+,4.7,191 Ratings,"M G Koppal Main Road Hebbal, Mysore",,08487862033,,true,false,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Smile Sure Dental,+,5.0,22 Ratings,"Jayalakshmipuram, Mysore",,08197841493,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Avini Speciality Dental Care,A,4.6,24 Ratings,"Bannur Road Yaraganahalli, Mysore",,08511839244,,true,false,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.274Z
Cauvery Dental Care,+,4.5,10 Ratings,"1st Stage Vijaynagar 1st Stage, Mysore",,,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Sukruthi Dental and Oral Care,+,4.9,207 Ratings,"Vinay Marga Siddarthanagar, Mysore",,08511523134,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Kamakshi Hospital,+,4.1,"1,455 Ratings","Kamakshi Hospital Kuvempunagar, Mysore",,08128135774,,true,true,true,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Maratts Dental,+,4.8,48 Ratings,"Devraj Urs Road Devaraja Mohalla, Mysore",,08511009488,,true,false,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Mysore Dental Care,+,4.9,"1,422 Ratings","Kalidasa Vijaynagar 1st Stage, Mysore",,09035573150,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
J S Dental Clinic,+,4.0,85 Ratings,"RTO TO COURT ROAD Chamarajapuram, Mysore",,08488097275,,true,true,false,true,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Apta Clinic,A,5.0,11 Ratings,"Road Krishnamurthy Puram, Mysore",,09980400687,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Apollo Clinic,+,4.7,"3,665 Ratings","Panchavati Circle Vv Mohalla, Mysore",,07487868573,,true,false,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Str Magnum Dental Clinic,+,5.0,2 Ratings,"Kempegowda Circle Alanahalli, Mysore",,08792491936,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Xpert Dental Care,+,4.8,11 Ratings,"Kantharaj Urs Road Kuvempunagar, Mysore",,08147094184,,true,false,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
Anoushka Healthcare,+,4.3,5 Ratings,"Road Vijaynagar 1st Stage, Mysore",,,,true,true,false,false,true,Best Dentists,,Mysore - Book Appointment Online,2025-05-27T13:12:23.275Z
