name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
HAIR SHINE Hair Transplantation &. Skin Care,<,4.6,39 Ratings,"D Subbaiah Road Ramaswamy Circle, Mysore",,09980848296,,true,true,true,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.928Z
Dr. Kavya's Skin Clinic,<,4.0,57 Ratings,"Vagdevinagar Gangotri Layout, Mysore",,07041441763,,true,true,false,false,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.928Z
Manipal Hospital,<,4.6,"9,139 Ratings","Mysore Ring Road Siddique Nagar, Mysore",,08460270409,,true,true,true,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.928Z
Apollo Bgs Hospitals,<,4.8,"38,790 Ratings","Road Kuvempunagar, Mysore",,08460423057,,true,true,true,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.928Z
Advanced Grohair & Gloskin - Mysuru,<,4.6,272 Ratings,"Kalidasa Road Jayalakshmipuram, Mysore",,09606252991,,true,true,false,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.928Z
Dr. Anudeep.T.Channaiah ( Mysore Aesthetics),<,4.8,80 Ratings,"Rd Kukkarahalli Saraswathipuram, Mysore",,08733974866,,true,true,false,false,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
Kamakshi Hospital,<,4.0,198 Ratings,"Nachannahalli Palya Jp Nagar, Mysore",,,,true,true,false,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
Dr Karunakara Nagarajegowda Multispeciality Hospital,<,4.5,90 Ratings,"Ring Road-Rajivnagar, Mysore",,09725553965,,true,true,true,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
Vigneshwara Clinic,<,4.3,25 Ratings,"2nd Phase Vijaynagar 4th Stage, Mysore",,,,true,true,false,false,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
AHIS Aesthetics- The Hair Transplant Specialist,<,4.8,544 Ratings,"Panchamantra Road Kuvempunagar, Mysore",,08460409814,,true,true,false,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
V Shine Hair Transplantation and Skin Care Center,+,4.8,110 Ratings,"Navagraha Temple Road Kr Mohalla, Mysore",,09035756950,,true,false,false,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
Umbrella Aesthetics Clinic,+,4.9,416 Ratings,"Mysuru Jayalakshmipuram, Mysore",,08296436036,,true,true,true,true,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.929Z
Sundew Cosmetic Surgery and Hair Transplant Centre,+,4.7,326 Ratings,"Shankar Mutt Layout M G Road, Mysore",,08511432207,,true,true,false,false,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.930Z
Neo Elegance Wellness Pvt Ltd,+,4.4,84 Ratings,"Urs Road Saraswathipuram, Mysore",,08460203959,,true,true,false,false,true,Best Dermatologists,,Mysore - Book Appointment Online,2025-05-27T13:11:01.930Z
