name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rocket Events,<,4.7,223 Ratings,"CPC Building Gandhi Square, Mysore",,08460302815,Event Organisers For Dance Parties; Flower Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.205Z
ABIDS,<,4.5,199 Ratings,"Ashoka Road, Mysore",,08734937880,Banquet Hall Decoration; Corporate; Photo Booth,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Srk Event Management,<,4.6,78 Ratings,"1st Phase Vijaynagar 4th Stage, Mysore",,09054698969,Photographers; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Adeventia,<,5.0,26 Ratings,"SBI Main Road Hebbal 1st Stage, Mysore",,07490033643,Corporate; Banquet Hall Decoration,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Magic Days Mysore Events,<,4.7,62 Ratings,"4th Stage Vijaynagar 4th Stage, Mysore",,09972405398,Banquet Hall Decoration; Corporate; Decorator,true,true,false,false,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Bharathee Homes Farm Stay,<,4.4,502 Ratings,"Gaddige Road Bogadi, Mysore",,08511433849,Decorator; Book Appointment; Parking Available,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Sri Nagalingeshwara Flower Decorations,<,4.4,9 Ratings,"Vajamangala Heggur Vajamangala, Mysore",,08147995989,,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Bharath Shamiyana Centre,<,5.0,3 Ratings,"Bakery Mainroad J P Nagar, Mysore",,08401432959,Birthday Party Decorators; Flower Decorators,true,true,false,false,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Frozen Celebrationzs,<,4.9,119 Ratings,"Devnur Rajivnagar, Mysore",,08511065527,On Site Services; DJ; Venue Selection,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
R K Enterprises,<,4.4,22 Ratings,"6th Cross Krishnamurthy Puram, Mysore",,09054710928,Furnitures On Rent; Flower Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.206Z
Sri Vijaya Florist,+,4.4,33 Ratings,"SBI Main Road Hebbal, Mysore",,08511519534,Balloon Backdrop; Name Printed Balloon,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.207Z
Sky Stars Events,+,4.5,29 Ratings,"2nd Cross Hebbal, Mysore",,07383396537,Balloon Backdrop,true,true,false,true,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.207Z
Nuclear Events,+,4.9,17 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Event Organizer,Popular Event Organisers,Mysore,2025-05-27T13:14:59.207Z
