name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rocket Events,<,4.7,223 Ratings,"CPC Building Gandhi Square, Mysore",,08460302815,Event Organisers For Dance Parties; Flower Decorators,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.619Z
Adeventia,<,5.0,26 Ratings,"SBI Main Road Hebbal 1st Stage, Mysore",,07490033643,Corporate; Banquet Hall Decoration,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Nuclear Events,<,4.9,17 Ratings,"Subrub Vidyaranyapuram, Mysore",,08460255672,On Site Services; In Store Collect; Same Day Delivery,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Star Events and Decorators,<,4.6,14 Ratings,"Main Road Narasimharaja Mohalla, Mysore",,08460523195,Banquet Hall Decoration; Car Decoration; Balloon Arch,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Abids,<,4.5,199 Ratings,"Opposite Town Hall Ashoka Road, Mysore",,07947196536,Banquet Hall Decoration; Corporate,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Muthus Events And Flower Decorators,<,4.9,89 Ratings,"Star Hyundai Sayyaji Rao Road, Mysore",,,Banquet Hall Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Sound Track Events,<,3.8,9 Ratings,"Thyaga Marga Siddhartha Layout, Mysore",,,Dance Troupe; Flower Decorators,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.620Z
Vinn Events,<,4.8,82 Ratings,"Madhavachar Road KR Mohalla, Mysore",,,Flex; Banquet Hall Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Karnataka Furnishers,<,4.5,2 Ratings,"B N Street Mandi Mohalla, Mysore",,,Tent House; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Dreams Creation,<,4.9,34 Ratings,"2 Main Road Udayagiri, Mysore",,,Event Organisers; Caterers,false,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Pauls Party Shikari,+,3.6,122 Ratings,"Main Road Jayalakshmipuram, Mysore",,,,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Southern Furnishers,+,4.3,26 Ratings,"Madhwachar Circle Kr Mohalla, Mysore",,,Event Organisers For Dance Parties; Event Organisers,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Prajwal Event Management,+,4.5,14 Ratings,"Bogadhi Main Road Bogadi, Mysore",,,Event Management Companies; Flower Decorators,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Events Lamp,+,4.1,10 Ratings,"Basaveshwara Road Agrahara, Mysore",,,Show Organisers; Caterers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.621Z
Align Ads And Events,+,3.9,9 Ratings,"Hebbal Main Road Metagalli, Mysore",,,Event Organisers For Dance Parties; Event Organisers,false,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
SUN Event Organiser,+,4.9,7 Ratings,"D Banmaya Road Kr Mohalla, Mysore",,,Event Organisers For Sports; Flower Decorators,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
Indian Furnishers,+,4.3,6 Ratings,"2nd Stage Udayagiri, Mysore",,,Banquet Hall Decoration; Event Decoration; 24 Hours,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
BE Harsh Catering Service,B,5.0,5 Ratings,"Vishu Moni Residency Vv Mohalla, Mysore",,,Home Delivery,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
Trishika Event Management,+,5.0,5 Ratings,"7Th Main Vijaynagar 2nd Stage, Mysore",,,Videography,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
Function Needs,+,4.8,5 Ratings,Mysore,,,,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
V L Sounds & Lightings,V,4.9,4 Ratings,"Gokulam Main Road Gokulam, Mysore",,,Event Organisers; Sound Systems On Hire,false,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
Popular Electrical & Lighting Decoration,+,4.9,4 Ratings,"3127 Sawday Road Lashkar Mohalla, Mysore",,,Event Organisers; Decorators,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Mysore,2025-05-27T13:19:06.622Z
