name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rocket Events,<,4.7,223 Ratings,"CPC Building Gandhi Square, Mysore",,08460302815,Event Organisers For Dance Parties; Flower Decorators,true,true,false,true,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.545Z
Frozen Celebrationzs,<,4.9,119 Ratings,"Devnur Rajivnagar, Mysore",,08511065527,On Site Services; DJ; Venue Selection,true,true,false,true,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.545Z
Ayva Events,<,5.0,90 Ratings,"1st Floor Rajivnagar, Mysore",,,Event Decoration; Corporate; Name Printed Balloon,true,true,false,true,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.545Z
Chirag Events,<,4.4,14 Ratings,"Kalidasa Road Vv Mohalla, Mysore",,,Event Organisers For Wedding; Event Organisers,true,true,false,false,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.546Z
Appennings Events,<,4.8,125 Ratings,"Temple Road Jayalakshmipuram, Mysore",,,,true,true,false,false,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.546Z
Vinn Events,<,4.8,82 Ratings,"Madhavachar Road KR Mohalla, Mysore",,,Flex; Banquet Hall Decoration,true,true,false,false,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.546Z
AJK CELEBRATION,<,3.9,124 Ratings,"Complex Madvachar Road Agrahara, Mysore",,,Home Delivery,true,true,false,false,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.546Z
Rakshith Enterprise,<,3.9,67 Ratings,"G Block Ramakrishnanagar, Mysore",,,Videography,true,true,false,false,false,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.547Z
Chikkamma Yatri Bhavana,<,3.8,151 Ratings,"Road Tirumakudalu Narasipura, Mysore",,,Wedding Organisers,false,true,false,false,false,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.547Z
Jj Garden,<,4.3,37 Ratings,"Mysuru Deepanagar, Mysore",,,Wedding Organisers,false,true,false,false,false,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.547Z
Punjabi Dhol Full Entertainment,+,4.7,33 Ratings,"Mysore N R Mohalla, Mysore",,,Car Rental For Wedding; Birthday Party Decorators,true,true,false,false,true,Event Organizer,Popular Wedding Organisers,Mysore,2025-05-27T13:21:11.547Z
