name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Guru Raghavendra Technology,<,3.6,60 Ratings,"12th Cross Ramanuja Road, Mysore",,08511848455,Water Tank Cleaning Services; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
Nirmala Water Tank Cleaning Services,<,4.6,78 Ratings,"2nd Phase Vijaynagar 4th Stage, Mysore",,08511312646,,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
Nanjunda Cleaning and Drinage Services,<,4.6,291 Ratings,"Bulding No 10 Gokulam 2nd Stage, Mysore",,08511444379,Cleaning Services; Residential Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
Deep Cleaning Solution Service,<,4.7,30 Ratings,"Dream House Koorgalli, Mysore",,08401800397,Foam Cleaning,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
Rise And Shine Drain Cleaners,<,3.9,6 Ratings,"Nagara Boogathagalli Alanahalli, Mysore",,08511275935,Cleaning Services For Drainage; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
Durga Drainage Cleaning Services,<,4.7,120 Ratings,"Mahadevpura Road Gandhinagar, Mysore",,08511065584,Cleaning Services; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.920Z
R S Cleaning Services,<,4.0,59 Ratings,"Pampapathi Road Saraswathipuram, Mysore",,08511511941,Cleaning Services For Building; Housekeeping Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Dms Enterprises,<,4.8,251 Ratings,"52/3 Basavanahalli Road Hinkal, Mysore",,08511068438,Cleaning Services For Glass Building; Residential Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Jaishnavi Enterprises,<,4.8,73 Ratings,"Yelwal Hobli Yelwal, Mysore",,08511222131,On Site Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Ganga Enterprises,<,3.5,2 Ratings,"Shyadanahally, Mysore",,08511420610,Residential Cleaning Services; Deep Cleaning Services,true,true,false,false,false,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Prajeeth Facility Management Private Limited,+,4.5,32 Ratings,"M SRi Nagar Maetagalli Metagalli, Mysore",,09054473149,Eco Friendly Housekeeping; Foam Cleaning,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Maruthi Enterprises,+,4.6,23 Ratings,"Mg Koppal Main Road Hebbal, Mysore",,08511469027,Cleaning Services; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Madeshwara Cleaning and Drinage Services,+,4.5,22 Ratings,"MCC Colony Jyothinagar, Mysore",,08511715184,Cleaning Services For Drainage; Residential Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Vyshnavi Cleaning Service,+,4.8,15 Ratings,"Vinayakanagara, Mysore",,08460461223,Residential Cleaning Services; Toilet Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
Aadya Service & Solutions,+,4.8,23 Ratings,"9th Cross Road Hebbal, Mysore",,08511457235,Eco Friendly Housekeeping,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.921Z
New Rehoboth Cleaning Centre,+,4.8,37 Ratings,"Double Road Kuvempunagar, Mysore",,08050906585,Residential Cleaning Services; Housekeeping Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
M S P Enterprises,+,4.6,61 Ratings,"4th Main Road Vinayakanagara, Mysore",,08401738759,Eco Friendly Housekeeping,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
Brs Cleaning Services,+,3.6,43 Ratings,"3rd Cross Kuvempunagar, Mysore",,08460297649,Cleaning Services For Drainage; Water Tank Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
R R Cleaning Services,+,4.0,5 Ratings,"Jyothi Nagar Udayagiri, Mysore",,09035178951,Residential Cleaning Services; Toilet Cleaning Services,true,true,false,false,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
Pranav Services,+,4.5,23 Ratings,"Subash Nagar Hebbal, Mysore",,08511709336,Water Tank Cleaning Services; Residential Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
Kaveri Sump And Water Tank Cleaning Services,K,4.6,14 Ratings,"2nd Phase Vijaynagar 4th Stage, Mysore",,08971810800,Water Tank Cleaning Services; Housekeeping Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
BEST Clean And Clear Services,+,5.0,28 Ratings,"Hebbal Main Road Hebbal, Mysore",,08460211287,Housekeeping Services For Commercial; Residential Cleaning Services,true,true,false,true,true,House keeping Services,Popular Cleaning Services,Mysore,2025-05-27T13:34:04.922Z
