name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
I Care Pest Control,<,4.1,69 Ratings,"Urs Road Saraswathipuram, Mysore",,08511531878,Pest Control Services; Residential Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.537Z
Raghavendra Pest Control Services,<,4.5,12 Ratings,"Road Narayan Shastri Road, Mysore",,08511136285,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.537Z
Hygiene Pest Control,<,4.9,247 Ratings,"Devmani Agrahara Agrahara, Mysore",,08511315773,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.537Z
Activ-i Pest Solutions,<,4.9,36 Ratings,"Cross Road Krishnamurthy Puram, Mysore",,08511908190,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.538Z
Protech Pest Control Services,<,4.6,182 Ratings,"Milk Centre Road Vidyaranyapuram, Mysore",,08904938970,,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.538Z
Yashas Pest Control and Allied Service Private Limited,<,3.5,2 Ratings,"6th Cross Vidyaranyapuram, Mysore",,09035079085,Pest Control Services; Residential Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.539Z
Heritage Pest Solutions,<,4.7,29 Ratings,"Main Road Lashkar Mohalla, Mysore",,06366959768,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.539Z
Maruthi Pest Control Service,<,4.5,14 Ratings,"100 Fit Road Kr Mohalla, Mysore",,09972944299,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.539Z
Sign In Services,<,4.1,4 Ratings,"13th Cross Gokulam 2nd Stage, Mysore",,08511519716,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.539Z
Pest Control Services Hindustan,<,4.3,15 Ratings,"D Subbaih Road Chamaraja Mohalla, Mysore",,08511325849,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.540Z
Pqgs Solutions Opc Pvt Ltd,+,4.0,14 Ratings,"Kacharakana Halli Hbr Layout, Bangalore",,09035175226,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.540Z
Southland Group Of Companies,+,4.2,115 Ratings,"PAPPANAICKENPALAYAM Gandhipuram, Coimbatore",,07022607720,Waterproofing; Wall Tiles,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.540Z
Fumigation Services Pvt Ltd,+,4.3,122 Ratings,"Buddu Street Parrys, Chennai",,08460425863,Residential Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.541Z
Transparent Pest Control,+,4.6,55 Ratings,"Sanmarg Nagar Airport Road Hubli, Hubli",,08401209692,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.542Z
Misckin Pest Management Co,+,4.8,177 Ratings,"Gunj Road Gunj Road Raichur, Raichur",,08460536134,Commercial Pest Control Services; Waterproofing Contractors,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.542Z
Total Solution & Pest Control Service,+,4.8,"1,088 Ratings","M G Road Bhawar Kuan, Indore",,08511358979,24 Hours,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.542Z
Ingle Pest Control,+,4.1,45 Ratings,"Jain Colony Ekta Nagar Karond, Bhopal",,08401133470,,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
City Clap,+,4.0,647 Ratings,"Main Road Namkum, Ranchi",,,,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
Active Pest Control,A,4.5,8 Ratings,"Prakash Nagar Krishna Nagar, Mathura",,08401673962,Fumigant Wholesalers; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
Kiran Enterprises Pest Control Services,+,4.7,14 Ratings,"10th Cross Road Jp Nagar, Mysore",,,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
Green INDIA Herbal Pest Control,+,4.6,14 Ratings,"Siddhartha Layout, Mysore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
Raghavendra Pest Control Services,+,4.5,41 Ratings,"Raghavendra Mutt N S Road, Mysore",,08511155349,Pre Construction Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.543Z
Indoor Pest Control,+,4.9,69 Ratings,"Cross Hebbal, Mysore",,,Pest Control Services; Residential Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
Assured Services - Herbal Pest Control Service,+,4.7,178 Ratings,"8th Main Vijaynagar 1st Stage, Mysore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
Sai Herbal Pest Control Services (Since 1994),+,4.3,6 Ratings,"Railway Layout Vijaynagar Mysore, Mysore",,,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
Kiran Pest Control,K,5.0,2 Ratings,"Saptagiri BSK Bangalore, Mysore",,,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
I Care Pest Control,I,5.0,1 Ratings,"Station Road Ashok Nagar Mandya, Mandya",,08460497605,24 Hours,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
Nisarga Enterprises,N,5.0,1 Ratings,"Coorg Madikeri, Coorg",,08460421273,Pest Control Services; Residential Pest Control Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
Assured Herbal Pest Control Services,A,4.9,8 Ratings,"No 344 Lyice Villa Kushalnagar, Coorg",,,Commercial Pest Control Services; Cleaning Services,true,true,false,true,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
ARCHAKARAHALLI SHIVARUDRAIAH MAHESH,A,5.0,7 Ratings,"Archakarahalli Ijoor, Ramanagara",,,Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
CMP Pest Control Services,+,4.3,11 Ratings,"Babasabarapalya Kengeri, Bangalore",,,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,House keeping Services,Trusted Pest Control Services,Mysore,2025-05-27T13:35:07.544Z
