name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Phoenix Groups,<,4.5,153 Ratings,"Double Road Kuvempunagar, Mysore",,08511288043,Residential; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.310Z
Herambasiri Constructions And Consultant,<,3.5,2 Ratings,"Vijaynagar 4th Stage, Mysore",,08460412856,Industrial; Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
E P Construction,<,4.1,10 Ratings,"Gokulam 3rd Stage, Mysore",,,Residential; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
Sj Construction,<,4.7,8 Ratings,"Saraswathipuram Saraswathipuram, Mysore",,08460418800,,true,false,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
Belaku Associates,<,4.9,50 Ratings,"Udayaravi Road Kuvempunagar, Mysore",,,Residential; Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
Skyline Architects & Builders,<,5.0,54 Ratings,"Police Station Kuvempunagar, Mysore",,08511456653,Industrial; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
New Vision Construction,<,5.0,17 Ratings,"Bogadi 2nd Stage Bogadi, Mysore",,08460391366,Building; Apartment,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
Shree Krishna Groups,<,3.5,2 Ratings,"Mg Road Sunnadakeri, Mysore",,09972446264,Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
Brick & Bolt,<,4.1,14 Ratings,"3rd Block Jayalakshmipuram, Mysore",,08147940547,Building; Residential,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
ARHA ARCHITECTS & ENGINEERS,<,4.9,51 Ratings,"Road Vijaynagar 4th Stage, Mysore",,08050670588,Residential; Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Mysore,2025-05-27T13:38:05.311Z
