name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Dream Zone,<,4.5,131 Ratings,"Chennaiah Road Saraswathipuram, Mysore",,08511597140,3D Animation Training Institutes; Fashion Designing Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Premiere CADD Services,<,4.9,386 Ratings,"5th Cross Saraswathipuram, Mysore",,08511515795,AUTOCAD Training Institutes; Interior Designing Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
PERFECT ARCHITECTURE & DESIGN STUDIO,<,4.8,205 Ratings,"Tnarsipura Main Road Alanahalli, Mysore",,08105109975,Architectural Institutes; AUTOCAD Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Athreya Interiors,<,4.6,15 Ratings,"Navilu Road Kuvempunagar, Mysore",,09845246137,Interior Designers; Furniture Manufacturers,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Cfss Educational Trust,<,4.5,238 Ratings,"Hunsur Main Road Hinkal, Mysore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
NCFT Heights Institute,<,4.5,119 Ratings,"Trivandaram Road Palayamkottai, Tirunelveli",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Kj's Trinity Colleges,<,4.0,"1,375 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Vastukar Architect and Project Consultant,<,4.4,187 Ratings,"Nageswar Tangi Bhubaneswar, Bhubaneshwar",,,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Aks University (Satna M.p),<,4.0,"1,847 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Augmintech Education Pvt Ltd,<,3.0,2 Ratings,"Main Road 17 Mango, Jamshedpur",,09054859277,Institutes For Hvac Engineering; Interior Designing Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Maa Bhagwati Institute,M,4.0,905 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.819Z
Mediversity Education Council,+,4.6,16 Ratings,"Main City Delhi Delhi Cantt, Delhi",,08460303856,Government Verified; Online Estimates; CCTV Surveillance,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Softflix Training Institute,+,4.8,13 Ratings,"Temple Road Saraswathipuram, Mysore",,09606170610,Computer Training Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Canara Institute Of Design,+,4.5,72 Ratings,"Bannur Main Road Alanahalli, Mysore",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Cadpoint Engineering Solutions,+,4.8,120 Ratings,"Swamy Temple Road Chamarajapuram, Mysore",,,Colleges; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Queens School Of Design,+,4.2,237 Ratings,"Udayaravi Road Kuvempunagar, Mysore",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Mysore Institute Of Fashion Technology,+,4.3,174 Ratings,"Nagar A Block Ananda Nagar, Mysore",,,Fashion Designing Diploma Institutes; Fashion Designing Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Centre For Architecture,+,4.5,165 Ratings,"Chamaraja Mohalla, Mysore",,,Architectural Institutes; Colleges,false,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
School Of Planning And Architecture,+,4.2,118 Ratings,"Manasagangothri, Mysore",,,Architectural Institutes; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Mysore School Of Architecture,+,4.3,102 Ratings,"Lingambudi Mysore Ho, Mysore",,,Fashion Designing Institutes; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Cresign Solutions Pvt Ltd,+,4.5,44 Ratings,"No.465 M G Road, Mysore",,,Computer Training Institutes For Architectural CAD; Computer Training Institutes,false,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Great Indian Career Academy,+,4.8,28 Ratings,"Road Arvind Nagar, Mysore",,,Placement Services (Candidate); Fashion Designing Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
NIIT Ltd,+,3.5,31 Ratings,"Vinayaka Marga Siddarthanagar, Mysore",,,Interior designing institutes,false,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Inner Voice & CADD Academy,I,4.9,12 Ratings,"No.122 Jayanagar, Mysore",,,Interior Designing Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Queens School Of Design,+,4.2,12 Ratings,"BM Habitat Mall Jayalakshmipuram, Mysore",,,Fashion Designing Institutes; Interior Designing Institutes,false,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Canara Institute Of Design,C,4.5,8 Ratings,"U College Road Siddhartha Layout, Mysore",,,Institutes For Designing; Fashion Designing Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Alpha School Of Fashion Technology and Interior Design,+,5.0,1 Ratings,"No 123 Srirampura, Mysore",,,BSc Fashion Designing Institutes; Fashion Designing Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Educadd Mandya,+,4.9,25 Ratings,"1st Subash Nagar Mandya, Mandya",,,Computer Training Institutes For Architectural CAD; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
PRIEST ACADEMY,+,4.8,21 Ratings,"Priest Academy Sulthan Bathery, Wayanad",,,Computer Training Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Maxx Interior Academy,M,4.8,14 Ratings,"Sultan Bathery Sulthan Bathery, Wayanad",,,Interior Designing Institutes; Institutes For Diploma In Interior Designing,true,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
NIIT Ltd,+,5.0,3 Ratings,"Salagame Road, Hassan",,,Interior designing institutes,false,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Impact Architects & CAD Training Centre,+,4.8,127 Ratings,"Salagame Road Salagame Road, Hassan",,,BSc Interior Designing Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Cindrebay School Of Fashion & Interior Design,+,2.8,2 Ratings,"Kalpetta, Wayanad",,,Interior Designing Institutes; Computer Training Institutes,true,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
Engineers Cad Studio,+,4.9,167 Ratings,"Green Land Nagar Kalpetta, Wayanad",,07411579370,3D Animation Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Mysore,2025-05-27T13:44:13.820Z
