name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Classic Enterprises,<,4.8,186 Ratings,"Convent Road Lashkar Mohalla, Mysore",,08511155141,Battery Scrap,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.384Z
Old 2 New Shop,<,3.9,32 Ratings,"Ashoka Road Ashoka Road, Mysore",,08488967877,Battery Scrap,true,false,false,false,false,Scrap Dealers,,Mysore,2025-05-27T14:06:22.385Z
A N Enterprises,<,4.8,9 Ratings,"CV Road Bannimantap, Mysore",,07411559121,Battery Scrap,true,false,false,false,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.385Z
Aliya Steel Enterprises,<,4.4,35 Ratings,"Hd Kote Road Srirampura, Mysore",,,Battery Scrap,true,false,false,false,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.385Z
Rihan Enterprises,<,3.8,48 Ratings,"1st A Main Road Peenya, Bangalore",,09980027993,Battery Scrap,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.385Z
K P P Alloys,<,4.1,31 Ratings,"Laggere Road Peenya, Bangalore",,07048501049,Battery Scrap,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.386Z
Aisha Enterprises,<,3.7,3 Ratings,"Mangalya Choutry Doddaballapur, Bangalore",,08734946962,Battery Scrap,true,false,false,false,false,Scrap Dealers,,Mysore,2025-05-27T14:06:22.386Z
S A Enterprises,<,4.1,14 Ratings,"Bypass Road Hassan City, Hassan",,09054506825,Battery Scrap,true,false,false,false,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.386Z
Indian Steels,<,4.0,21 Ratings,"Kiadb Industrial Area Hirehali, Tumkur",,07383802862,Steel Scrap Buyers; Scrap Dealers,true,false,false,false,false,Scrap Dealers,,Mysore,2025-05-27T14:06:22.386Z
Sri Murugan Traders,<,4.3,18 Ratings,"Aandan Koil Road Karur West, Karur",,08401748423,Battery Scrap,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.386Z
South Indian Scrap Traders,S,4.1,99 Ratings,"Palarivattom, Ernakulam",,,Aluminium Scrap Buyers; Scrap Buyers,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
Hindustan Traders,+,4.3,34 Ratings,"Taluk Pj Extension Davangere, Davangere",,,Battery Scrap,true,false,false,false,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
Genuine Enterprises,+,2.0,4 Ratings,"Kamarajar Street Sriperumbudur, Kanchipuram",,09972361269,Battery Scrap,true,false,false,false,false,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
Shakti Sales Corporation,+,4.1,348 Ratings,"Bethora Bypass Road Ponda, Goa",,,Plastic Scrap Dealers; Scrap Dealers,true,false,false,true,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
S K Enterprises,+,4.3,14 Ratings,"B Road Hubli Gavi Oni, Hubli",,09725463865,Battery Scrap,true,false,false,false,true,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
Prime Steels & Paints,+,3.6,14 Ratings,"Temple Street Bellary HO, Bellary",,,Cement Dealers-ACC; Cement Dealers,true,false,false,true,false,Scrap Dealers,,Mysore,2025-05-27T14:06:22.387Z
