name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Phoenix Security Services,<,5.0,25 Ratings,"Ramanjua Road Agrahara, Mysore",,08197304663,Guest House Management; Housemaid; Security,true,false,false,false,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.632Z
Sathvik Associates,<,4.5,20 Ratings,"18th Cross Jayanagar, Mysore",,08460195363,,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.632Z
Sri Bhavya Enterprises,<,4.4,284 Ratings,"Hebbal Main Road Hebbal, Mysore",,08511325667,Rent Agreement; Background Verification; Aadhaar Card Lamination,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.632Z
Ekadanta Security Services Pvt Ltd,<,3.9,41 Ratings,"Ananda Nagar, Mysore",,07383076697,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,false,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.632Z
Slv Management Services,<,4.2,12 Ratings,"BK Street Devaraja Mohalla, Mysore",,08511490174,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
Nandi Security and Allied Services,<,4.8,185 Ratings,"Hebbal Main Road Metagalli, Mysore",,08460505369,Bodyguard; Bouncer Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
Sharp Intelligence Bureau,<,4.5,46 Ratings,"BG Road Bilekahalli, Bangalore",,09980224063,Bodyguard,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
Location One Facility Management Services Private Limited,<,4.2,30 Ratings,"Market Road Ernakulam Bazar, Ernakulam",,07383061424,Bodyguard; Bouncer Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
Kalmeshwar Industrial And Security Service,<,4.0,16 Ratings,"Court Circle Neeligin Road Hubli, Hubli",,08401237168,Bouncer Services; Armed Security Services; Bodyguard,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
Avengers Facility Services,<,4.7,180 Ratings,"Abdulla Khan Estate Gandhi Nagar, Kurnool",,08401332171,,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.633Z
GRPS SECURITY AND FACILITY MANAGEMENT SERVICE PVT.LTD,+,4.8,24 Ratings,"Gandhi  Nagar Gokul Road, Hubli",,08490086960,"Registration-ESIC, EPFO, GST, PSARA Licence.; Facility Management; Bodyguard",true,false,false,false,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
KJ Security Agency,K,3.9,17 Ratings,"Praja Nagar Navanagar Hubli, Hubli",,09980713485,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
Lion Heart Force,+,4.4,51 Ratings,"Stand Ashram Road Bijapur City, Bijapur-Karnataka",,08734976472,Bodyguard; Armed Bodyguard; Bouncer Services,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
Lion Security Guard & Manpower Agency,L,4.0,3 Ratings,"Opp Basva Pu College Sedam Road, Gulbarga",,08904246083,Bodyguard; Armed Security Services; Bouncer Services,true,false,false,false,false,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
Royal Security Force and Allied Services,+,4.3,96 Ratings,"PUDI MAIN ROAD V.l.puram, Rajahmundry",,08128274453,Bodyguard; Bouncer Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
YLALA SECURITY & MANPOWER PRIVATE LIMITED,+,4.6,68 Ratings,"Bhandara Road Bagadganj, Nagpur",,08511796849,Atm Security Guard; Home Security Guard; Background Verification,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
Sandhu Security Service,S,3.0,2 Ratings,"Stand Vadodara Mahanagar Palika, Vadodara",,09035041846,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,false,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
Hindustan Security Service,H,4.4,36 Ratings,"Mega Mall Ambedkarnagar, Surendra Nagar-Gujarat",,07405935633,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
United Security Service,+,4.6,108 Ratings,"Office No. 418 Yagnik Road, Rajkot",,08401607590,,true,false,false,true,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
VICTUS SECURITY & MANSOURCE PVT LTD,V,4.3,34 Ratings,"Khelgaon Hotwar, Ranchi",,07801998519,Bodyguard; Bouncer Services; Armed Security Services,true,false,false,false,true,Security System,Trusted Bodyguard Services,Mysore for Your Safety and Security,2025-05-27T14:10:59.634Z
