name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Annannya Travels and Cargo,<,4.1,234 Ratings,"Sundar Arcade Bn Road Mysore, Mysore",,07383031384,Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.767Z
Sri Gajalakshmi Cargo Movers,<,5.0,4 Ratings,"23rd Cross Vijaynagar 3rd Stage, Mysore",,09724701636,Bulk Cargo Service; Factory Relocation; Packers And Movers,true,false,false,false,false,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.767Z
SPS Roadlines & Logistics,<,4.2,35 Ratings,"Industrial Area Hootagalli, Mysore",,08511278232,Domestic Courier; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.767Z
Jaipur Golden Transport,<,3.8,24 Ratings,"C  LANE J.M ROAD Cubbonpet, Bangalore",,09845217514,Transporters For Hyderabad; Transporters,true,false,false,false,false,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Kaveri Cargo Movers,<,4.4,95 Ratings,"Bank Colony Chinnavedampatti, Coimbatore",,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Jayasri Road Lines,<,4.5,28 Ratings,"PN Road Kumarnanthapuram, Tirupur",,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Sri Vigneshwara Logistics,<,4.2,52 Ratings,"DDUTTL Yeshwanthpur, Bangalore",,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Sri Ganapathy Transport and Traveling Agency,<,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Promax Logistics,<,3.9,29 Ratings,"Coimbatore Aerodrome, Coimbatore",,08460645239,Domestic Courier,true,false,false,true,false,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
South Trailer Service,<,4.1,85 Ratings,"Anbu Nagar 2 Anbu Nagar, Namakkal",,08128985542,Trucks On Rent; Domestic Courier,true,false,false,false,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.768Z
Vmtc Logistics,+,4.4,37 Ratings,"Ansari Bunder, Mangalore",,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
Vgo Truck Booking,V,2.5,2 Ratings,"Victoriya Main Road Woriyur, Trichy",,08904585500,Cargo Service; Transporters For Cargo,true,false,false,false,false,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
Sri Ayyanar Transport,+,4.3,134 Ratings,"Bypass Road Thiruvanaikoil, Trichy",,08488804905,Trailer Transporters; Transporters,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
Geetham Transport Service,+,4.6,90 Ratings,"Naal Road Tirupur East, Tirupur",,08147951873,Trucks On Rent; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
Sri Periyasamy Lorry Transport And Booking Office,+,4.1,29 Ratings,"Salem Road Andagalur, Namakkal",,08401269964,Transporters For Andhra Pradesh; Transporters,true,false,false,true,false,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
Arja Energys Private Limited,+,4.5,10 Ratings,"Road Binny Compound Main Road, Tirupur",,08460445740,Transporters; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Container,Mysore,2025-05-27T13:55:09.769Z
