name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Adithya Institute Of Management and Information Technology,<,4.3,98 Ratings,"Rao Road Vidyaranyapuram, Mysore",,,Computer Training Institutes; Language Classes For English,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.895Z
Edukare ITES,<,4.5,208 Ratings,"Kuvempunagar, Mysore",,08511474760,Accounting Training Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Letspro Training Institute,<,4.7,250 Ratings,"Vijaynagar 2nd Stage, Mysore",,09054848120,Computer Training Institutes; Internship For CSE,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Rainbow Learners Academy,<,4.3,51 Ratings,"Cross 1st Main Sathagalli Layout, Mysore",,,Tutorials For Class IX; Tutorials,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Sahar Skill Development Center,<,5.0,8 Ratings,"Rajiv Nagar 2nd Stage, Mysore",,08123191712,Computer Training Institutes; Tutorials,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Softflix,<,4.9,707 Ratings,"Maruthi Temple Road TK Layout, Mysore",,08460520016,Computer Training Institutes For Basic; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Rankbook Learning and Software Solutions Pvt Ltd,<,4.3,325 Ratings,"Sandesh Arcade Saraswathipuram, Mysore",,09725570283,Computer Training Institutes; Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Cfss Educational Trust,<,4.5,238 Ratings,"Hunsur Main Road Hinkal, Mysore",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Cfss Educational Trust,<,4.6,602 Ratings,"Panchamantra Road Kuvempunagar, Mysore",,,2D Animation Training Institutes; Tutorials,true,true,false,true,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
Competition Success Academy,<,4.6,14 Ratings,"JP Nagar Jp Nagar, Mysore",,,Computer Training Institutes For Adobe Photoshop 5; Computer Training Institutes,true,true,false,false,true,Vocational training,Popular Computer Training Institutes For Basic,Mysore,2025-05-27T14:21:09.896Z
