name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shine Computers,+,4.1,182 Ratings,"Hebbal Main Road Hebbal, Mysore",,08511344371,Assembled Computer Repair & Services; Security Services,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.645Z
Kaneesh It Solutions,+,4.9,99 Ratings,"School Road Vishweshwara Nagar, Mysore",,09972949096,Computer Repair; Computer AMC; Computer Hardware Repair,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.645Z
Coretech Solutions,+,4.9,573 Ratings,"Vilas Road Devaraja Mohalla, Mysore",,08488903455,Laptop Dealers-Dell; Computer Repair & Services,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.645Z
Sri Mahalakshmi Enterprises,+,4.8,47 Ratings,"1st Stage Metagalli, Mysore",,08511470655,Socket; 24 Hours Open; CCTV Surveillance,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.645Z
Mysore Computers and Laptop Services,+,4.9,59 Ratings,"Vinaya Marga Siddarthanagar, Mysore",,09008629377,Computer Repair & Services; Laptop Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Alw Technologies,+,4.8,71 Ratings,"Bogadi Maon Road Bogadi, Mysore",,08904607598,Mobile Phone Repair & Services; CCTV Dealers,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
A2z Computers Sales and Services,+,4.0,162 Ratings,"K T Street Mandi Mohalla, Mysore",,08511479700,Computer Repair & Services; Laptop Repair & Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Goutham Computers,+,4.3,128 Ratings,"5th Cross Saraswathipuram, Mysore",,08511275230,Computer Repair & Services; CCTV Installation Services,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Girias Investment Pvt Ltd,+,4.0,"1,056 Ratings","Bn Road Mysore, Mysore",,07383074713,Company Authorised Dealer,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
S N S Computer Garage,+,3.5,2 Ratings,"5th Cross Saraswathipuram, Mysore",,08460519138,Laptop Repair & Services; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
G S Infoworld,+,4.1,95 Ratings,"Circle Vijaynagar 2nd Stage, Mysore",,,Assembled Computer Repair & Services; CCTV Installation Services,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Rs It Solutions,+,4.2,45 Ratings,"ROAD Vivekananda Nagar, Mysore",,08511328176,Wifi Internet,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
V T Soft Solution,+,5.0,19 Ratings,"Jayalakshmipuram, Mysore",,08904592870,Computer Dealers; Computer Software Dealers,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Laptop's Service Center Vijayanagar,+,4.5,175 Ratings,"Main Vijaynagar 2nd Stage, Mysore",,08732922610,Computer Repair & Services-Dell; CCTV Installation Services,true,false,false,false,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Global It Solution,+,4.8,54 Ratings,"R S NaiduNagar Naidunagar, Mysore",,08460502977,Computer Repair; Computer Accessory Repair; Computer AMC,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Rrmindfo Solutions (Opc) Pvt Ltd,+,4.8,287 Ratings,"13th Cross Narasimharaja Mohalla, Mysore",,08460262707,Dynamic Internet Website Designers; Computer Software Developers,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.646Z
Girias Investment Pvt Ltd,+,3.0,2 Ratings,"M H Road Krishnarajanagara, Mysore",,09724989514,Mobile Phone Dealers; Electronic Goods Showrooms,true,false,false,false,false,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.647Z
Dushyanth Laptops,+,4.9,28 Ratings,"St Amin Gokulam 2nd Stage, Mysore",,09972345094,Computer Repair & Services; Laptop Repair & Services,true,false,false,true,true,Vocational training,Popular Computer Dealers,Mysore,2025-05-27T14:22:10.647Z
