name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Jr Cooling Solution,<,4.7,3 Ratings,"Old Mandli Mandli, Shimoga",,09724594637,Washing Machine Repair & Services; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.485Z
Safa Refrigeration Home Appliances Service Center,<,3.6,14 Ratings,"Gopala Gandhi Bazar, Shimoga",,09054820711,AC Repair & Services-Hitachi; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.485Z
B M Z Electronics,<,4.8,19 Ratings,"Anjanayya Circle Rml Nagar, Shimoga",,08460526595,LED TV Repair & Services; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.485Z
Cool AIR Systems,<,4.3,29 Ratings,"ANK ROAD Durgigudi, Shimoga",,,AC Repair & Services-Hitachi; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
Sadhana Trading Company,<,4.1,123 Ratings,"Nehru Road Nehru Road, Shimoga",,,Electronic Goods Showrooms; TV Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
Cool Zone Ac,<,5.0,3 Ratings,"Ot Road Shimoga Market, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
S K Used Refrigerator,<,5.0,3 Ratings,"Bypass Road Achutha Rao Layout, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
Aditya Enterprises,<,4.6,18 Ratings,"BH Road Bhadravathi, Bhadravathi-Karnataka",,,Electronic Goods Showrooms; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
Mza Private Limited,<,4.7,17 Ratings,"Double Road Bh Road Shimoga, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.486Z
Sri Ram Refrigeration,<,4.6,7 Ratings,"Bommanakatte Vinoba Nagar, Shimoga",,,AC Repair & Services; AC Repair & Services-Carrier,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Cool INDIA,C,5.0,12 Ratings,"Baskar Layout 7th Cross Urgadur, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Zee Enterprises,+,4.6,44 Ratings,"1st Main 5th Cross Vinoba Nagar, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Syed's Cool Point,+,5.0,11 Ratings,"Road Shiralakoppa, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Raw Refrigeration,+,3.5,3 Ratings,"1st Parallel Road Durgigudi, Shimoga",,,Washing Machine Repair & Services-LG; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
As Refrigation,A,5.0,3 Ratings,"Badavane Rippon Pete Ripponpet, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Chetana Groups,+,4.4,5 Ratings,"Complex Jail Road Shimoga, Shimoga",,,Washing Machine Repair & Services; AC Repair & Services,false,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Quick Care,+,4.8,75 Ratings,"Road RML Nagar SHIMOGA CITY, Shimoga",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Steven Electricals And Refrigeration,S,4.8,54 Ratings,"Thirthahalli Thirthahalli, Shimoga",,,AC Repair & Services; Refrigerator Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Qdigi Services Ltd,Q,3.8,60 Ratings,"N T Road Durgigudi, Shimoga",,,Computer Repair & Services-Samsung; TV Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.487Z
Venus Cooling Solution,+,4.6,31 Ratings,"60 Ft. Road Vinoba Nagar Shimoga, Shimoga",,,AC Dealers-Daikin; AC Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Smart Tech Zone,+,4.7,22 Ratings,"Nagara Bhadravathi Old Town, Bhadravathi-Karnataka",,,Refrigerator Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
Sagar Refrigeration And Services,+,3.8,24 Ratings,"New Bridge Raod Bhadravathi, Bhadravathi-Karnataka",,,Refrigerator Repair & Services-Videocon; Washing Machine Repair & Services,true,true,false,false,false,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
S K Service,+,4.5,15 Ratings,"Vidya Nagar, Shimoga",,,AC Repair & Services-Daikin; AC Repair & Services,true,true,false,true,true,AC Repair & Services,,Shivamogga,2025-06-03T13:19:42.488Z
