name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shi Chamudeshwari Devi Jyothishalaya,<,5.0,3 Ratings,"Vinoba Nagar, Shimoga",,07411809780,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.383Z
Sri Guru Raghavendra Jothisalaya,<,4.3,9 Ratings,"Gandhi Bazar, Shimoga",,08460253775,,true,false,false,true,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.384Z
Kerala and Kollegala Mantrika Jyotishyaru,<,3.9,67 Ratings,"Shimoga Bh Road Bhadravathi, Bhadravathi-Karnataka",,09725959782,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.384Z
Sri Lakshminarasimha Swami Jyothishya Kendra,<,5.0,1 Ratings,"BUS STOP Ravindra Nagar Shimoga, Shimoga",,08050860831,,true,false,false,true,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.384Z
Sri Adhishakthatmaka Horanadu Annapurneshwari Astrolagy,<,2.8,2 Ratings,"1st Cross Gandhi Nagar, Shimoga",,08971373893,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.385Z
Kerala No1 Vashikaran Specialist Shri Bhagavati Jyothishyaru,<,4.9,319 Ratings,"Salagame Road Aralepet, Hassan",,08487048815,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.385Z
Gokarna Puja Punyaasharma,<,4.8,555 Ratings,"Uttara Kannada Gokarna, Gokarna",,07043982200,,true,false,false,true,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.385Z
No 1 Vashikaran Specialist India,<,4.9,137 Ratings,"Bus Bus Stand Road Hassan, Hassan",,07048604341,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.386Z
Kerala Mahamanthrika Astrology,<,5.0,48 Ratings,"Bus Bus Stand Road Hassan, Hassan",,09035242176,,true,false,false,false,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.386Z
National Gold Medalist Vashikarn Specialist Kerala Mantrika Astrologer,<,5.0,"1,534 Ratings","Bejai, Mangalore",,08511493001,,true,false,false,true,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.386Z
National ASTRO RATNA Award Winner - Kerala Sri Panchagayathri Famous Astrologers,+,5.0,"1,905 Ratings","Bunder Bhavanthi Street, Mangalore",,,,true,false,false,true,true,Astrologers,,Shivamogga,2025-06-03T13:21:31.386Z
