name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Body Craft Beauty,<,3.8,5 Ratings,"Durgigudi, Shimoga",,08792912281,Waxing; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.872Z
Bestie Family Unisex Saloonandspa,<,4.2,5 Ratings,"Main Raod Jail Road Shimoga, Shimoga",,08401093769,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.872Z
Raaga Wellness Skin Laser Beauty & Spa,<,3.9,24 Ratings,"Main Road Bh Road Shimoga, Shimoga",,07041643542,,true,true,false,true,false,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Iconic Look By Preethi,<,4.8,22 Ratings,"Ashoka Nagar Anna Nagar, Shimoga",,08460217695,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Siris Makeover Studio,<,5.0,4 Ratings,"Durgigudi Main Road Durgigudi, Shimoga",,08460501561,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Loreals Red Carpet,<,4.2,446 Ratings,"100ft Road Gopala Extension, Shimoga",,09725080459,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Lathe Herbal Beauty Parlour,<,4.4,22 Ratings,"Extension Gopala Extension, Shimoga",,09035669170,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Alankar Family Saloon And Spa,<,3.4,54 Ratings,"Jaideva Complex Durgigudi, Shimoga",,08128836770,,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.873Z
Luxury Beauty Family Saloon,<,3.7,3 Ratings,"Main Road Savalanga Road, Shimoga",,08460419110,Home Services Offered; Bridal Makeup,true,true,false,false,false,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.874Z
Dreams Unisex Salon and Beauty Parlour,<,4.7,50 Ratings,"Kuvempu Road Kuvempu Road, Shimoga",,08735984545,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Shivamogga,2025-06-03T13:30:49.874Z
