name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Invouge Saloon And Spa,<,4.5,255 Ratings,"Textile Nehru Road Shimoga, Shimoga",,08401138042,Home Services Offered; Hair Spa; Thai Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.121Z
Angel Wings Spa And Saloon And Academy,<,3.9,122 Ratings,"Police Station Road Durgigudi, Shimoga",,08105072648,Thai Massage,true,true,false,true,false,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.122Z
Raaga Wellness Skin Laser Beauty & Spa,<,3.9,24 Ratings,"Main Road Bh Road Shimoga, Shimoga",,07041643542,Thai Massage; Aroma Massage,true,true,false,true,false,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.122Z
Thai Center,<,4.1,53 Ratings,"Jayanar Road Jayanagar Shimoga, Shimoga",,08128765917,Thai Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.122Z
Lotus Lens Unisex Saloon,<,4.0,69 Ratings,"Lbs Nagar Savalanga Road, Shimoga",,08128771810,Thai Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.123Z
Empire Salon And Spa,<,4.2,210 Ratings,"Bh Road Bhadravathi, Bhadravathi-Karnataka",,,Hair Spa; Thai Massage,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.124Z
Aroma International Skin Laser Beauty Salon And Spa,<,4.0,82 Ratings,"100ft Road Vinoba Nagar, Shimoga",,09725069733,Thai Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.124Z
Beautyc,<,4.1,442 Ratings,"1st Cross Durgigudi, Shimoga",,08128531665,,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.125Z
Olympic Unisex Salon,<,4.1,457 Ratings,"Nehru Road Nehru Road Shimoga, Shimoga",,,Home Services Offered; Thai Massage; Aroma Massage,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.125Z
Lathe Herbal Beauty Parlour,<,4.4,22 Ratings,"Extension Gopala Extension, Shimoga",,09035669170,Home Services Offered; Hair Spa,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.125Z
Natural Unisex Salon & Haircut,+,4.2,55 Ratings,"Main Road Savalanga Road, Shimoga",,08123845949,Home Services Offered; Hair Spa,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.126Z
Alankar Family Saloon And Spa,+,3.4,54 Ratings,"Jaideva Complex Durgigudi, Shimoga",,08128836770,,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.126Z
Star Beauty Family Salon And Spa,+,4.6,106 Ratings,"City Center Bh Road Shimoga, Shimoga",,09035647180,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.126Z
Malnad Thai Spa & Therapy,+,4.0,93 Ratings,"Karnatak Sangha Bh Road Shimoga, Shimoga",,07487862109,Hair Spa; Thai Massage,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.126Z
U R Lucky Star Unisex Saloon,+,3.5,16 Ratings,"Shankar Mutt Road Shimoga, Shimoga",,09980151990,Thai Massage,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.127Z
Star Wings,+,4.0,34 Ratings,"100feet Road Vinoba Nagar, Shimoga",,07487979460,Thai Massage,true,true,false,true,true,Beauty Spa,Popular Beauty Spas,Shivamogga,2025-06-03T13:33:52.127Z
