name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sln Caterers,<,4.4,14 Ratings,"B B Street Durgigudi, Shimoga",,,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.340Z
Iyer Catering,<,4.7,29 Ratings,"Pension Mohala Bh Road Shimoga, Shimoga",,08904600908,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.340Z
Navyashree Catering Services,<,3.8,10 Ratings,"100 Feet Road Durgigudi, Shimoga",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.341Z
D C S Group Catering,<,3.2,12 Ratings,"Nagar Sharavathi Nagar, Shimoga",,09724044969,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.341Z
Janatha Events And Management,<,4.0,1 Ratings,"H H road Bhadravathi Paper Town, Shimoga",,08296304716,Flower Decorators; Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.342Z
Malnad Hotel,<,3.5,596 Ratings,"Sir Mv Road Tilaknagar Shimoga, Shimoga",,,,false,false,false,true,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.342Z
Sri Vishnu Bhojanalaya & Caterers,<,4.5,780 Ratings,"Shivamogga Gandhi Bazar, Shimoga",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.342Z
Bsr Caterers,<,5.0,1 Ratings,"3rd Cross Road Gopala Extension, Shimoga",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.342Z
Kaveri Fish Land,<,3.9,658 Ratings,"Hole Bus Stop Bh Road Shimoga, Shimoga",,,,true,false,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.343Z
Anugraha Mess,<,4.7,30 Ratings,"1st Cross Road Durgigudi, Shimoga",,,,true,false,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.343Z
Katti Crew Event Management,+,4.6,79 Ratings,"Old Post Office Road-Shimoga HO, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.343Z
Halli Mane,+,3.7,107 Ratings,"1st Cross Durgigudi, Shimoga",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.343Z
Tasleem Catering Service,+,5.0,2 Ratings,"100ft Road Mandli, Shimoga",,,Caterers For Wedding; Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Hegade Catering,+,4.9,7 Ratings,"100 Feet Road Vinoba Nagar, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Basaveshwara Khanavali,B,3.7,329 Ratings,"Durgigudi, Shimoga",,,,true,false,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Madni Hotel,M,4.5,7 Ratings,"Bypass Road Shimoga Market, Shimoga",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Sri Annapoorneshwari Bhavan (Temporary Closed Down),+,3.7,57 Ratings,"Nagar Main Road Vinoba Nagar, Shimoga",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Ammath Caterers,+,3.9,9 Ratings,"100 Feet Road, Shimoga",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Shre Chowdeshwari Catring,S,4.7,11 Ratings,"Hale Bommanakatte Bommanakatte, Shimoga",,,Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.344Z
Hamza Catering Services,H,4.5,1 Ratings,"Restaurant Achutha Rao Layout, Shimoga",,,Caterers; Veg Caterers,false,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
MRM CATERERS,+,5.0,11 Ratings,"Honnavile Shimoga HO, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
Annapoorna mess,A,4.3,3 Ratings,"Savalanga Road, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
BNM Groups,+,3.8,11 Ratings,"Rathi Beedhi Thirthahalli, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
Ammath Caterers,+,4.3,7 Ratings,"Old Barline Road Savarkarnagar, Shimoga",,,Caterers; Cooks,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
Sri Annapurna Mess Pure Veg,+,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
Shree Annapoorna Caterers,+,5.0,2 Ratings,"Swami Temple Road Hosudi, Shimoga",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.345Z
Mcr Catering,M,5.0,3 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Faizan Caterers,F,5.0,1 Ratings,Shimoga,,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Sadhu Catering,S,4.7,3 Ratings,"Seegehatti Shimoga City, Shimoga",,,Home Delivery,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Grs Catering Services,G,4.3,3 Ratings,"Car St Thirthahalli, Shimoga",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Sri Annapoorneshwari Catering,S,4.0,2 Ratings,"Gopala Gowda Extension, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Daivik Caterers,D,4.9,4 Ratings,"Car St, Shimoga",,,Caterers; Caterers For Wedding,true,true,false,false,true,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Ayub Canteen,A,3.7,3 Ratings,"Feet Outer Ring Road Doddapet, Shimoga",,,,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.346Z
Malliyamma Devi Catters,+,3.5,3 Ratings,"1stage Purudal, Shimoga",,09035198095,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.347Z
Jyothi Catering,J,4.0,2 Ratings,"Upper Thunga Nagar Durgigudi, Shimoga",,,Caterers; Caterers For Wedding,false,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.347Z
Royal Events,+,4.0,3 Ratings,"2nd Cross Road Urgadur, Shimoga",,,Videography,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.347Z
Sln Caterers,S,4.5,1 Ratings,"DV Street Near Vandhana Takis, Shimoga",,,Caterers; Caterers For Wedding,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.347Z
Ss Cateers,S,5.0,1 Ratings,"Thirthahalli, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Birthday Parties,Shivamogga,2025-06-03T13:49:48.347Z
