name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Annapurna Mess Pure Veg,<,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.021Z
Inspira Foods,<,4.9,15 Ratings,"Kalyan Nagar Vokkaligara, Chikmagalur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.021Z
Ethnic Bawarchis Bulk Kitchen,<,3.6,152 Ratings,"Bailoor Road Manipal, Manipal",,,,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.022Z
Prabhu Caterers,<,4.0,1 Ratings,"Honavar Bazar, Karwar",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.022Z
Hotel Highway,<,4.1,30 Ratings,"Road Old Hubli Karwar Road, Hubli",,,Caterers; Non Veg Caterers,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.022Z
Sanketh Catering,<,4.0,6 Ratings,"Mulla Stop Khaji Bag, Karwar",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.022Z
Tasty Food Catering And Event Organizer,<,5.0,5 Ratings,"Melapuram Cross Hindupur HO, Hindupur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.023Z
Jeevan Catering,<,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.023Z
Annapoorneshwari Catering,<,4.7,24 Ratings,"Layout Ramakrishnanagar, Mysore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.023Z
Holy Cross Caterers,<,4.7,136 Ratings,"Maina Curtorim Raia, Goa",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.023Z
Allahbaksh Catering,A,3.2,5 Ratings,"Rumdamol Margao, Goa",,,Home Delivery,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.024Z
R K Catering,+,4.5,2 Ratings,"Hesaraghatta Road Sidedahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.024Z
Shani Caters,+,4.9,7 Ratings,"Kannur City Kannur City, Kannur",,,Home Delivery,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.024Z
Chavish Events,C,4.2,12 Ratings,"No. 21 Laggere, Bangalore",,,Event Organisers; Caterers,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.024Z
Shaik's Family Restaurant and Mini Function Hall,S,3.5,166 Ratings,"Tapovanam. Tapovanam, Anantapur",,,,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.024Z
Raja Ravi Food Caterers,+,4.8,2 Ratings,"80 Feet Road Anantapur Ho, Anantapur",,,,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.025Z
Mias Cafe & Playzone,+,4.8,122 Ratings,"Yelahanka, Bangalore",,08401860289,,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.025Z
E To E Caterers PVT LTD,E,4.0,8 Ratings,"No.176-178 Yelahanka, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.026Z
The Food Caterers,T,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.026Z
Bhagavathy Caterers,+,5.0,1 Ratings,"Bda Lyt Nagarbhavi, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.026Z
Mayuri Catering,M,3.3,2 Ratings,"14th Cross Sanjay Nagar, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.027Z
Akshaya Deluxe Veg And Non Veg Multicuisine Restaurant,+,4.1,"6,218 Ratings","New Bel Road, Bangalore",,,,false,false,false,false,true,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.027Z
T K Catering Service,+,4.3,6 Ratings,"7th Main Road Yeshwanthpur, Bangalore",,,Industrial Caterers; Caterers,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.027Z
Sultan's Rolls and Sandwiches,+,3.8,512 Ratings,"College Road Mathikere Extension, Bangalore",,,,true,false,false,false,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.028Z
Laxmi Caterers,L,4.5,2 Ratings,"11th Main Vijayanagar, Bangalore",,,Caterers; Veg Caterers,true,false,false,true,false,Caterers,Popular Hyderabadi Caterers,Shivamogga,2025-06-03T13:56:01.028Z
