name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Prince Catering.,<,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.690Z
Sri Annapurna Mess Pure Veg,<,4.9,6 Ratings,"Sagara Main Road Apmc Marketyard, Shimoga",,,,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.690Z
S S Shamiyana,<,5.0,1 Ratings,"Parkala Road Athradi, Udupi",,,Balloon Arch; Balloon Backdrop; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.691Z
Manipal Food Court,<,4.6,23 Ratings,"Eshawar Nagar Manipal, Manipal",,,,false,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.691Z
Zara Caterers,<,5.0,1 Ratings,Udupi,,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.691Z
Rama Somayaji Caterers,<,4.1,20 Ratings,"belthangadi Taluk Dharmasthala, Dharmasthala",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.691Z
Friends Caterers,<,4.4,54 Ratings,"Shankarapura Shankarapura Udupi, Udupi",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.692Z
Sanvi Veg Catering,<,5.0,26 Ratings,"Vijayanagara Bm Road, Hassan",,08511689664,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.692Z
Suraksha Caterers,<,4.6,35 Ratings,"Guddekopla Road Surathkal, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.692Z
Spoorthi Catering Services And Event Organisers,<,5.0,3 Ratings,"Puttur Parladka Devasya Road, Puttur",,,Parking Available; 24 Hours; Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.692Z
Shree Vaidhyanatha Caterings,S,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.693Z
Mangalore Caterers,+,4.7,20 Ratings,"Koppalkad Road Maryhill, Mangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.693Z
AK EVENTS AND CATERING SERVICES,A,5.0,3 Ratings,"Mudipu Ira, Dakshina Kannada",,,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.693Z
Indira Cateres,+,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,false,false,false,true,Caterers,Popular Kerala Caterers,Shivamogga,2025-06-03T13:59:07.693Z
