name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shahi Caterers,<,4.8,3 Ratings,"HH Road Bhadravathi Old Town, Bhadravathi-Karnataka",,08460521037,Caterers For Non Veg Biryani; Caterers,true,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.401Z
Sri Manjunath Tiffin Room,<,4.1,178 Ratings,"Jpn Road JPN Road Shimoga, Shimoga",,,,true,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.401Z
Ammath Caterers,<,3.9,9 Ratings,"100 Feet Road, Shimoga",,,,true,true,false,false,false,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.401Z
Shre Chowdeshwari Catring,<,4.7,11 Ratings,"Hale Bommanakatte Bommanakatte, Shimoga",,,Home Delivery,true,true,false,false,false,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.401Z
Royal Events,<,4.0,3 Ratings,"VIDYANAGAR SHIMOGA, Shimoga",,,Caterers; Flower Decorators,true,true,false,false,false,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.402Z
Prince Catering.,<,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.402Z
Sadhu Catering,<,4.7,3 Ratings,"Seegehatti Shimoga City, Shimoga",,,Home Delivery,true,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.402Z
Tasleem Catering Service,<,5.0,2 Ratings,"100ft Road Mandli, Shimoga",,,Caterers For Wedding; Caterers,true,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.402Z
Hamza Catering Services,<,4.5,1 Ratings,"Restaurant Achutha Rao Layout, Shimoga",,,Caterers; Veg Caterers,false,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.403Z
Nandhini Food Services,<,5.0,1 Ratings,"Machena Halli Shimoga Ho, Shimoga",,,Home Delivery,false,true,false,false,true,Caterers,Popular Muslim Food Caterers,Shivamogga,2025-06-03T14:02:13.403Z
