name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Bhavani Caterers,<,3.5,2 Ratings,"Sm Road Shimoga HO, Shimoga",,09054501485,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.092Z
Prince Catering.,<,5.0,3 Ratings,"100feet Rd Shimoga Market, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.092Z
Hideout Fast Food And Andhra Style Family Restaurant,<,3.9,"2,663 Ratings","MCC B Block Mcc, Davangere",,,,false,false,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.093Z
Sri annapoorneshwari catering services,<,5.0,2 Ratings,"B Katehalli Hassan City, Hassan",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.093Z
Shree Vaidhyanatha Caterings,<,5.0,2 Ratings,"Konimar Site Neermarga, Mangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.093Z
Indira Cateres,<,4.8,14 Ratings,"Kulshekara N H Road Kulshekar, Mangalore",,08296125663,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.094Z
J K Caterers,<,4.6,42 Ratings,"Mahakali Padupu Jeppu, Mangalore",,,Home Delivery,true,true,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.094Z
Joshi Foods and Caterers,<,4.4,9 Ratings,"Ganesh Colony Nekar Nagar, Hubli",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.094Z
Khatta Meetha Catering,<,3.8,10 Ratings,"Maratha Galli Hubli City, Hubli",,,Caterers; Event Organisers,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.095Z
Jai Prabhu Caterers Private Limited,<,4.8,31 Ratings,"Desai Park Keshawapur, Hubli",,08460513086,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.095Z
Menaka Caterers,+,4.7,197 Ratings,"SBI Main Branch Road Keshawapur, Hubli",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.095Z
Nandini Caterer,N,3.5,2 Ratings,"R N S Road Gokul Road, Hubli",,,Home Delivery,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.095Z
Annapurna Caterers,A,4.4,11 Ratings,"Ulaveesh Building Hosur Hubli, Hubli",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.096Z
Karavali Caterers,+,4.9,18 Ratings,"APMC Market Road Apmc, Hubli",,08401239485,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.096Z
Mom's Kitchen,+,4.0,4 Ratings,"Heggare Tumkur Ho, Tumkur",,,,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.096Z
Anand Caterers,A,4.0,5 Ratings,"UB Hill Road UB Hills, Dharwad",,08460384034,Home Delivery,true,true,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.096Z
Sanketh Catering,S,4.0,6 Ratings,"Mulla Stop Khaji Bag, Karwar",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.096Z
Maa Bhawani Catteres,M,2.8,2 Ratings,"Sabapathi Street Bellary HO, Bellary",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
Tasty Food Catering And Event Organizer,+,5.0,5 Ratings,"Melapuram Cross Hindupur HO, Hindupur",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
The Sapid,T,4.1,40 Ratings,"Hudco Badavane Hebbal, Mysore",,,,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
Mom's Kitchen,+,4.5,34 Ratings,"Manakadavu Coorg Road Kuttiyeri, Kannur",,,,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
Jeevan Catering,J,4.8,2 Ratings,"Ring Road Bogadi, Mysore",,,Banquet Hall Decoration; Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
Sri Ramdev Caterers Mysore,+,4.6,11 Ratings,"Gandhi Square Lashkar Mohalla, Mysore",,09980204685,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.097Z
Maltose Marriage Village,+,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.098Z
Bangarpete Chaats and Catering Service,B,3.9,25 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.098Z
Hotel House Full,H,3.3,33 Ratings,"Hotel House Full Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.098Z
Holy Cross Caterers,+,4.7,136 Ratings,"Maina Curtorim Raia, Goa",,,Home Delivery,true,true,false,false,true,Caterers,Popular Punjabi Caterers,Shivamogga,2025-06-03T14:09:57.098Z
