name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
D C S Group Catering,<,3.2,12 Ratings,"Nagar Sharavathi Nagar, Shimoga",,09724044969,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.118Z
Iyer Catering,<,4.7,29 Ratings,"Pension Mohala Bh Road Shimoga, Shimoga",,08904600908,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.118Z
Sln Caterers,<,4.4,14 Ratings,"B B Street Durgigudi, Shimoga",,,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.118Z
Janatha Events And Management,<,4.0,1 Ratings,"H H road Bhadravathi Paper Town, Shimoga",,08296304716,Flower Decorators; Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.119Z
Kaveri Fish Land,<,3.9,658 Ratings,"Hole Bus Stop Bh Road Shimoga, Shimoga",,,,true,false,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.119Z
Sri Lakshmi 99 Variety Dosa Cafe,<,4.1,150 Ratings,"Chowki Road Vinoba Nagar Shimoga, Shimoga",,,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.119Z
Katti Crew Event Management,<,4.6,79 Ratings,"Old Post Office Road-Shimoga HO, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Sri Gururaja Darshini Mallige Idli Centre,<,4.2,110 Ratings,"Arasu Road Jayanagar Shimoga, Shimoga",,,,false,false,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Hegade Catering,<,4.9,7 Ratings,"100 Feet Road Vinoba Nagar, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Ss Cateers,<,5.0,1 Ratings,"Thirthahalli, Shimoga",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Durgamba Fast Food,+,4.0,4 Ratings,"Gopi Circle, Shimoga",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Ayub Canteen,A,3.7,3 Ratings,"Feet Outer Ring Road Doddapet, Shimoga",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Shre Chowdeshwari Catring,S,4.7,11 Ratings,"Hale Bommanakatte Bommanakatte, Shimoga",,,Home Delivery,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
Ammath Caterers,+,3.9,9 Ratings,"100 Feet Road, Shimoga",,,,true,true,false,false,false,Caterers,Popular South Indian Caterers,Shivamogga,2025-06-03T14:14:33.120Z
