name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
A Narasimha Murthy and Company,<,4.8,21 Ratings,"Pratham Kuvempu Road, Shimoga",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.390Z
Prasad N L,<,4.4,17 Ratings,"Cross  Gandhinagar Shimoga Ho, Shimoga",,,Corporate Companies; CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.391Z
Kndc and Associates LLP,<,4.7,37 Ratings,"GHS Road Hampankatta, Mangalore",,,Licence; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.391Z
Mohit Mahajan & Co.,<,3.9,38 Ratings,"Koppikar Road Koppikar Road, Hubli",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.391Z
Yatesh Renuke & Company,<,4.6,22 Ratings,"Erandwane Kothrud, Pune",,08460426416,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.392Z
Yogita S And Company,<,4.7,34 Ratings,"Thane Bhiwandi Road Kasheli, Bhiwandi",,07795682280,Accounting; GST Return; TDS Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.392Z
Mithlesh Pardhi & Co,<,4.3,361 Ratings,"Jaitala Road Jaitala Road, Nagpur",,08511513986,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.392Z
B R A H M & Associates,<,4.2,46 Ratings,"Jamnagar HO, Jamnagar",,,Accounting; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.393Z
Arpit Gupta & Co,<,4.1,156 Ratings,"Westend Marg Saket, Delhi",,,,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.393Z
K K K D & CO,<,4.8,54 Ratings,"101 BP BLOCK Pitampura, Delhi",,09731820288,Accounting; GST Return; TDS Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.393Z
V V S V & CO,+,4.2,13 Ratings,"Pandav Nagar Block A, Delhi",,09035176479,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.394Z
TKSA SERVICES PVT LTD,T,3.5,2 Ratings,"Government Place East Esplanade, Kolkata",,08904955304,Licence; GST Return; NRI ITR Filing,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.394Z
Equiltax Private Limited,E,3.5,2 Ratings,"Thapar Nagar, Meerut",,08105037165,Business Advisory Services; Name Change; IPO,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.394Z
Dwarka & Co,D,4.1,97 Ratings,"Barabazar Garikhana, Shillong",,09054867046,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.394Z
Praveen J S,P,4.3,10 Ratings,"Main Road Tilaknagar, Shimoga",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Dharma Prasad G And Company,D,4.5,7 Ratings,"Road Rangappa Circle Bhadravathi, Bhadravathi-Karnataka",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Rao & Emmar,R,5.0,6 Ratings,"1st Main Hosamane, Shimoga",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Nagar And Navada- Ca,N,4.6,5 Ratings,"Thirthahalli Thirthahalli, Shimoga",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Vasanth Kumar Associates,V,4.0,5 Ratings,"VEGETABLE Vinoba Nagar Shimoga, Shimoga",,,GST Return; NRI ITR Filing; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Chaitanya N,C,4.6,4 Ratings,"2nd Cross Rajendra Nagar, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Narendra K V,N,4.1,4 Ratings,"Park Extension Durgigudi, Shimoga",,,Corporate Companies; CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Santhosh Kumar R,S,4.3,3 Ratings,"Church Road Hosamane, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.395Z
Ramachandra Murthy,R,5.0,2 Ratings,"Durgigudi, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
Srinidhi K P,S,5.0,2 Ratings,"Kuvempu Road Kuvempu Road, Shimoga",,,Accounting; GST Return; TDS Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
A A Engineers,A,5.0,2 Ratings,"1st Cross Sharadadevi Nagar, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
K M Badreesh And Company,K,4.8,2 Ratings,"Market Road Sagar Shimoga, Sagara",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
N Ramachandra,N,4.8,2 Ratings,"Nehru Road Shimoga, Shimoga",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
Jabagodu S P & Co,J,4.0,2 Ratings,"Rk Road, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
Ramaswamy S. B,R,3.5,2 Ratings,"Smv Road Tilak Nagar, Bhadravathi-Karnataka",,,CA; Accountants,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
A Ashok Auditors,A,3.5,2 Ratings,"2nd Cross Durgigudi, Shimoga",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
N S Nagendra Udupa And Company,N,2.8,2 Ratings,"B H Road Bhadravathi, Bhadravathi-Karnataka",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.396Z
Ajit Kumar Associates,A,5.0,1 Ratings,"Park Extension Kuvempu Road, Shimoga",,,CA; Auditors,false,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
H R Sureshkumar,H,5.0,1 Ratings,"Shishuvihara Road Shikaripur, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Vishwakeerthi P S,V,5.0,1 Ratings,"CH 40 (253) Jayanagar Shimoga, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Madhukar Hegde & Co,M,5.0,1 Ratings,"Hosa Badavane Shimoga Ho, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Madhu Associates,M,5.0,1 Ratings,"Hosahalli, Shimoga",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Jabiulla B S & Associates,J,5.0,2 Ratings,"U B Road Kadur, Chikmagalur",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Taxtech Solution,T,4.0,1 Ratings,"Circle Chruch Road, Davangere",,,GST Return; TDS Return; Income Tax Return,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Ganapa And Associates,G,4.9,4 Ratings,"Kasturba Extension Davangere, Davangere",,,CA; Database For CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.397Z
Girigoudara Hareesha And Associates,+,4.6,11 Ratings,"Pro Studio Shamanur Davangere, Davangere",,09035085997,GST Return; TDS Return; Income Tax Return,true,true,false,true,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
Annapurna M R,A,5.0,1 Ratings,"B Block Mcc, Davangere",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
N G Girish Nadig,N,4.2,6 Ratings,"Road Pj Extension Davangere, Davangere",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
Patil & Associates,P,4.6,5 Ratings,"Pj Extension Davangere, Davangere",,,CA; Business Consultants,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
Superintendent Service Tax Range,S,5.0,1 Ratings,"C Devraj Urs Layout Davangere, Davangere",,,Tax Consultants; CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
Santhappa Amberkar & Veeranna,S,4.5,2 Ratings,"P B Road Pb Road Davangere, Davangere",,,Accounting,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
Shanathappa & Co,S,5.0,1 Ratings,"B Road Pb Road Davangere, Davangere",,,Accounting,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.398Z
B N Vijayakumar,B,5.0,1 Ratings,"4th Main Pj Extension Davangere, Davangere",,,CA; Tax Consultants,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
G Shridhar And Company,G,5.0,1 Ratings,"Main Road Pj Extension Davangere, Davangere",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
Belagavi And Associates,B,4.0,1 Ratings,"4th Main Pj Extension Davangere, Davangere",,,Institutes; CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
M.umapathaiah & Co,M,4.8,6 Ratings,"Road Jayadeva Circle Davangere, Davangere",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
Illur Davaskar And Associates,I,4.8,15 Ratings,"Jayadeva Circle Davangere, Davangere",,,CA,true,true,false,false,true,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
Harsha And Co,H,4.2,6 Ratings,"Road Jayadeva Circle Davangere, Davangere",,,CA,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.399Z
RK Associates,R,5.0,1 Ratings,"Road Ashoka Road Davangere, Davangere",,,CA,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.400Z
Ravikumar Auditor & TAX Consultants,R,4.8,3 Ratings,"Hondad Circle Road Davangere Ho, Davangere",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.400Z
N G Girish Nadig,N,4.0,1 Ratings,"Binny Company Road Davangere, Davangere",,,CA; Accountants,false,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.400Z
Manjunath And Associates,M,3.9,4 Ratings,"C 'B' Block Mcc, Davangere",,,GST Return; TDS Return; Income Tax Return,true,true,false,false,false,Experienced Chartered Accountants and CA Firms,,Shivamogga,2025-06-03T14:19:31.400Z
