name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Nes Cad Center,<,4.9,921 Ratings,"100 Feet Road Vinoba Nagar, Shimoga",,,Adobe Illustrator Training Institutes; Institutes,true,true,false,true,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.081Z
Sri Devaki Tutorials,<,4.6,20 Ratings,"2nd Phase Gopala Extension, Shimoga",,08490819511,Tutorials; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.081Z
Master Computer Education,<,4.7,172 Ratings,"IG Road Balaraj Urs Road, Shimoga",,09035142516,Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.082Z
New Vision CADD Academy & Web Designers,<,4.8,179 Ratings,"Vinobanagar Vinoba Nagar, Shimoga",,08460391139,Computer Training Institutes For 3D Studio Max; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.082Z
Iims Computer Training Centre,<,4.9,96 Ratings,"Opp.to SBI Bank Bh Road Shimoga, Shimoga",,08460432821,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.082Z
Aryan Education,<,4.7,20 Ratings,"Circle Savalanga Road, Shimoga",,08401976536,Tutorials; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.082Z
Parivarthana Edu Training Centre (Unit Of Sahyadri Coaching Centre),<,5.0,14 Ratings,"Main Road Gopala Extension, Shimoga",,08460219433,CBSE Tutorials; Tutorials,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.082Z
Indian Institute Of Computer Science,<,4.6,251 Ratings,"Vidyanagar Hubli, Hubli",,,Institutes For Distance Education MBA; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.083Z
Emergio Games,<,4.7,149 Ratings,"Airport Road Infopark Kochi, Ernakulam",,08460448972,Computer Training Institutes; Mobile Game Development Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.083Z
Kj's Trinity Colleges,<,4.0,"1,376 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.083Z
Sir Padampat Singhania University,+,4.3,571 Ratings,"Udaipur Udaipur Surajpole, Udaipur-rajasthan",,,,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.083Z
Visvesvaraya Foundation,+,4.2,"1,002 Ratings","Main Road Udaipur Surajpole, Udaipur-Rajasthan",,,Computer Engineering Colleges; Schools,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Shri Krishna University,+,4.1,"1,310 Ratings","Sagar Road Chhatrasal Chowk, Chhatarpur",,,,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Aks University (Satna M.p),+,4.0,"1,851 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Maa Bhagwati Institute,M,4.0,910 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Pkr Institute and Recruitment Services,+,4.9,134 Ratings,"Urban Estate Karnal Sector 6, Karnal",,09980200858,Institutes; Computer Training Institutes,true,true,false,true,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Haridwar University,+,4.4,"2,839 Ratings","Bajuheri, Roorkee",,,,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Ranks Institute,+,4.8,103 Ratings,"7th Cross Basavanagudi Shimoga, Shimoga",,,Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
S K Electronics,+,5.0,27 Ratings,"S K Electronics JPN Road Shimoga, Shimoga",,,Mobile Phone Repair Training Centres; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Sri Sai Cad Technology,+,4.6,8 Ratings,"Varma Street Kr Puram Shimoga, Shimoga",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.084Z
Chirag Infotech Keonics,+,4.1,17 Ratings,"Durgigudi 3rd Cross Durgigudi, Shimoga",,,Computer Training Institutes; Computer Training Institutes For Basic,true,true,false,false,false,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
J K Computer Solutions,+,4.7,608 Ratings,"3rd Parallel Road Durgigudi, Shimoga",,,Accounting Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Noble Computer Training Institute,+,4.8,470 Ratings,"Ashoka Road Sagar, Sagara",,,Computer Hardware Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Advaita Jnana Kendra,+,5.0,319 Ratings,"Soraba Sorab, Shimoga",,,Institutes; Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Master Consultancy Services,+,4.7,109 Ratings,"B Block Gandhi Nagar, Shimoga",,,Computer Hardware Training Institutes; Institutes,true,true,false,true,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Mamatha School Of Commerce and Computer Education,M,5.0,77 Ratings,"Savalamga Ravindra Nagar Shimoga, Shimoga",,,Computer Training Institutes; Animation Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Sri Mookambika Typewriting Matyu Computer Tarabeti Kendra,S,4.9,71 Ratings,"Shivamogga Sagar Road, Shimoga",,,Computer Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Mamatha School Of Typing And Computer Education,+,4.9,68 Ratings,"K H B Colony Vinoba Nagar, Shimoga",,,Computer Training Institutes; Language Classes For English,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Aptitude Animation,+,4.2,79 Ratings,"100 Ft Road Rajendra Nagar, Shimoga",,,2D Animation Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
CADD Centre,+,4.4,66 Ratings,"Nehru Road Nehru Road Shimoga, Shimoga",,,Computer Training Institutes; Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.085Z
Yashas Future Tech Academy. Shivamogga,+,4.6,40 Ratings,"1st Cross Road Sandal Colony, Shimoga",,,Computer Training Institutes; Language Classes For English Conversation,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.086Z
Dream Education,D,5.0,35 Ratings,"1st Cross Jayanagar Shimoga, Shimoga",,,Computer Training Institutes; Tally Training Institutes,true,true,false,false,true,Computer Training Institutes,,Shivamogga,2025-06-03T14:21:24.086Z
