name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Arunodaya Events,<,4.8,158 Ratings,"2nd Cross Jayanagar Shimoga, Shimoga",,08792490925,Car Decoration,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.449Z
S R K Events,<,4.0,4 Ratings,"Mosralli Barandur, Shimoga",,08488053575,Balloon Arch; On Site Services; Balloon Backdrop,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.450Z
Angel Creations,<,4.7,36 Ratings,"Street Sharavathi Nagar, Shimoga",,,Banquet Hall Decoration; Videography,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.450Z
Katti Crew Event Management,<,4.6,79 Ratings,"Old Post Office Road-Shimoga HO, Shimoga",,,Caterers; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.450Z
Star Crew Event Organizers,<,4.0,8 Ratings,"BH Road, Shimoga",,,Balloon Decorators; Caterers,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.450Z
Samhitha Events,<,4.1,7 Ratings,"Main Road Savalanga Road, Shimoga",,,Dance Troupe; Event Organisers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.451Z
SMART EVENT Management & Marketing Services,<,3.9,7 Ratings,"J.P. Hospital Savalanga Road, Shimoga",,,Event Management Companies For Celebrity; Event Organisers,false,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.451Z
N K Event Management,<,3.5,3 Ratings,"KSRTC Bus Stand Shimoga Ho, Shimoga",,,Event Organisers For Dance Parties; Event Organisers,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.451Z
Mantra Event Management,<,4.8,2 Ratings,"Feet Road Vinoba Nagar Shimoga, Shimoga",,,Event Management Companies; Event Organisers,false,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.451Z
White Collar Events,<,2.8,2 Ratings,"2nd Stage Vinoba Nagar Shimoga, Shimoga",,,Event Organisers; Event Organisers For Birthday Party,true,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.451Z
Marshal Health Club,+,4.3,70 Ratings,"M C C B Block Mcc, Davangere",,,Doctor On Call; Get Your Own Trainer; Personal Trainers,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Shivamogga,2025-06-03T14:41:10.452Z
