name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Ninasam Neelakanteshwara Natya Sangha,<,4.5,434 Ratings,"Heggodu, Shimoga",,,Drama Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Brillient Brain Abacus,<,4.0,1 Ratings,"1stcross Ktj Nagar Davangere Ho, Davangere",,,Abacus Classes; Hobby Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Drishya School Of Arts,<,4.8,10 Ratings,"No.12137 Vidyaratna Nagar, Manipal",,,Hobby Classes; Art Schools,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Sdm Art Center,<,4.5,7 Ratings,"Mangalore - Dharmastala Hwy, Dakshina Kannada",,,Drama Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Indica Surf School,<,4.7,959 Ratings,"Kolachikambla Road Mulki East, Mangalore",,,Surfing Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Tagore Painting & Craft Classes,<,5.0,3 Ratings,"Kottara Kottara Chowki, Mangalore",,,Painting Classes; Arts & Crafts Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Mangalore Surf Club,<,4.8,322 Ratings,"Boloor, Mangalore",,,Surfing Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
All For Kids,<,4.5,3 Ratings,"Banavadi, Bangalore",,,Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.295Z
Mumu Surf School Goa,<,4.8,123 Ratings,"Agonda Beach Road Agonda, Goa",,,Hobby Classes; Surfing Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Rajinis Hobby Classes,<,5.0,16 Ratings,"10 Th Main Gokulam 3rd Stage, Mysore",,,Soft Toy Making Classes; Tailoring Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Clay Canvas Mysuru,+,4.9,31 Ratings,"Gokulam 3rd Stage Gokulam, Mysore",,,Drawing Classes; Handwriting Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Soni's Daycare & Richa's Art Club,+,4.8,44 Ratings,"2nd Cross Gokulam, Mysore",,,Dance Classes; Language Classes For English Conversation,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Chinmaya Vidyalaya,C,4.1,58 Ratings,"4th Cross Jayalakshmipuram, Mysore",,,Hobby Classes,false,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Curio City,C,5.0,3 Ratings,"Vv Mohalla, Mysore",,,Hobby Classes; Hobby Classes For Children,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
The Hobby Place,+,4.6,459 Ratings,"Vivekananda Road Yadavagiri, Mysore",,,Fabric Painting Classes; Music Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Curiocity - School Of Creative Art and Design,+,4.6,39 Ratings,"7th Cross Narasimharaja Mohalla, Mysore",,,Art Schools; Mehendi Artists,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Ananya Creations,A,5.0,1 Ratings,"Annasandrapalya Ganesh Nagar, Mysore",,,Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Eats N Treats Cooking Classes,E,4.5,14 Ratings,"Hospital Road Kuvempunagar, Mysore",,,Cookery Classes For Cake; Cookery Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Champaka Academy,+,4.8,123 Ratings,"E & F Block Ramakrishnanagar, Mysore",,,Dance Classes; Pre Schools,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Kalakuteera Mysore,+,4.1,35 Ratings,"6th Cross Kr Mohalla, Mysore",,,Arts & Crafts Classes For Children; Summer Camps,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Art Line,A,3.8,6 Ratings,"Bgs-4/5/6 Margao, Goa",,,Drawing Classes; Painting Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Dance Illusion,D,4.9,109 Ratings,"B M Hall Margao, Goa",,,Dance Classes; Dance Classes For Ballroom Dance,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Little Millennium,+,4.7,425 Ratings,"Channanayakanapalya Nagasandra, Bangalore",,,Business Owned By Women,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Eurokids Rukmininagar,+,4.8,253 Ratings,"Rukmini Nagar Nagasandra, Bangalore",,09054863284,Day Care Centres; Pre Schools,true,false,false,true,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Lakshmi Tailoring Classes And Ladies Tailors,+,3.3,6 Ratings,"Magadi Main Road Sunkadakatte, Bangalore",,,Tailoring Classes; Hobby Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Preeti Art Classes,+,3.0,3 Ratings,"Dollars Colony New Bel Road, Bangalore",,,Hobby Classes; Pottery Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Happy Landings India,+,4.5,60 Ratings,"Layout Vidyaranyapura  Block 6, Bangalore",,,Toy Dealers; Stationery Shops,true,false,false,true,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Vruddhi Center For Learning,+,3.9,28 Ratings,"5th Block Vidyaranyapura, Bangalore",,,Dance Classes At Home; Dance Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Creative Art Classes,+,4.2,14 Ratings,"Nagarbhavi, Bangalore",,,Fabric Painting Classes; Tutorials,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Uniq Fine Arts,U,5.0,1 Ratings,"3 Phase Yeshwanthpur, Bangalore",,,Charcoal Sketching Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
National School Of Drama Bengaluru Centre,+,4.3,164 Ratings,"Kajana Mallathahalli, Bangalore",,,Drama Classes; Acting Classes,false,false,false,true,true,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.296Z
Padmini Raghuram,P,4.0,3 Ratings,"17th Cross Mathikere, Bangalore",,,Hobby Classes; Arts & Crafts Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.297Z
Perfect Institute Of Fine Arts,P,3.9,4 Ratings,"Main Road Chikka Bommasandra, Bangalore",,,Hobby Classes For Children; Institutes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.297Z
Hobby Ideas,H,3.2,4 Ratings,"Mathikere, Bangalore",,,Hobby Classes; Arts & Crafts Classes,true,false,false,false,false,Hobby Classes,,Shivamogga,2025-06-03T15:02:20.297Z
