name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Aradhana Orthopaedic Center,<,4.2,118 Ratings,"Savalanga Road Gandhi Nagar, Shimoga",,07487910714,Functional Orthopedics; Trauma,true,true,false,true,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.829Z
Sarji Hospital,<,4.6,"6,596 Ratings","Mahadeva Rao Road Durgigudi, Shimoga",,07487879596,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.830Z
HCG - Malnad Hospital and Institute Of Oncology,<,4.1,70 Ratings,"B.H Road Bidare, Shimoga",,08147526732,,true,true,false,true,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.830Z
Metrounited Healthcare,<,4.5,"1,601 Ratings","Circle Savalanga Road, Shimoga",,,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.830Z
Sushodha Institute Of Gastroenterology Pvt Ltd,<,4.3,613 Ratings,"Savalanga Road Savalanga Road, Shimoga",,,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Atharva Ayurdhama Ayurvedic Hospital And Research Center,<,4.7,431 Ratings,"Kallahalli Vinoba Nagar, Shimoga",,,,true,true,false,true,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Swastika Hospital,<,4.5,89 Ratings,"100ft Road Vinayaka Nagar, Shimoga",,,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Kottureshwara Hospital & Research Centre,<,4.6,459 Ratings,"6th Ward Durgigudi, Shimoga",,,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Sri Vinayaka Hospital,<,4.2,64 Ratings,"1st Cross Basavanagudi Shimoga, Shimoga",,07041686934,,true,false,false,true,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Secure Hospital,<,4.5,183 Ratings,"Park Extension Road Durgigudi, Shimoga",,08460430972,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.831Z
Bethel Medical Mission Hospital & Hosmat Hospital Education Group,+,4.1,158 Ratings,"Preety Nagar Laggere, Bangalore",,07048209067,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.832Z
Shri Tulasigirish Diabetes Hospital & Diabetes Research Foundation,+,4.2,34 Ratings,"Mahaveer Road Bagalkot, Bagalkot",,,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.832Z
Global Health Tourism,G,4.6,38 Ratings,"Lane No 5 Vishwakarma Nagar, Nagpur",,09980635869,,true,true,false,false,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.832Z
Pragati Medcity and Stem Cell Centre,+,4.8,30 Ratings,"Ajay Singh Marg Rohit Nagar, Bhopal",,09035344697,,true,false,false,true,true,Best Hospitals,,Shivamogga,2025-06-03T14:50:02.832Z
