name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Vivek Dry Cleaners,<,4.4,28 Ratings,"NT Road Achutha Rao Layout, Shimoga",,09054079751,Home Delivery; Dry Clean Up,true,true,false,true,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.368Z
M S Bangalore Dyers And Cleaners,<,4.7,48 Ratings,"Savlanga Road Savalanga Road, Shimoga",,08460199766,Dyeing Services; Cleaning Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.368Z
SM laundryd,<,4.8,113 Ratings,"Rajendra Nagar, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.369Z
Sm Laundryd,<,4.8,113 Ratings,"100 Feet Road Rajendra Nagar, Shimoga",,,Cleaning Services; Dry Cleaners,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.369Z
Alankar Dry Cleaners,<,3.9,19 Ratings,"Road SHIMOGA Nehru Road Shimoga, Shimoga",,,Dry Clean Up; Anti-Bacterial Laundry Service; Whitening Treatment,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.369Z
Shree Durga Laundry House,<,5.0,12 Ratings,"Road Durgigudi Durgigudi, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.370Z
Venkateshwara Dry Cleaners,<,4.3,10 Ratings,"Gadikoppa, Shimoga",,,Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.372Z
New Galaxy Dyers and Cleaners,<,5.0,8 Ratings,"1 Cross B-Block Gandhi Nagar, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.372Z
Kamala Arcade Vivek Dry Cleaners,<,4.4,9 Ratings,"Main Road Gopala Gowda Extension, Shimoga",,,Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.372Z
Dishani Dry Cleaners,<,4.2,7 Ratings,"Road Gopala Gowda Extension, Shimoga",,,Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.372Z
Standard Dry Cleaner,+,3.2,9 Ratings,"Niranjan Nilaya Vinoba Nagar, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Laundry Basket,L,3.6,8 Ratings,"J C Road, Sagara",,,Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Ever Green Dry Cleaner,+,4.3,6 Ratings,"1st Main Road Bapuji Nagar, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Rk Dry Clean,R,5.0,5 Ratings,"GM Road Sagar Sagar Road, Shimoga",,,Home Delivery; Stain Removal; Ironing,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Galaxi Dry Cleaner,+,5.0,4 Ratings,"B H Road Vidya Nagar Shimoga, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Ever Shine Automatic Loundry,+,3.8,5 Ratings,"Shivamogga Sominakoppa, Shimoga",,,Dry Cleaners; Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
S R P Laundryservice,+,4.5,4 Ratings,"Kallur Industrial Area Mandli, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Sri Mailareshwara Laundry,S,3.9,4 Ratings,"Shivamogga Jail Road Shimoga, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Sanjay Dry Cleaner,+,4.3,3 Ratings,"Kotte Cl Ramanna Road, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.373Z
Vivek Dry Cleaner,V,3.2,4 Ratings,"Double Road, Shimoga",,,Home Delivery; Free Pick Up; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Sri Siddeshwara Dry Cleaners,S,5.0,2 Ratings,"Gopala Extension, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Siddhi Vinayaka Laundry Shop,+,3.3,3 Ratings,"60 Feet Road Gopala Extension, Shimoga",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Bhavani Dry Cleaning,+,4.8,2 Ratings,"1st Cross Gandhi Bazar, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Kannammma Dry Cleaners,K,4.5,2 Ratings,"Savarline Road, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Rk Dry Clean,R,4.0,2 Ratings,"Gm Road, Sagara",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Matashri Laundry,M,4.0,2 Ratings,"Shivamogga Vinoba Nagar, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
sri ganadeeshwara dry cleaners,s,4.0,2 Ratings,"Road Sagar Sagar Market Road, Sagara",,,Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
High Tech Laundery,H,4.0,2 Ratings,"Hosamane, Shimoga",,,Readymade Garment Retailers; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Manju Dry Cleaner,+,4.0,2 Ratings,"60 FT. Road Sharavathi Nagar, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Sri Ranganatha Swami Dry Cleaner,S,4.0,2 Ratings,"Savlanga Road Sagar Road, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
Sri Maltesh Dry Cleaners,S,4.0,2 Ratings,"Ashoka Road Lashkar Mohalla, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.374Z
banco dry cleaners,+,3.5,2 Ratings,"1ST MAIN Ravindra Nagar Shimoga, Shimoga",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Siddeshwara Dry Cleaner,+,3.5,2 Ratings,"Basavaraj Bldg . Savalanga Road, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Kiran Dry Cleaners,+,3.0,2 Ratings,"2nd Main Road Ravindra Nagar, Shimoga",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Ramesh Dry Washing Laundry,+,2.5,2 Ratings,"Nagara Shimoga Bus Stand, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Fabricspa,F,5.0,1 Ratings,"Nehru Road Shimoga, Shimoga",,,Dry Clean Up,false,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Galaxy Dry Cleaner,+,5.0,1 Ratings,"Bh Road Vidyanagar Shimoga, Shimoga",,,Washing; Dry Clean Up,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Bhavani Dry Cleaners,B,5.0,1 Ratings,"Rml Nagar Mandli, Shimoga",,,Residential Laundry Services; Dry Cleaners,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Ever green dry cleaning,E,5.0,1 Ratings,"mohalla main road Bapuji Nagar, Shimoga",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Sri Lakshmi Loundry,+,5.0,1 Ratings,"Gadikoppa, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Sri Mylareshwara Dry Cleaners,S,5.0,1 Ratings,"College Of Engineering, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
L.R.K Dry Cleaner,+,5.0,1 Ratings,"Post Office Road Lashkar Mohalla, Shimoga",,,Home Delivery; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Standard Dry Cleaner,+,5.0,1 Ratings,"Basveshwara Nagar Savalanga Road, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Sri Marikamba Washing Laundry,S,4.0,1 Ratings,"Purle Shivamogga, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Hongirana Dry Cleaner,+,4.0,1 Ratings,"60 Feet Road Sharavathi Nagar, Shimoga",,,Whitening Treatment; Washing; Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Kiran dry cleaner's,+,4.0,1 Ratings,"Main Road Ravindra Nagar Shimoga, Shimoga",,,Dry Clean Up,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Aishwarya Dry Cleaner,A,4.0,1 Ratings,"100 Ft Road Vinoba Nagar Shimoga, Shimoga",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
SR Dry Clinic,S,3.0,1 Ratings,"Bhadra Bhadra Colony, Bhadravathi-Karnataka",,,Dry Clean Up,false,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Masjid Umar Donabagatta Bhadravathi,M,3.0,3 Ratings,"Donabagatta, Kawalgundi",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.375Z
Apoorva Dry Cleaner,A,4.0,2 Ratings,"Hariharapura, Koppa",,,Laundry Services,false,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
Someshwara Power Laundry,S,4.8,6 Ratings,"Bangalore Shivamogga Road Kadur, Chikmagalur",,,Dry Cleaners; Laundry Services,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
Pushpak Laundry,P,3.0,2 Ratings,"B.I.E.T College Road Biet, Davangere",,,Dry Cleaners; Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
Sri Vinayaka Laundry,+,4.2,9 Ratings,"Mill Road Taralabalu Extension, Davangere",,,Saree Laundry Services; Dry Cleaners,true,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
Archana Saree Rolling And Reshining Center,A,4.5,2 Ratings,"Cross Road Siddaveerappa Layout, Davangere",,,Laundry Services,true,true,false,false,false,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
Shiva Prashanth Lanundry,S,4.9,56 Ratings,"Road Pj Extension Davangere, Davangere",,,24 Hours,false,true,false,false,true,House keeping Services,Popular Laundry Services,Shivamogga,2025-06-03T14:57:17.376Z
