name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
NIIT Ltd,<,4.0,40 Ratings,"B H Road Durgigudi, Shimoga",,,Interior designing institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.415Z
Kj's Trinity Colleges,<,4.0,"1,376 Ratings","Kondhwa Saswad Road Yewalewadi, Pune",,,,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.416Z
NCFT Heights Institute,<,4.5,121 Ratings,"Trivandaram Road Palayamkottai, Tirunelveli",,,Computer Hardware Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.416Z
Aks University (Satna M.p),<,4.0,"1,851 Ratings","Panna Road Sherganj, Satna",,,Colleges; ITI Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.416Z
Vastukar Architect and Project Consultant,<,4.4,187 Ratings,"Nageswar Tangi Bhubaneswar, Bhubaneshwar",,,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.416Z
Augmintech Education Pvt Ltd,<,3.0,2 Ratings,"Main Road 17 Mango, Jamshedpur",,09054859277,Institutes For Hvac Engineering; 3Ds Max Training Institutes,true,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.417Z
Maa Bhagwati Institute,<,4.0,910 Ratings,"Ratanada, Jodhpur",,,Computer Hardware Training Institutes; Colleges,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.417Z
Mediversity Education Council,<,4.6,16 Ratings,"Main City Delhi Delhi Cantt, Delhi",,08460303856,Accept Donations; Pay Ahead; CCTV Surveillance,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.417Z
STTF,<,4.8,42 Ratings,"Biet Road Biet, Davangere",,07383220817,Computer Training Institutes For Full Stack Java; Computer Training Institutes,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.418Z
CADD Centre,<,4.4,128 Ratings,"Bapuji Vidyanagar Davangere, Davangere",,,Ansys Training Institutes; Computer Training Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.418Z
Wings Creation Davanagere,+,2.8,2 Ratings,"Layout Shamanur Davangere, Davangere",,,Computer Training Institutes; Institutes,false,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.419Z
NIIT,+,4.1,25 Ratings,"Bus Stop Vidya Nagar Davangere, Davangere",,,Interior designing institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.419Z
Kalanikethan College Of Fashion Designing,+,4.4,196 Ratings,"Road Pj Extension Davangere, Davangere",,07383446513,Computer Training Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.419Z
Orane International (M S D C),+,4.8,56 Ratings,"Eshwar Nagar, Manipal",,09035294572,Beautician Institutes; Institutes For Aviation,true,true,false,true,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.419Z
Da Vinci Animation And Vfx,+,5.0,21 Ratings,"Eshwar Nagar, Manipal",,08460471594,Animation Training Institutes; Institutes,true,true,false,false,true,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.420Z
Manipal Skill Development Center,+,4.6,17 Ratings,"Campus Dairy Road Eshwar Nagar, Manipal",,,Computer Training Institutes; Graphic Training Institutes,true,true,false,false,false,Interior Designers,Popular Interior Designing Institutes,Shivamogga,2025-06-03T15:13:48.420Z
