name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Rcb Decors,<,5.0,4 Ratings,"Main Road Shimoga Market, Shimoga",,08460556536,Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.485Z
Cbp Constructions,<,5.0,15 Ratings,"Channakeshava Nagara Shikaripur, Shimoga",,07490803239,Interior Designers; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.486Z
DATTA CONSTRUCTION AND INTERIORS,<,4.4,15 Ratings,"KHB COMPLEX Vinoba Nagar, Shimoga",,08904929482,Residential; Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.486Z
Furgonomics Architects and Interiors,<,4.9,55 Ratings,"Savalanga Road, Shimoga",,08460514935,Decorative; Industrial,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.487Z
Space Elements Living & Interiors,<,4.8,88 Ratings,"100feet Road Vinoba Nagar, Shimoga",,08123867960,Residence Interior Designers; Carpenters,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.487Z
Sturdy Groups - Architecture and Construction,<,4.3,74 Ratings,"B Main Gopala Extension, Shimoga",,09845251394,Residential,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.487Z
Gangotri Enterprises,<,4.9,9 Ratings,"Badavane Gopala Extension, Shimoga",,07041729324,,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.488Z
A S Construction,<,3.5,2 Ratings,"4th Cross Ragi Gudda Ragi Gudda, Shimoga",,09980260057,Civil Contractors; Interior Designers,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.488Z
T&T INTERIORS,<,4.8,31 Ratings,"100feet Road Vinoba Nagar, Shimoga",,09054057284,Service Guarantee,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.489Z
Civil Tech,<,5.0,6 Ratings,"Durgigudi Durgigudi, Shimoga",,,Labour Contractors; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.490Z
Bk Aman Interiors,+,4.5,5 Ratings,"Kr Puram Main Road Durgigudi, Shimoga",,08460552247,Interior Designers For Hotels; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.490Z
A Branch Associates,+,4.6,34 Ratings,"Extension Basavanagudi Shimoga, Shimoga",,08460415249,Building; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.490Z
Manya Wood Work,+,5.0,4 Ratings,"Koteganru Post Kote Gangur, Shimoga",,08460209022,Interior Designers; Interior Decorators,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
Krupa Builders & Infra Develpers PVT LTD,+,4.7,109 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Industrial; Residential,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
Viva Aluminum Panel Sheets,+,4.4,11 Ratings,"Bypass Road Durgigudi, Shimoga",,,PVC; Aluminium Sliding Door Dealers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
Webuild Constructions and Interiors,+,5.0,5 Ratings,"2nd Main Road Anna Nagar, Shimoga",,08147097974,Builders & Developers; Construction Companies,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
V Decor Home Interior,+,4.6,7 Ratings,"60 Feet Road Gandhi Bazar, Shimoga",,08401701274,Interior Designers; Wall Paper Dealers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
J R Constructions and Consultancy,+,5.0,7 Ratings,"Marshetti Halli Bhadravathi, Bhadravathi-Karnataka",,08511859829,Building,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.491Z
Magic Wall Decor,+,4.9,51 Ratings,"Jail Road Jail Road Shimoga, Shimoga",,08128896095,Decorative; PVC,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.492Z
Atharva Construction And Interior,+,3.5,2 Ratings,"Rajanna Complex Bh Road Shimoga, Shimoga",,08123041992,Civil Contractors; Construction Companies,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.492Z
Intec Interior,+,3.7,10 Ratings,"Feet Road Sharavathi Nagar, Shimoga",,08123380723,Interior Designers; Interior Designers For Modular Kitchen,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.492Z
Honmane Construction,+,5.0,20 Ratings,"Basavanagudi Shimoga, Shimoga",,08511926982,Civil Contractors; Construction Companies,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.492Z
Royal Enterprises,+,4.4,5 Ratings,"Hotel Achutha Rao Layout, Shimoga",,,Upvc Door,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Wedezine Studio,+,5.0,359 Ratings,"Kuvempu Road Hosamane, Shimoga",,08401336421,Interior Designers; Carpenters,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
The Royal Wall Interior Wallpapers,+,4.5,10 Ratings,"100 Feet Road Vinoba Nagar, Shimoga",,07041703166,Waterproof; PVC,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Saanvi Building Engineers And Contractor,S,4.7,15 Ratings,"Kashipur Main Road Kashipur, Shimoga",,08488947407,Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Castle Developers,+,4.6,7 Ratings,"Layout Vidyanagar Shimoga, Shimoga",,09845249728,Interior Designers; Civil Contractors,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Om Ganesh Designers and Constructions,+,5.0,5 Ratings,"Sagar Road Sagar Road, Shimoga",,08460252614,,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Reems Interior Decor,+,4.8,2 Ratings,"BH Road Sagar, Sagara",,07041695163,Interior Designers For Office; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Sri Jeenakeri Constructions,+,4.7,18 Ratings,"Main 10 Cross Gopala Extension, Shimoga",,09724587987,Building Consultants; Civil Contractors,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.493Z
Gokula Infratech,+,4.9,7 Ratings,"Feet Road Vinoba Nagar Shimoga, Shimoga",,08460452896,Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.494Z
N S Aluminum Fabricators,+,4.1,11 Ratings,"Main Road Tilaknagar Shimoga, Shimoga",,09035186893,PVC Modular Kitchen Dealers; Furniture Dealers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.494Z
Krupa Builders & Infra Developers Pvt Ltd,K,4.2,5 Ratings,"Nagar Sharavathi Nagar, Shimoga",,08867762648,Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.494Z
Rohini Associates,+,4.0,21 Ratings,"Acchuthroa Layout Durgigudi, Shimoga",,,Estate Agents For Bungalow; Real Estate Agents,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.494Z
Sakriya Homes,+,4.8,21 Ratings,"1st Cross Road Durgigudi, Shimoga",,07041697934,Interior Designers For Modular Kitchen; Carpenters,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.494Z
Balaji Interiors,+,5.0,1 Ratings,"Gopi Circle Durgigudi, Shimoga",,09054678034,Interior Designers; Residence Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.495Z
Vishala Construction,+,5.0,34 Ratings,"Durgigudi Main Road Durgigudi, Shimoga",,09606237596,Residential,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.495Z
Shuba Sri Civil Building Contractors,+,5.0,1 Ratings,"Bypass Junction Bhadravathi, Bhadravathi-Karnataka",,09980761857,Civil Contractors; Construction Companies,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.495Z
Sri Veer Bhadhreshwara Glass Plywoods & Hardware,S,4.4,7 Ratings,"Sogilu Road Sagar, Sagara",,07485917679,3D Painting; Textured Wall Painting,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.495Z
Baig Aluminium Alloys,+,4.8,7 Ratings,"Nt Road Achutha Rao Layout, Shimoga",,07041680361,PVC Door Dealers; Bathroom Door Dealers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.496Z
Chavhan Plywood And Hardware,C,5.0,15 Ratings,"Yard E-Block Davangere Mills, Davangere",,08460432001,Bathroom Door Dealers; Plywood Door Dealers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.496Z
Ideal Plywood and Hardware,+,4.8,21 Ratings,"80 Feet Road Hassan City Market, Hassan",,08511488193,Plywood Door Dealers; Wooden Door,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.496Z
Royal Silvia Constructions And Interiors Pvt Ltd,R,5.0,10 Ratings,"Salagame Road Rangoli Halla, Hassan",,07411563299,Residential; Apartment,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.496Z
Shree ShivaNandi Constructions & Interiors,+,5.0,8 Ratings,"Bhadavane Davalagiri Badavane, Chitradurga",,07043941132,Building,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.497Z
Aakruthi Constructions,+,4.9,103 Ratings,"Biet Road Mcc, Davangere",,08401765088,Interior Designers; Construction Companies,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.497Z
DELTA ARCHITECTS,+,4.8,77 Ratings,"80 Feet Hunsinkere Main Road, Hassan",,08460214152,Industrial; Residential,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.497Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.498Z
Ambika Industries,+,4.8,16 Ratings,"Industrial Area Davangere City, Davangere",,09980220457,Interior Decorators; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.498Z
Unique Paints & Sachin Enterprises,+,4.1,8 Ratings,"Hospet Road Market, Sirsi",,,Paint Dealers; Painting Contractors,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Angel & Ana's Aluminium,+,4.6,12 Ratings,"Industrial Area Baikampady, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Mahamaya Industries,+,3.9,23 Ratings,"Venkatapura Road Shirali Bazar, Shirali",,,Wooden Door,true,true,false,true,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Shivapur Constructions,+,4.4,34 Ratings,"Vidyanagar P B Road Haveri, Haveri",,,Residential,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Planning Point ( Mangalore ),+,4.7,30 Ratings,"Gurunagara Konchady, Mangalore",,,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.499Z
Beyond Interiors,+,4.0,126 Ratings,"Th Block Road Basaveshwar Nagar, Bangalore",,08147982721,Venetian Blind Dealers; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Niranjana Innovations,+,4.6,10 Ratings,"Bardez Road Alto Porvorim, Goa",,08401197261,,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Goodline Interior,+,5.0,1 Ratings,"Main Road Ullal Upkar Layout, Bangalore",,08735891921,Modular Kitchen Dealers; Interior Designers,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Swarna Interiors,+,5.0,23 Ratings,"Cotton Market New Cotton Market, Hubli",,08511398922,Interior Designers; Interior Decorators,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
V B Viraaaj Builders And Developers,+,4.3,164 Ratings,"R F Road R F Road, Anantapur",,,Builders; Construction Companies,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Arch Hub,+,4.9,8 Ratings,"Nava Nagar, Bagalkot",,08488859472,Building,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Advaith Design Studio,A,3.5,2 Ratings,"Main 2nd Cross Ramakrishnanagar, Mysore",,09724677932,Building,true,true,false,false,false,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Acha Homes Pvt Ltd,+,4.4,73 Ratings,"Periya Road Junction Pallikere, Kasaragod",,,Architects; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Pragnya Design Studio,+,4.3,31 Ratings,"Pb Road Vidyanagar, Hubli",,,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Kcreative Dizayn,K,4.1,5 Ratings,"22nd Cross Hsr Layout Sector 3, Bangalore",,,Interior Designers For Bungalow; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
AIE Buildtec Ind,+,4.5,14 Ratings,"Ganesh Temple Road Kundalahalli, Bangalore",,,Acoustic Insulation; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
Krishna Hardware Plywood & Elecrticals,+,4.3,46 Ratings,"F M C Road Virajpet Madikeri, Coorg",,,Bathroom Door Dealers; Plywood Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Shivamogga,2025-06-03T15:17:09.500Z
