name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Codebliss Software Solutions,<,4.2,5 Ratings,Shimoga,,09845232077,Software Companies; Mobile Application Developers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.211Z
Nesara Consultants,<,3.5,2 Ratings,Shimoga,,,Internet Website Designers; Solar Geyser Dealers,true,false,false,false,false,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.211Z
DP Venture Digital Marketing and Advertising,<,4.6,67 Ratings,Mangalore,,08128144936,Email Marketing Services; Advertising Agencies,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.211Z
Soft Venture,<,4.4,18 Ratings,Haveri,,08460456235,Mobile Application Developers; Online Shopping Websites,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Retail Tech Solution,<,4.8,14 Ratings,Davangere,,,Internet Website Designers For Property; Thermal Printer Dealers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Big Faction Consultancy,<,4.1,734 Ratings,Bangalore,,09606237920,,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Amitiel Consultants,<,3.5,2 Ratings,Bangalore,,08904238026,Internet Website Designers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Arkesh Technology Private Limited,<,4.5,89 Ratings,Bangalore,,06366932245,,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Califorbs,<,4.5,18 Ratings,Kozhikode,,08460391609,SEO Internet Website Designers; Internet Website Designers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Bloom It Solutions,<,4.2,181 Ratings,Bangalore,,08460225801,Digital Marketing Services; Internet Website Designers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.212Z
Quaantisc,+,4.8,40 Ratings,Bangalore,,09980809357,Internet Website Developers; Mobile Application Developers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Maani Web,M,5.0,7 Ratings,Bangalore,,08460213743,,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Rosp Website Platform,+,4.9,14 Ratings,Bangalore,,09035405690,Logo Designers; Mobile Application Developers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Inovsion,I,4.8,27 Ratings,Bangalore,,08460391363,Ios Mobile Application Developers; Mobile Application Developers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Vibhava Creations,+,4.5,345 Ratings,Bangalore,,09035152635,Videography,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Inspire Marketing,I,3.9,34 Ratings,Bagalkot,,,E Commerce Service Providers; Online Shopping Websites,true,false,false,false,false,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Technoviva,T,3.8,9 Ratings,Bangalore,,09980904480,Internet Website Designers; UPS Battery Dealers,true,false,false,true,false,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Ecdigi Technologies,E,4.8,37 Ratings,Coimbatore,,09725472199,E Commerce Service Providers; Digital Marketing Services,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
First Logic Meta Lab Pvt Ltd,F,4.1,56 Ratings,Malappuram,,08460521673,Software Companies; Computer Software Developers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Shout Out Llc,S,4.3,8 Ratings,Coimbatore,,08460394424,Digital Marketing Services; Advertising Agencies,true,false,false,false,false,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Plant 2 Tree Website Development And Digital Marketing Agency,+,4.9,34 Ratings,Vellore,,08460497351,Internet Website Designers; Advertising Agencies,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Mak Online Solutions Pvt Ltd,+,4.2,46 Ratings,Solapur,,,Offers Training Program,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Shiv Traders Instruments Private Limited,+,4.1,206 Ratings,Sangli,,,Computer Software Developers; Hardware Shops,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Robolabs R&D Pvt Ltd,+,5.0,8 Ratings,Hyderabad,,09725801812,Internet Website Designers; Mobile Application Developers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Real Soft Systems,+,5.0,29 Ratings,Pune,,08511774802,Internet Website Developers; Computer Graphic Designers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Around Manikonda,A,5.0,4 Ratings,Hyderabad,,07411593120,Internet Website Designers; Internet Website Developers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
The Creative Trading Co,T,5.0,3 Ratings,Chennai,,08460228549,Advertising Agencies; Internet Website Designers,true,false,false,false,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.213Z
Opalminds It Solutions Private Limited,O,4.8,9 Ratings,Trichy,,07411670188,Computer Software Developers; Mobile Application Developers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.214Z
Devourin,+,4.8,143 Ratings,Pune,,,Restaurant Billing Software Dealers; Computer Software Developers,true,false,false,true,true,Internet Website Designers,,Shivamogga,2025-06-03T15:19:18.214Z
