name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Harnahalli M Shanmukhkhachar Jewel House,<,4.2,97 Ratings,"Durgigudi Main Road Durgigudi, Shimoga",,08904993657,Silver Jewellery,true,false,false,true,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.892Z
Shri Bhagavathi Novelties,<,3.5,2 Ratings,"Savarkar Nagar Bh Road Shimoga, Shimoga",,08296900288,Imitation Jewellery,true,false,false,false,false,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.893Z
Balaji Jewellers,<,5.0,1 Ratings,"Near Signal Durgigudi, Shimoga",,08904993946,Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.893Z
Shanthala Jewellers,<,4.9,38 Ratings,"1st Parallel Road Durgigudi, Shimoga",,,Silver Jewellery; Old Jewellery Buy Back Option; Making Charges,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.893Z
Fathima Jewellers,<,4.3,6 Ratings,"OT ROAD SAWAI PALYA Gandhi Bazar, Shimoga",,,Gold Jewellery; Imitation Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.894Z
Raykar Jewellery,<,5.0,12 Ratings,"S Shivarudrappa  Road Shikaripur, Shimoga",,,Silver Jewellery; Gold Jewellery,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.894Z
Mythri My Jewel,<,4.7,290 Ratings,"Sri Sai Complex Llr Road, Shimoga",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.894Z
Madhu Jewellery Work,<,4.9,7 Ratings,"Balaji Complex Gandhi Nagar, Shimoga",,,Pearl Jewellery; Silver Jewellery,true,false,false,false,true,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.895Z
Sai Krupa Immitation Jewellers,<,4.1,50 Ratings,"Rajendra Nagara Rajendra Nagar, Shimoga",,,Imitation Jewellery; Shop In Store; Same Day Delivery,true,false,false,true,false,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.895Z
Roopadarshi Novelties,<,3.8,45 Ratings,"Gandhi Bazar Road Gandhi Bazar, Shimoga",,,Imitation Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,,Shivamogga,2025-06-03T15:21:02.895Z
