name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Shree Packers and Movers,<,4.9,142 Ratings,"7th Cross Chalukya Nagar, Shimoga",,09035392580,Residential Relocation Services; Within City,true,true,false,true,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.832Z
Sapthagiri Packers and Movers,<,3.7,12 Ratings,"B Block 2nd Cross Shimoga Market, Shimoga",,08971343822,Transporters; Packers And Movers,true,true,false,false,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.833Z
Girish Packers and Movers,<,3.7,14 Ratings,"BH Road Shimoga Market, Shimoga",,08460409674,Trucks On Rent; Residential Relocation Services,true,true,false,false,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.833Z
Km Packers & Movers,<,2.6,25 Ratings,"Karianna Building Vinoba Nagar, Shimoga",,08460428447,Residential Relocation Services,true,true,false,false,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.833Z
Akash Packers and Movers,<,4.6,38 Ratings,"Main Road Urgadur, Shimoga",,07041455038,Pets Transportation; All India; Within City,true,true,false,true,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.833Z
Yashvika Packers and Movers,<,4.8,21 Ratings,"JD Katte Bhadravathi, Bhadravathi-Karnataka",,08147961345,Residential Relocation Services; 24 Hours Packers and Movers,true,true,false,false,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.833Z
Chandana Packers and Movers,<,3.7,18 Ratings,"New Bridge Road Bhadravathi, Bhadravathi-Karnataka",,07022423203,,true,true,false,false,false,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.834Z
Shree Vittal Packers And Movers,<,4.9,52 Ratings,"Vinoba Nagar, Shimoga",,09972573662,Two Wheeler Transportation; Commercial And Office Relocation Services; Locals,true,true,false,true,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.834Z
Shri Raama Packers And Movers,<,5.0,82 Ratings,"Sagar Road Jail Road Shimoga, Shimoga",,07383853523,House Structure Relocation Services; Packers And Movers,true,true,false,true,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.834Z
Mr Prarthana,<,5.0,11 Ratings,"Savalanga Road, Shimoga",,09035044723,Packers And Movers; Packers And Movers (Within City),true,true,false,false,true,Packers & Movers,,Shivamogga,2025-06-03T15:43:13.834Z
