name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
L N S Service Provider,<,4.8,37 Ratings,"Nt Main Road Durgigudi, Shimoga",,08460490525,Plumbers; Electricians,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.724Z
Dream Colours,<,4.9,23 Ratings,"2nd Cross Savalanga Road, Shimoga",,08460420433,,true,true,false,false,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.724Z
H G P Constructions,<,3.9,6 Ratings,"Colony Bh Road Shimoga, Shimoga",,08904888671,Plumbing Contractors; Electricians,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.724Z
AS Waterproofing Solution,<,4.5,31 Ratings,"Colony Shimoga Savalanga Road, Shimoga",,09980774687,,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.724Z
Sri Veer Bhadhreshwara Glass Plywoods & Hardware,<,4.4,7 Ratings,"Sogilu Road Sagar, Sagara",,07485917679,3D Painting; Textured Wall Painting,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.724Z
Sri Siddeshwara Traders,<,4.6,14 Ratings,"1st Cross Durgigudi Durgigudi, Shimoga",,08460487433,Wood Coatings; Exterior Paint,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.725Z
New Star Interior,<,4.3,19 Ratings,"Bypass Road Durgigudi, Shimoga",,08460450401,PVC; Decorative,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.725Z
Sama Paint Palace,<,5.0,7 Ratings,"Gopala Road Tippu Nagar, Shimoga",,09725356857,Paint Dealers; House Painters,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.725Z
K K Traders,<,3.7,3 Ratings,"1st LeftCross Garden Area, Shimoga",,07041653082,Interior paint; Textured Paints,true,true,false,false,false,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.725Z
Haladamma Enterprises,<,4.8,28 Ratings,"N T Road Mandli, Shimoga",,07041745014,,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.725Z
Gangotri Enterprises,+,4.9,9 Ratings,"Badavane Gopala Extension, Shimoga",,07041729324,,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Dhanalakshmi Infra,+,4.3,75 Ratings,"Bandihalli Tiptur, Tumkur",,08488081601,Plumbers; Hardware Shops,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,true,false,false,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Unique Paints & Sachin Enterprises,+,4.1,8 Ratings,"Hospet Road Market, Sirsi",,,Paint Dealers; Painting Contractors,true,true,false,false,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Sri Sai Engineering Service,+,4.0,8 Ratings,"Mangalwarpeth, Hubli",,08401194263,Interior paint; Waterproofing,true,true,false,true,false,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
GNL Building Solutions Pvt Ltd,+,4.1,5 Ratings,"Rayanna Nagar Bhairidevarkoppa, Hubli",,,Waterproofing Chemical Dealers; Builders & Developers,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Southland Group Of Companies,+,4.2,115 Ratings,"PAPPANAICKENPALAYAM Gandhipuram, Coimbatore",,07022607720,Waterproofing; Wall Tiles,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Purnima Manpower Labour Supply Pvt Ltd,+,4.3,3 Ratings,"J Towers Road Ahmednagar Camp, Ahmednagar",,09035503270,Construction Contractors; Labour Contractors,true,true,false,false,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
A.K. Enterprises,+,4.1,113 Ratings,"Garden City Mira Road East, Mumbai",,09972838879,Exterior Paint; Interior paint; Same Day Delivery,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.726Z
Rediant Energy Industries,+,4.6,51 Ratings,"Parekh Marg Ladwadi Kalbadevi, Mumbai",,09725239663,Solar,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.727Z
Shree Decors,+,4.3,62 Ratings,"Gymkhana Road Dombivli East, Thane",,08511493514,Upvc Door; Bathroom Door Dealers; Apartment,true,true,false,true,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.727Z
Yesb Infratech Pvt Ltd,Y,4.2,12 Ratings,"- NH 48 Atak Pardi, Valsad",,09972267166,Building; Industrial,true,true,false,false,true,Painting Contractors,,Shivamogga,2025-06-03T15:41:19.727Z
