name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Renukamba Steel,<,3.0,2 Ratings,Shimoga,,09054743455,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.476Z
Prakash Metals Store,<,4.7,8 Ratings,Shimoga,,,Battery Scrap; Company Authorised Dealer,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.476Z
S A Enterprises,<,4.1,14 Ratings,Hassan,,09054506825,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.477Z
Hindustan Traders,<,4.3,34 Ratings,Davangere,,,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Ar Car Scrap,<,3.9,18 Ratings,Bangalore,,07041232513,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
K P P Alloys,<,4.1,31 Ratings,Bangalore,,07048501049,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Aisha Enterprises,<,3.7,3 Ratings,Bangalore,,08734946962,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Shakti Sales Corporation,<,4.1,349 Ratings,Goa,,,Plastic Scrap Dealers; Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
S K Enterprises,<,4.3,14 Ratings,Hubli,,09725463865,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
The BEST Polymers,<,3.9,6 Ratings,Mysore,,08511514021,Industrial Scrap Buyers; Scrap Dealers,true,false,false,true,false,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Indian Steels,+,4.0,21 Ratings,Tumkur,,07383802862,Steel Scrap Buyers; Scrap Dealers,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Sri Murugan Traders,+,4.3,18 Ratings,Karur,,08401748423,Battery Scrap,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
South Indian Scrap Traders,S,4.0,100 Ratings,Ernakulam,,,Aluminium Scrap Buyers; Scrap Buyers,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Kh Enterprises,K,4.2,44 Ratings,Chennai,,08123681753,Battery Scrap,true,false,false,false,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
Genuine Enterprises,+,2.0,4 Ratings,Kanchipuram,,09972361269,Battery Scrap,true,false,false,false,false,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.478Z
A G Enterprises,A,4.0,189 Ratings,Pune,,,Waste Management Services; Scrap Dealers,true,false,false,true,true,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.479Z
Shivdatta Traders,S,4.0,5 Ratings,Mumbai,,09980664981,Scrap Buyers; Scrap Dealers,true,false,false,false,false,Scrap Buyers,,Shivamogga,2025-06-03T15:46:40.479Z
