name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Durgamma Roadways,<,4.4,8 Ratings,Shimoga,,08904989533,Transporters; Transporters For Bangalore,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.481Z
Hindustan Transport Shimoga,<,4.2,94 Ratings,Shimoga,,07383249296,24 Hours Transporters; Transporters,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.481Z
Vmtc Logistics,<,4.4,37 Ratings,Mangalore,,08511915326,Domestic Courier,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.482Z
Arshiya Transport,<,4.2,13 Ratings,Chikmagalur,,09035044917,Tempos On Hire; Within City,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.482Z
Ma Kalka Roadlines,<,3.7,3 Ratings,Goa,,08460386456,Transport Agents; Trailer Transporters,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.482Z
Karnatak West Bengal All India Transport Company,<,4.6,10 Ratings,Bangalore,,08147536632,Transporters For Full Truck Load To Tamil Nadu; Transport Agents,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.483Z
Radhakrishna Transport,<,4.1,130 Ratings,Bangalore,,09980546498,Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.483Z
Jaipur Golden Transport,<,3.8,24 Ratings,Bangalore,,09845217514,Pay Ahead,true,false,false,false,false,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.483Z
Sri Vigneshwara Logistics,<,4.2,52 Ratings,Bangalore,,09035041615,Trucks On Rent; Domestic Courier; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.484Z
Sri Kiran Transport,<,4.7,33 Ratings,Tumkur,,07490016249,Transporters; Transporters For Bangalore,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.484Z
Royal Cargo Packers & Movers,+,4.8,170 Ratings,Dharwad,,08401217512,,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.484Z
Sree Ganesh Roadlines,+,3.5,61 Ratings,Bellary,,07383497565,Domestic Courier; Electronic,true,false,false,true,false,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Lata Packers and Movers,L,4.4,20 Ratings,Hospet,,07487906639,All India; Within City,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Express Roadlines,E,5.0,3 Ratings,Thrissur,,09980400189,Transporters For Full Truck Load,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Sri Kumaran Transports & Packers and Movers,+,4.6,14 Ratings,Coimbatore,,08511275817,Logistics; Local Logistic; Transportation,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Kaveri Cargo Movers,+,4.4,97 Ratings,Coimbatore,,08401638429,,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Vijaya Transport,+,4.1,52 Ratings,Salem,,07383222475,Transporters; Transporters For Chennai,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Shree Essar Logistic,S,5.0,2 Ratings,Bhavani,,07041479863,Trucks On Rent; Electronic,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.485Z
Jayasri Road Lines,+,4.5,29 Ratings,Tirupur,,09606403497,24 Hours Tempos; Tempos On Rent For Intracity; Transporters For Sports Equipments,true,false,false,false,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.486Z
Geetham Transport Service,+,4.6,90 Ratings,Tirupur,,08147951873,Trucks On Rent; Packers And Movers; Electronic,true,false,false,true,true,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.486Z
Sri Periyasamy Lorry Transport And Booking Office,+,4.1,29 Ratings,Namakkal,,08401269964,Transporters For Andhra Pradesh; Transporters,true,false,false,true,false,Transporters,Popular Transporters For Full Truck Load,Shivamogga,2025-06-03T15:26:28.486Z
