name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
XTUDIO,X,5.0,2 Ratings,Kasaragod,,,Videography,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.505Z
Blue Fox Systems,+,5.0,121 Ratings,Kannur,,,Online Shopping Websites; Internet Website Designers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.505Z
Ample Softwares Pvt Ltd,A,4.0,10 Ratings,Bangalore,,,IT Consultants; Computer Training Institutes,false,false,false,true,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.505Z
Conduite Endeavor Infosoft,C,3.2,30 Ratings,Bangalore,,,BPO; Call Centres,false,false,false,true,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.505Z
Greypath Solutions,G,2.7,3 Ratings,Bangalore,,,Property Developers; Mobile Application Developers,false,false,false,false,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.505Z
Aerodesign Solutions Pvt Ltd,+,4.5,18 Ratings,Bangalore,,,Internet Website Developers; AUTOCAD Training Institutes,true,false,false,true,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Onemore Websolutions,+,4.7,54 Ratings,Kozhikode,,,Logo Designers; Internet Website Designers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Ak Media,+,4.7,12 Ratings,Hosur,,,Multimedia Design Services,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Lumopix Media House,+,4.9,22 Ratings,Kozhikode,,,,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Frenzy Digital Media,+,4.8,44 Ratings,Salem,,,Internet Website Designers For Property; Photographers,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Cydez Technologies,+,4.8,109 Ratings,Ernakulam,,,Internet Service Providers; Transporters,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
Studio Gobo,+,4.7,33 Ratings,Ernakulam,,,Studios On Rent; Film Production Houses,true,false,false,false,true,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
420 Films,+,5.0,1 Ratings,Ernakulam,,,Videography,true,false,false,false,false,Vocational training,Popular Multimedia Design Services,Shivamogga,2025-06-03T16:15:39.506Z
