name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Perfect Refrigeration,<,4.3,63 Ratings,"Complex Banashankari Road, Tumkur",,08485981013,AC Dealers-Carrier; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.200Z
Smart Point,<,4.2,67 Ratings,"1st Cross Siddaganga Extension, Tumkur",,07383802621,Washing Machine Repair & Services-LG; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.200Z
Jai Shree Refrigeration,<,4.7,14 Ratings,"Chickpet Main Road Mandipet, Tumkur",,07383806901,AC Part Dealers; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.201Z
Mks AIR Services,<,4.8,91 Ratings,"Road Tumkur Banashankari Road, Tumkur",,08460234798,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,false,true,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.201Z
New Cool World,<,4.4,34 Ratings,"Mg Road Mg Road Tumkur, Tumkur",,09054438482,AC Equipment Repair & Services; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.202Z
N.N. Cool System,<,4.8,16 Ratings,"1st Cross Bh Road, Tumkur",,07383811726,Split AC Repair & Services; Washing Machine Repair & Services,true,true,false,true,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.202Z
Popular Tech,<,4.4,33 Ratings,"Sidganga Extension Bh Road, Tumkur",,07383807290,AC Repair & Services-Daikin; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.203Z
Cool Mode,<,4.7,65 Ratings,"Sadashiva Nagar, Tumkur",,07041350651,Copper Ro Water Purifier Repair,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.203Z
Cool Creators,<,4.3,11 Ratings,"Barlini Road Barline, Tumkur",,09054532268,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,false,true,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.204Z
Fs Gulf Cooling,<,4.8,42 Ratings,"8th Cross Sadashiva Nagar, Tumkur",,08460209868,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.205Z
A S Home Appliances (Longstar Showroom),+,5.0,2 Ratings,"Main Road Banashankari Road, Tumkur",,07405728593,Home Appliance Dealers; Washing Machine Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.205Z
Vr Refrigeration,+,4.8,5 Ratings,"Kunigal Road Banashankari Road, Tumkur",,,Washing Machine Repair & Services; Refrigerator Repair & Services,true,true,false,false,true,AC Repair & Services,,Tumkur,2025-05-31T10:41:06.206Z
