name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Tulasi Makeup Academy and Designer Boutique,<,5.0,27 Ratings,"Near Kasturba Hospital SS Puram, Tumkur",,09972904083,Home Services Offered; Waxing; Facial,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.436Z
Green Trends Salon,<,4.6,"2,968 Ratings","Road Bata Showroom Bh Road, Tumkur",,08904956237,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.436Z
Heaven Beauty Artist Makeup Studio,<,4.9,19 Ratings,"Gangothri Main Road Sit, Tumkur",,07383812469,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Magic Mirror Unisex Saloon,<,4.7,25 Ratings,"Main Road Sadashiva Nagar, Tumkur",,09035844720,Home Services Offered; Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Makeover By Divya,<,5.0,1 Ratings,"Road Hanumanthpura Link Road, Tumkur",,09980146897,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Shashi Makeover,<,5.0,8 Ratings,"SS Puram, Tumkur",,08123046005,Home Services Offered,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Shree Bridal Makeup and Mehendi Artist,<,4.9,15 Ratings,"8th Cross 3rd Main SS Puram, Tumkur",,08123915821,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
NITHYAM MAKEUP ACADEMY AND STUDIO,<,5.0,7 Ratings,"Cross MG MG Road Tumkur, Tumkur",,09035268683,Facial; Bridal Makeup,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Akshitha Makeup and Mehandi Artist,<,4.9,29 Ratings,"12th Cross Link Road Sit Campus, Tumkur",,07383813349,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.437Z
Back to Beautiful Makeup Studio,<,5.0,4 Ratings,"Shettihalli Main Road Jayanagar, Tumkur",,08734975676,Home Services Offered; Bridal Makeup,true,true,false,true,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.438Z
Dashami Make Up Studio,+,5.0,20 Ratings,"Kyatsandara Gokula Extension, Tumkur",,07383079399,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.438Z
Makeover By Preethi Gowda,+,5.0,1 Ratings,"Abjakanahalli Road Yalapura, Tumkur",,08197413146,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.439Z
Ds Makeup Academy And Beauty Zone,+,5.0,1 Ratings,"BM Road Kunigal, Tumkur",,,Home Services Offered; Waxing; Facial,true,true,false,false,true,Beauty Spa,Popular Groom Makeup Artists,Tumkur,2025-05-31T10:48:47.439Z
