name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Macho Men's Salon,<,4.3,122 Ratings,"Upparalli Main Road Bh Road, Tumkur",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.446Z
Sampoorna Ladies Beauty Parlour And Spa,<,4.8,9 Ratings,"SIT Extention Sit, Tumkur",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.446Z
Nalika Spa And Salon,<,4.8,538 Ratings,"Puram Ss Puram Main Road, Tumkur",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.447Z
Naturals Salon,<,4.4,"1,382 Ratings","Shiva Kumar Swamy Circle Bh Road, Tumkur",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.447Z
Zion Beauty Parlour,<,4.6,534 Ratings,"Sit Main Road Sit Campus, Tumkur",,,Hair Spa,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.448Z
Sakhi The Bridal Studio (Ni),<,3.5,89 Ratings,"1st Floor Bh Road, Tumkur",,,Home Services Offered; Skin Treatment,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
V Care Saloon,<,5.0,2 Ratings,"Tiptur, Tumkur",,,Beauty Spas; Beauty Parlours,false,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Raksha Beauty Parlour,<,4.9,44 Ratings,"GMS Complex Chickpet, Tumkur",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Appaji Hair Dresses,<,5.0,8 Ratings,"MG Road Gubbi, Tumkur",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Ayush Karmalaya,<,4.0,19 Ratings,"Venkateshpura Sira Road Tumkur, Tumkur",,,Salons; Beauty Spas,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
M-Zone,M,4.0,1 Ratings,"Kunigal Road Banashankari Road, Tumkur",,,Beauty Spas; Salons,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Lee Unisex Salon,L,4.1,10 Ratings,"SIT Back Gate Road Sit Campus, Tumkur",,,Beauty Parlours For Hair Straightening; Beauty Spas,false,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Mansi Ladies Beauty Parlour,+,4.1,22 Ratings,"Tiptur, Tumkur",,,Home Services Offered,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Likitha Hair Style,+,4.2,22 Ratings,"Sampige Nittur Road Sampige, Tumkur",,,Salons; Beauty Spas,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
The Mirrors Beauty Spa,+,4.8,39 Ratings,"Tiptur, Tumkur",,,,true,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Pari Salon,P,4.8,17 Ratings,"Rangappanapalya Rangappanapalya, Sira",,,,false,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Lakme Saloon,L,4.0,4 Ratings,"Station Road Gandhi Nagar Tumkur, Tumkur",,,Beauty Salons For Men (Premium); Beauty Spas,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Facelook Mens Parlour,F,3.5,2 Ratings,"Maruthu Nagar, Tumkur",,,,true,true,false,false,false,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
Style well,S,5.0,1 Ratings,"Station Ashoka Road Tumkur, Tumkur",,,Beauty Spas; Beauty Parlours,false,true,false,false,true,Beauty Spa,Popular Beauty Spas,Tumkur,2025-05-31T10:50:23.449Z
