name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sv Catering,<,5.0,4 Ratings,"Chikpet Chickpet, Tumkur",,08197188491,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Sri Venkateshwara Caterers Specialist For Brahmins,<,5.0,1 Ratings,"3rd Cross Ss Puram, Tumkur",,,,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Naveen Brahmin Catering,<,5.0,2 Ratings,"Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Udupi Krishna Dhama Veg Restaurant,<,4.4,7 Ratings,"Main Road Doddaballapur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Maltose Marriage Village,<,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Bangarpete Chaats and Catering Service,<,3.9,26 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Vasavi Caterings And Charts,<,4.0,3 Ratings,"Vasavi Main Road Doddaballapur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.481Z
Sri Vinayaka Enterprises,<,4.4,21 Ratings,"Terinabeedi Doddaballapur, Bangalore",,08488924306,Hotel Management and Catering Technology,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
Hotel House Full,<,3.3,33 Ratings,"Hotel House Full Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
Hotel Rajashree Comforts,<,3.6,"1,076 Ratings","D Cross Doddaballapur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
Sri Nandi Utsava,+,4.4,26 Ratings,"Yelahanka Road Doddaballapur, Bangalore",,07048268839,Home Delivery,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
Bsv Catering Group,+,4.5,12 Ratings,"College Road Chikbanavara, Bangalore",,09980549466,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
SLV Party Hall,+,4.3,220 Ratings,"Main Road Chikbanavara, Bangalore",,,Banquet Halls; Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
Daakshya Catering,D,5.0,2 Ratings,"Main Road Chikbanavara, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.482Z
SRI EVENTS & CATERING SERVICES,S,4.3,7 Ratings,"Soundarya Layout Chikbanavara, Bangalore",,07041694267,Home Delivery,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
A N M Catering Serives,A,3.2,3 Ratings,"Coconut Hessargatta Main Road, Bangalore",,,Cooks; Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
Star Beats,S,4.9,10 Ratings,"20th Cross Hessargatta Main Road, Bangalore",,,,false,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
Sri Manjunatha Events And Caterers,+,4.8,372 Ratings,"Sidedalli Main Road Nagasandra, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
Annapoorneshwari Catering Services,+,5.0,4 Ratings,"Road Nagasandra Post Nagasandra, Bangalore",,07043650212,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
Sri Durga Catering & Service,+,4.6,27 Ratings,"1st Main Road Nagasandra, Bangalore",,09980544161,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
Balaji Catering,+,4.3,7 Ratings,"Layout 2nd Stage Kadabagere, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.483Z
SRI DURGHA EVENTS & CATERING,S,4.6,5 Ratings,"Main Road Bagalagunte, Bangalore",,09606112559,Home Delivery,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Sai Satkar Convention Centre,+,4.2,510 Ratings,"Main Road Yelahanka, Bangalore",,,Caterers; Convention Halls,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Snr Caterings,+,4.4,5 Ratings,"Karihobanahalli, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Sri Tirumala Pure Andhra Style Veg Caterers and Marriage Contractors,+,4.6,50 Ratings,"Swamiji Rd Jalahalli West, Bangalore",,08460220604,Parking Available; 24 Hours; Home Delivery,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Guruprasad Caterers,G,5.0,1 Ratings,"Vidyamanya Nagara Andrahalli, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Rajpurohit Caterers,+,5.0,1 Ratings,"Gate Chikka Gollarahatti, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.484Z
Sri Vinayaka Tent House,+,4.9,12 Ratings,"Wash Singapura Vidyaranyapura, Bangalore",,,Caterers; Tent House,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.485Z
Sastry and Sastry Pure Andhra Style Veg Caterers,+,5.0,3 Ratings,"Kammagondanahalli Jalahalli West, Bangalore",,09035063726,,true,false,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.485Z
Brahmins Home Catering Services,B,3.9,7 Ratings,"8th Cross Yelahanka New Town, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.485Z
Sri Manjunatha Tent House,+,5.0,35 Ratings,"Main Road Yelahanka, Bangalore",,,Tents On Rent; Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.485Z
Sri Dns Catering Services,+,4.9,21 Ratings,"Nagar D Group Employees Layout, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
K B Caterers,K,4.0,4 Ratings,"Kempegowda Layout Laggere, Bangalore",,,Caterers; Veg Caterers,true,true,false,true,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Pranav Lakshmi Enterprises,P,3.9,4 Ratings,"L G Ramanna Layout Laggere, Bangalore",,,Veg Caterers Upto 150 Persons; Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Pallavi Caterers,P,5.0,1 Ratings,"Byadrahalli Sunkadakatte, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Industria Caterer,+,3.4,11 Ratings,"Peenya Industrial Area Phase 2, Bangalore",,,Caterers; Brahmin Food Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Panjurli Veg Catering,P,3.5,4 Ratings,"4th Phase Peenya Industrial Area, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Sudharma Caterers,+,4.4,43 Ratings,"Layout Vidyaranyapura  Block 1, Bangalore",,07383794908,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Sri Sai Caterers,+,3.5,2 Ratings,"Madeshwara Nagar-Sunkadakatte, Bangalore",,08904264191,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Sri Mahadeshwara Tiffin Center,+,3.8,213 Ratings,"Narasipura Layout Vidyaranyapura, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Kvr Foods & Caterers,K,4.0,3 Ratings,"Main Road Chamundeswari Layout, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Om Caterers,O,4.5,4 Ratings,"Doddabomasandra Vidyaranyapura, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Mr Roopa,M,3.8,3 Ratings,"12th Cross Vidyaranyapura, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Chavish Events,C,4.2,12 Ratings,"No. 21 Laggere, Bangalore",,,Event Organisers; Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Imperio Restaurant,+,3.5,"1,006 Ratings","Village yelahanka new town, Bangalore",,,,true,false,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.486Z
Anil Balloon Decoration,+,4.7,75 Ratings,"Main Road Vidyaranyapura, Bangalore",,,On Site Services,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Sri Kanteshwara Catering Services,S,3.5,2 Ratings,"Sunkadakatte, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Mediaholic Events and Entertainment,+,4.3,17 Ratings,"Jalahalli Post Jalahalli, Bangalore",,,Decorator,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Udupi Vaibhava,+,4.0,"1,001 Ratings","Vidyaranyapura, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Vadhiraj Caterers,V,4.3,2 Ratings,"to Krishna Tepmle Vidyaranyapura, Bangalore",,,Caterers Upto 500 Persons; Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
The Food Caterers,T,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Shree L J Foods And Caterers,+,4.0,3 Ratings,"Yelahanka Dairy Cross Yelahanka, Bangalore",,,Home Delivery,false,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Ashirwad Caterers,+,4.6,310 Ratings,"Bank Layout Sahakara Nagar, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Mahalakshmi Caterers And Sweets,M,4.5,1 Ratings,"3rd Main Nagarbhavi, Bangalore",,,Caterers; Veg Caterers,false,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Anup Caterers,A,4.8,8 Ratings,"Kogilu Main Road Yelahanka, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Megha Tent House And Swamy Caterers,M,5.0,3 Ratings,"Magadi Nice Road Kodigehalli, Bangalore",,,Caterers; Tent House,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Moodala Mane,+,3.9,200 Ratings,"2nd Stage Mallathahalli, Bangalore",,,,false,false,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Maha Tejaswi Caterers,+,4.9,10 Ratings,"Near Nethaji Mathikere, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
B R S Catering and Food Products,+,5.0,1 Ratings,"Stage Hmt Layout Mathikere, Bangalore",,08460429871,Caterers; Veg Caterers,true,true,false,true,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Royal Catering,+,5.0,6 Ratings,"ITI Layout Nagarbhavi 2nd Stage, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.487Z
Mr Prasad,+,4.2,23 Ratings,"Palya Nagarbhavi 2nd Stage, Bangalore",,,Caterers; Event Organisers,true,true,false,true,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.488Z
Nammane Caterers,+,4.0,1 Ratings,"Feet Road Nagarbhavi 2nd Stage, Bangalore",,,Caterers For Chaat; Caterers,true,true,false,false,false,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.488Z
RC Caterers Groups,+,5.0,1 Ratings,"NGEF Layout Mallathahalli, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.488Z
Akshaya Deluxe Veg And Non Veg Multicuisine Restaurant,+,4.1,"6,217 Ratings","New Bel Road, Bangalore",,,,false,false,false,false,true,Caterers,Popular Brahmin Food Caterers,Tumkur,2025-05-31T11:01:13.488Z
