name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
H Group & Arbin Caterers,<,5.0,2 Ratings,"2nd Stage Banashankari Road, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.025Z
Narasimha Swamy Catring,<,3.5,2 Ratings,"Indian ATM Gokula Extension, Tumkur",,08487058077,24 Hours; Home Delivery,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.025Z
Prasad Hotel,<,3.9,"2,537 Ratings","Siddheshwar Complex Mandipet, Tumkur",,,,true,false,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.025Z
bandi mane restaurant,<,3.7,114 Ratings,"Highway Chokkenahalli Tumkur HO, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.025Z
Imperial 75 Restaurant,<,4.9,7 Ratings,"Talekere Hand Post Kunigal, Tumkur",,,,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.025Z
Hotel Darshan,<,4.2,34 Ratings,"Kalyana Mantapa Bheemasandra, Tumkur",,,,true,false,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
T K Azan Catering,<,3.5,3 Ratings,"2nd Cross Sadashiva Nagar, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Vv Caterers,<,4.9,16 Ratings,"Ssit College  Road Gulur, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Vv Caterers,<,5.0,1 Ratings,Tumkur,,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Brundha Catering Service and Events,<,4.5,2 Ratings,"Bg Palya Circle Bh Road, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Mom's Kitchen,+,4.0,4 Ratings,"Heggare Tumkur Ho, Tumkur",,,,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
S K Catering,S,4.0,1 Ratings,"Ring Road Sadashiva Nagar, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Ak Momin Caterers,+,5.0,1 Ratings,"Main Road Amarjyothi Nagar, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Iqra Caterers,+,4.4,9 Ratings,"Building Main Road PH Colony, Tumkur",,,Caterers; Veg Caterers,false,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Hotel Madhushree,H,4.0,2 Ratings,"Main Road Gandhi Nagar Tumkur, Tumkur",,,,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Sri Martuhi Daba,S,5.0,1 Ratings,"National Highway Guligenehalli, Sira",,,,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Annapurneshwari Cooking,A,5.0,1 Ratings,"Kalidasa Badavane Tumkur Ho, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Davanagere Benne Dose,+,5.0,1 Ratings,"2nd Cross Mg Road Tumkur, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Gani Caterers,G,5.0,1 Ratings,"RTO Office Road Kyathasandra, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Garden Caterers,G,4.5,1 Ratings,"B.h Road Nelamangala, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Chowdeshwari Catering Services,+,4.7,24 Ratings,"Nh4 Tumkur Road Nelamangala, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
V B Restaurant,+,4.0,506 Ratings,"NH-4 Dasanapura, Bangalore",,,,false,false,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Annaporneshwari Suppliers,A,5.0,1 Ratings,"Thyagaraja Nagar Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Maltose Marriage Village,+,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Bangarpete Chaats and Catering Service,B,3.9,26 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
Sri Byraveshwara Hotel & Pork Shop,S,4.0,21 Ratings,"Hesagratta Main Road Hessargatta, Bangalore",,,,true,true,false,false,false,Caterers,Popular Non Veg Caterers,Tumkur,2025-05-31T11:09:35.026Z
