name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Canara Caterers,<,4.9,162 Ratings,"Devanoor Road Vijaynagar, Tumkur",,08904956724,Caterers For Wedding; Caterers,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.021Z
S V S Catering,<,4.2,47 Ratings,"Road Srirama Nagara Kotithopu, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Manjunatha Caterers,<,4.8,10 Ratings,"Upparahalli Tumkur, Tumkur",,,Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Gks Holige Mane and Catering Services,<,4.7,41 Ratings,"GK's Holige Mane Sit Main Road, Tumkur",,,,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Sri Gajanana Caterers,<,4.9,12 Ratings,"Sidharameshwara Badvane Batawadi, Tumkur",,,24 Hours; Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Sri Annapoorneswari Caterers & Catering Contractors,<,5.0,2 Ratings,"Yellapura Yellapur, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Charbhuja Caterers,<,4.8,5 Ratings,"15th Cross SS Puram, Tumkur",,,Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Mom's Kitchen,<,4.0,4 Ratings,"Heggare Tumkur Ho, Tumkur",,,,true,true,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
Chowdeshwari Catering Services,<,4.7,24 Ratings,"Nh4 Tumkur Road Nelamangala, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
New Garden Restaurant,<,3.8,662 Ratings,"Jyothi Nagar Nelamangala, Bangalore",,,,false,false,false,true,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.022Z
V B Restaurant,+,4.0,506 Ratings,"NH-4 Dasanapura, Bangalore",,,,false,false,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Naveen Brahmin Catering,N,5.0,2 Ratings,"Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Annaporneshwari Suppliers,A,5.0,1 Ratings,"Thyagaraja Nagar Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Maltose Marriage Village,+,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,true,false,false,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Bangarpete Chaats and Catering Service,B,3.9,26 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Vasavi Caterings And Charts,V,4.0,3 Ratings,"Vasavi Main Road Doddaballapur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Sri Vinayaka Enterprises,+,4.4,21 Ratings,"Terinabeedi Doddaballapur, Bangalore",,08488924306,Hotel Management and Catering Technology,true,true,false,true,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Hotel House Full,H,3.3,33 Ratings,"Hotel House Full Doddaballapur, Bangalore",,,Home Delivery,true,true,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Hotel Rajashree Comforts,+,3.6,"1,076 Ratings","D Cross Doddaballapur, Bangalore",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Sri Nandi Utsava,+,4.4,26 Ratings,"Yelahanka Road Doddaballapur, Bangalore",,07048268839,Home Delivery,true,true,false,true,true,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
Royal Cafe,+,3.9,8 Ratings,"Maruti Mandir Road Achitnagar, Bangalore",,,,true,false,false,false,false,Caterers,Popular North Indian Caterers,Tumkur,2025-05-31T11:10:34.023Z
