name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
RNS CATERERS,<,4.4,68 Ratings,"Sit, Tumkur",,08460450321,Parking Available,true,true,false,false,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.376Z
C G Mohan Groups,<,4.5,18 Ratings,"2nd Main 6th Cross Vijaynagar, Tumkur",,08460515609,Valet Parking Service; 24 Hours; Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.376Z
Narasimha Idli Hotel,<,4.6,116 Ratings,"Ss Puram Main Road Ss Puram, Tumkur",,08734957115,,true,true,false,true,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.376Z
Sri Sai Dhanalakshmi Flower Decorates and Event Management,<,4.8,17 Ratings,"SIT Main Road Sit, Tumkur",,,Balloon Arch; Balloon Backdrop; Balloon Sculpture,true,true,false,true,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.377Z
SRS Catering,<,4.3,22 Ratings,"Medhar Bidhi Kyatasandra, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.377Z
Sv Catering,<,5.0,4 Ratings,"Chikpet Chickpet, Tumkur",,08197188491,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.377Z
Narasimha Swamy Catring,<,3.5,2 Ratings,"Indian ATM Gokula Extension, Tumkur",,08487058077,24 Hours; Home Delivery,true,true,false,false,false,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.377Z
New Udupi Grand,<,3.6,606 Ratings,"Road Ashoka Road Tumkur, Tumkur",,,,false,false,false,false,false,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.378Z
Halli Mane Mess,<,4.3,626 Ratings,"9th&10thCross Ashok Nagar Tumkur, Tumkur",,,Parking Available,true,true,false,false,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.378Z
Sri Annapoorneswari Caterers & Catering Contractors,<,5.0,2 Ratings,"Yellapura Yellapur, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,true,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.378Z
bandi mane restaurant,+,3.7,114 Ratings,"Highway Chokkenahalli Tumkur HO, Tumkur",,,Caterers; Veg Caterers,true,true,false,false,false,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.378Z
Sri Catering Services,S,5.0,3 Ratings,"Chickpet Chickpet, Tumkur",,,Caterers; Caterers For Function,false,true,false,false,false,Caterers,Popular Caterers For Parties,Tumkur,2025-05-31T11:12:40.378Z
