name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Mom's Kitchen,<,4.0,4 Ratings,"Heggare Tumkur Ho, Tumkur",,,,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.243Z
Maltose Marriage Village,<,5.0,10 Ratings,"Madeshwara Village Doddaballapur, Bangalore",,,Valet Parking Service; Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.244Z
Bangarpete Chaats and Catering Service,<,3.9,26 Ratings,"Temil Nadu Bank Doddaballapur, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.244Z
Hotel House Full,<,3.3,33 Ratings,"Hotel House Full Doddaballapur, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.244Z
Sri Nandi Utsava,<,4.4,26 Ratings,"Yelahanka Road Doddaballapur, Bangalore",,07048268839,Home Delivery,true,false,false,true,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.244Z
Mom's Kitchen,<,4.3,62 Ratings,"Main Road Dasarahalli Hebbal, Bangalore",,,,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.244Z
Sai Annapoorna Caterers,<,4.5,2 Ratings,"Model Colony T Dasarahalli, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
Chill Out,<,5.0,1 Ratings,"Devasandra New Bel Road, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
E To E Caterers PVT LTD,<,4.0,8 Ratings,"No.176-178 Yelahanka, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
The Food Caterers,<,5.0,1 Ratings,"Mathikere Main Road Yeshwanthpur, Bangalore",,,Home Delivery,false,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
Indian Kitchen,+,4.5,20 Ratings,"Vidyaranyapura, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
Mom's Kitchen,+,3.7,3 Ratings,"Dollars Colony-RMV 2nd Stage, Bangalore",,,,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
Akshaya Deluxe Veg And Non Veg Multicuisine Restaurant,+,4.1,"6,217 Ratings","New Bel Road, Bangalore",,,,false,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.245Z
Balaji Caterers,B,2.8,2 Ratings,"Sonnenahalli, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Mom's Kitchen,+,4.5,1 Ratings,"4th Main Road Isro, Bangalore",,,,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Annapoorneshwari Caterers,+,4.0,2 Ratings,"7th A Cross Nagarbhavi, Bangalore",,,Home Delivery,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Venjer Caters,V,3.0,1 Ratings,"1st A Main Amruthahalli, Bangalore",,,Caterers; Veg Caterers,false,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Dharma Catering,D,5.0,1 Ratings,"Rajajinagar 1st Block, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Golden Moments,G,5.0,7 Ratings,"Chandra Layout Chandra Layout, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
The Great Maharaja Caterers,T,5.0,2 Ratings,"No. 805/B Hebbal Agri Farm, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
22 Catering Co,+,4.5,51 Ratings,"Layout Chiranjeevi Layout, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Prem CATRERES,P,5.0,1 Ratings,"Fortune Valley Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Sri Ganesh Caterers,S,2.8,4 Ratings,"Yelahanka Main Road Hebbal, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Silverline Chocolate & Cakes,S,4.0,6 Ratings,"8th Crs Sadashivanagar, Bangalore",,,,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Ajaz Royal Caterers,A,4.0,1 Ratings,"Dinnur Mn Rd Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,false,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Pintu Caterers,+,4.6,59 Ratings,"Reddy Road Mariyanapalya Hebbal, Bangalore",,,Home Delivery,true,false,false,true,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Ramakanta Caterers,R,4.5,2 Ratings,"#1 Mariyannapalya, Bangalore",,,Caterers; Caterers Upto 50 Persons,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Heera Caterers Pvt Ltd,+,4.3,304 Ratings,"Mariyannapalya Road Hebbal, Bangalore",,,Caterers; Veg Caterers,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.246Z
Sukhdev Caterers,+,4.7,162 Ratings,"Kempapura Hebbal, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.247Z
S 2 V Catering Service,+,4.2,33 Ratings,"Main Road Rt Nagar, Bangalore",,,Home Delivery,true,false,false,false,true,Caterers,Popular Punjabi Caterers,Tumkur,2025-05-31T11:13:38.247Z
