name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
R K World Wide Courier Logistics And Freight Forwarder,<,4.1,77 Ratings,"3rd Cross Mg Road Tumkur, Tumkur",,08401039648,Door to Door,true,true,false,true,true,Courier Services,,Tumkur,2025-05-31T11:21:14.845Z
DTDC Courier Domestic & International,<,4.9,30 Ratings,"Nehahal Post Vasanthanarasapura, Tumkur",,,International Courier; Domestic Courier,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.845Z
Fastmove Courier,<,4.7,3 Ratings,"Kurudusonnenahalli, Bangalore",,08105091177,Corporate Courier; Ecommerce Courier; Cargo Service,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.845Z
Apeksha Logistics Pvt Ltd,<,4.5,1 Ratings,"Main Road Singahalli, Bangalore",,07041967715,Cargo Service; Domestic Courier; Urgent Shipment Delivery,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.846Z
Sri Ganapathy Transport and Traveling Agency,<,4.5,19 Ratings,"Palayam Kalappa Naicken Palayam, Coimbatore",,08123376960,Courier Services; Transporters,true,true,false,true,true,Courier Services,,Tumkur,2025-05-31T11:21:14.846Z
Sky Land Xpress Cargo,<,4.0,44 Ratings,"KPN Colony Union Mill Road, Tirupur",,,,true,true,false,true,true,Courier Services,,Tumkur,2025-05-31T11:21:14.846Z
Alleppey Parcel Service L L P,<,4.0,74 Ratings,"Vazhichery Ward Court Road, Alappuzha",,,Commercial Courier; Corporate Courier; Ecommerce Courier,true,true,false,true,true,Courier Services,,Tumkur,2025-05-31T11:21:14.846Z
Urbx Worldwide,<,4.7,74 Ratings,"Cochin Special Economic Zone, Ernakulam",,08401097476,International Courier; Cargo Service; Domestic Courier,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.847Z
Xpress INDIA,<,4.2,399 Ratings,"Street Industrial Colony Trichy, Trichy",,07383608407,Cargo Service; Trucks On Rent; Bulk Courier,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.847Z
Fastmove Courier & Cargo Services,<,5.0,2 Ratings,"MD Farm Road Kanajiguda, Hyderabad",,08733880985,Corporate Courier; Bulk Courier; Speed Post,true,true,false,false,true,Courier Services,,Tumkur,2025-05-31T11:21:14.847Z
