name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Raksha Events,<,4.8,12 Ratings,"Road Kuvempunagar Tumkur, Tumkur",,08460514758,Flower Decorators; Photographers,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.522Z
Sri Ragavendra Flower Decoration,<,5.0,12 Ratings,"Road Koratagere Taluk Kolala, Devarayanadurga",,08904993949,Flower Decorators; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.522Z
Vasu Events Tumkur,<,5.0,8 Ratings,"1st Cross Ashok Nagar Tumkur, Tumkur",,08511491962,Event Management Companies; Flower Decorators,true,true,false,false,false,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.522Z
New Manjushree Flower Decoration,<,5.0,3 Ratings,"Garden Road Dibbur, Tumkur",,07383806273,Flower Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.522Z
Slr Events,<,4.5,29 Ratings,"Anjanaya Temple Road Gulur, Tumkur",,07487094849,Videography,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.522Z
Garike Event Organizers,<,3.5,2 Ratings,"Tank Vidya Vidya Nagar Tumkur, Tumkur",,07204634268,Videography,true,true,false,false,false,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Sri Beereshwara Convention Hall,<,3.4,250 Ratings,"Tumakuru Bh Road, Tumkur",,08128592269,Flower Decorators; Event Organisers,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Our Dream Event & Wedding Planner,<,4.7,3 Ratings,"Main Road Settihalli Tumkur, Tumkur",,08904246079,Flower Decorators; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Sree Rajarajeshwari Flower Decoration,<,5.0,23 Ratings,"Street Kyathsandra Batawadi, Tumkur",,08460305863,Balloon Arch; Same Day Delivery,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Avadhutha Captures,<,4.3,11 Ratings,"Sridevi Girls Sira Road Tumkur, Tumkur",,,Videography,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Sri Guru Skanda Enterprices And Events,+,4.5,2 Ratings,"Bilidevalaya Kunigal, Tumkur",,07022300309,Flower Decorators; Birthday Party Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Sangeeth Musics (Paid),+,4.5,45 Ratings,"Horpet Circle SS Puram, Tumkur",,,Bands; Orchestra Bands,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Likitha Entertainers And Events,+,4.6,5 Ratings,"Town Hall Circle Mg Road Tumkur, Tumkur",,07411593646,Event Organisers; Flower Decorators,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
KUSHAL EVENTS,K,5.0,1 Ratings,"Nagar 11th Cross Sit Extension, Tumkur",,08460561463,Balloon Arch; Balloon Backdrop; Photo Booth,true,true,false,false,false,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Shree Utsav Events And Photo Capture,+,4.3,53 Ratings,"Sit Main Road 4th Cross Sit, Tumkur",,08123165879,Photo Studios; Photographers,true,false,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.523Z
Sri Chayaputhra,+,3.5,2 Ratings,"Yediyur Ho Kunigal, Tumkur",,08511884305,Flower Decorators; Birthday Party Decorators,true,true,false,false,false,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Lucky's Events Zone,L,4.7,7 Ratings,"BM ROAD Kunigal, Tumkur",,07383590348,Videography,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Sonu Melodies Orchestra,+,4.4,19 Ratings,"Goodshed Colony Bh Road, Tumkur",,07383802271,Bands; Orchestra Bands,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Vilasini Events and Entertainment,+,4.6,37 Ratings,"Ssit College Saraswathipuram, Tumkur",,07041509140,Balloon Arch; Balloon Backdrop; Decorator,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Sri Sai Dhanalakshmi Flower Decorates and Event Management,+,4.8,17 Ratings,"SIT Main Road Sit, Tumkur",,,Balloon Arch; Balloon Backdrop; Balloon Sculpture,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Queen Flower Shop,+,4.5,2 Ratings,"Bh Road Bh Road, Tumkur",,07795735981,Car Decoration; Corporate,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Queen Flowerist,+,4.6,26 Ratings,"Bh Road, Tumkur",,09054549874,Banquet Hall Decoration; Car Decoration; Same Day Delivery,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Tarun Flowers,+,4.1,4 Ratings,"Barline Road Barline, Tumkur",,07383802867,Banquet Hall Decoration; Car Decoration,true,true,false,true,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Sura Lightpictures,+,5.0,72 Ratings,"Khati Sub Road Doddaballapur, Bangalore",,09054490351,Destination Wedding Venues; Destination Wedding Venues In Bangalore,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
Vibhava Creations,+,4.5,345 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Event Organizer,Popular Event Organisers,Tumkur,2025-05-31T11:29:01.524Z
