name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Arvika Prop Studio,<,4.4,7 Ratings,"R T Road Sira, Sira",,08511247836,Studio Photography; Cinematography; Traditional Videography,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Sangeeth Musics (Paid),<,4.5,45 Ratings,"Horpet Circle SS Puram, Tumkur",,,Bands; Orchestra Bands,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Vibhava Creations,<,4.5,345 Ratings,"Cross Rajajinagar Srirampuram, Bangalore",,09035152635,Videography,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Masters Event Management,<,4.5,85 Ratings,"Ward No 8 Town Hall Sqaure, Chickballapur",,,Event Organisers; Caterers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Sri Karpagarani Kerala Chenda Melam And A To Z Wedding Planners,<,3.8,110 Ratings,"Sabapathy Street Sangliandapuram, Trichy",,,Caterers; Chenda Melam Players,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Singer Posh James,<,5.0,6 Ratings,"Hospital Bhayandar West, Thane",,07411948322,Individual Performer; Live Music; Live Performances,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
First Choice Bartender Event Management,<,4.0,1 Ratings,"Apollo Bunder, Mumbai",,08050991738,Bartender Services; Cocktail Party Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Abhinandan Events Pvt. Ltd.,<,4.4,389 Ratings,"Mudhliyar Nagar Rukhmini Nagar, Amravati",,,Book Appointment,true,true,false,true,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.858Z
Enzoey.com,<,4.5,133 Ratings,Mumbai,,08488949380,,true,true,false,true,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
All In One Event,<,4.5,27 Ratings,"South Tukoganj, Indore",,08401427254,Sound Systems; Lighting; DJ,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Miqqi Events,+,4.1,71 Ratings,"Sankar Marg Sahkar Marg, Jaipur",,,Event Organisers For Dance Parties; Advertising Agencies,true,true,false,true,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Ebk Event Management Pvt Ltd,+,4.6,53 Ratings,"Extension 2 Nangloi Extension, Delhi",,08511787702,,true,true,false,true,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Sangama Caterers and Event Management,+,5.0,7 Ratings,"Main Road Jayanagar Extension, Tumkur",,,Birthday Party Organisers; Flower Decorators,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Balaji Party Makers,+,4.6,398 Ratings,"SIT Backgate Sit Campus, Tumkur",,,Banquet Hall Decoration,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Partyprops Events Supplies Rentals and Organiser,+,4.9,59 Ratings,"Barline Road 12th Cross Road, Tumkur",,,Party Supplies; Event Organisers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Sampradaya Event Management,+,4.7,128 Ratings,"8th Cross Ss Puram, Tumkur",,,Balloon Decorators; Photographers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Pratibimba Events,+,4.9,80 Ratings,"Satyamangala, Tumkur",,,Book Appointment,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Lumos Imageries,+,4.8,71 Ratings,"Main Road Settihalli Tumkur, Tumkur",,,Photographers; Wedding Photographers,true,true,false,false,true,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
Sanju Event Planner,+,4.9,34 Ratings,"Tumakuru sit, Tumkur",,,Wedding Planners; Event Management Companies,true,true,false,false,false,Event Organizer,Popular Party Organisers,Tumkur,2025-05-31T11:30:01.859Z
