name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
KUSHAL EVENTS,<,5.0,1 Ratings,"Nagar 11th Cross Sit Extension, Tumkur",,08460561463,Balloon Arch; Balloon Backdrop; Photo Booth,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.833Z
Lucky's Events Zone,<,4.7,7 Ratings,"BM ROAD Kunigal, Tumkur",,07383590348,Videography,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.833Z
Bsm Shamiyana Tent,<,4.9,45 Ratings,"Mg Road MG Road Tumkur, Tumkur",,07022512038,Shamiana On Rent; Decorators,true,true,false,true,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.833Z
Maharaja Events and Services,<,5.0,23 Ratings,"Siddaganga Mutt Road Batawadi, Tumkur",,,Corporate; Banquet Hall Decoration; Videography,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.833Z
Lakshmi Flower Decorators,<,5.0,1 Ratings,"English School Batawadi, Tumkur",,,Flower Decorators; Birthday Party Decorators,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
Balaji Party Makers,<,4.6,398 Ratings,"SIT Backgate Sit Campus, Tumkur",,,Banquet Hall Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
Shivu Event Management,<,4.6,20 Ratings,"Chickpet Bh Road, Tumkur",,,Car Decoration,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
T N P Event Organiser,<,4.2,12 Ratings,"Fort Road Doddaballapur, Bangalore",,,Balloon Decorators; Tent House,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
Vishvaksena Events & Management,<,4.9,10 Ratings,"Kadabagere Road Byandahalli, Bangalore",,,Banquet Hall Decoration; Car Decoration; Studio Photography,true,true,false,false,true,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
Laeta Event Planners,<,5.0,3 Ratings,"College Road Chikbanavara, Bangalore",,,Event Management Companies For Video Conferencing; Flower Decorators,false,true,false,false,false,Event Organizer,Popular Stage Show Organisers,Tumkur,2025-05-31T11:31:08.834Z
