name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Unique Office Chairs Service,<,4.9,222 Ratings,"Ward No 18 MG Road Tumkur, Tumkur",,,Office Chair Repair & Services; Security Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Timberd,<,4.7,8 Ratings,"Bengaluru Honnavar Road Bh Road, Tumkur",,,Carpenters; Bedroom Furniture Manufacturers,false,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Sri Raghavendra Furniture & Cane,<,4.3,6 Ratings,"Kunigal Main Road Tumkur Ho, Tumkur",,,Cane Furniture Dealers; Furniture Dealers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
A M Furniture,<,3.5,7 Ratings,"Mandipet Mainroad Mandipet, Tumkur",,,Furniture Dealers; Second Hand Furniture Dealers,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Vs Enterprises,<,5.0,3 Ratings,"MG ROAD MG Road Tumkur, Tumkur",,,Furniture Dealers; Sofa Dealers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
SZ Hardware And Polish Centre,<,4.8,3 Ratings,"Post BH Road Bh Road, Tumkur",,,Plywood Door Dealers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Hms Sawmill,<,4.3,3 Ratings,"Huliyar, Tumkur",,,Furniture Repair & Services,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Sri Ganesh Wood Works and Interior Works,<,4.4,10 Ratings,"Kachohalli Nelamangala, Bangalore",,,Carpenters; Carpentry Contractors,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.205Z
Star Sofa Works,<,4.9,30 Ratings,"MG Road Subashnagara Nelamangala, Bangalore",,,Sofa Set Repair & Services; Sofa Repair & Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Sri Manjunatha Event Organiser,<,4.5,11 Ratings,"Kote Road Doddaballapur, Bangalore",,,Shamiana Contractors; Tent House,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Aysa Furnitures,+,5.0,2 Ratings,"Dombrahalli Madanayakana Halli, Bangalore",,,Sofa Set Repair & Services; Sofa Repair & Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Aysa Furnitures,+,4.3,3 Ratings,"Lakshmipura Main Road Aluru, Bangalore",,,Carpenters; Furniture Manufacturers,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Sumuka Furnitures,+,5.0,3 Ratings,"No : 196 Nagasandra, Bangalore",,,Furniture Dealers; Sofa Repair & Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
A M Furniture,+,5.0,12 Ratings,"Chikkabanavara Chikbanavara, Bangalore",,,Delivery Available; Same Day Delivery; In Store Collect,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
AM Furniture,A,3.0,1 Ratings,"Nagar Chikabanavara Nagasandra, Bangalore",,,Sofa Repair & Services; Sofa Manufacturers,false,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Star Furniture,+,4.6,5 Ratings,"Bagalgunte Main Road Bagalagunte, Bangalore",,,Sofa Manufacturers; Carpenters,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Dhadhichi Art Wood,+,4.8,10 Ratings,"Lakshmipura Lakshmipura, Bangalore",,,Carpenters; Furniture Manufacturers,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Classic Furniture and Interiors,+,4.4,11 Ratings,"Road Singanayakanahalli, Bangalore",,,Bed Dealers; Furniture Dealers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
R K Bedding And Sofa Center,+,4.6,15 Ratings,"Mile Road Hessargatta Main Road, Bangalore",,,Leather Sofa Manufacturers; Sofa Repair & Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
Kartha Industries,+,4.3,19 Ratings,"Nagar Main Peenya 2nd Stage, Bangalore",,,Beauty Parlour Furniture Dealers; Interior Designers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.206Z
K M A Furnitures,+,4.6,97 Ratings,"Tarahunase Main Road Rajanukunte, Bangalore",,09980142881,In Store Shopping; Service Guarantee; Delivery Available,true,false,false,true,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Modernsofa & Furniture,+,4.9,10 Ratings,"Village Yelahanka New Town, Bangalore",,,Leather Sofa Repair & Services; Sofa Repair & Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Majisa Interior,+,4.3,15 Ratings,"Street T Dasarahalli, Bangalore",,,Service Guarantee; Delivery Available,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
K S Bedding House,+,4.0,6 Ratings,"Prashanthnagar T Dasarahalli, Bangalore",,,Double Bed Manufacturers; Furniture Dealers,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Ddk Enterprises,D,3.0,1 Ratings,"Main Road Nelakadiranahalli, Bangalore",,,Fabricators; Furniture Dealers,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Slv Furniture Repairs,S,4.0,2 Ratings,"8th Mile Circle, Bangalore",,,Furniture Repair & Services,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Bms Interiors,+,4.9,17 Ratings,"11th A Cross Peenya 2nd Stage, Bangalore",,,Office Chair Repair & Services; Sofa Manufacturers,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Dk Sofa Work,+,5.0,1 Ratings,"18th Cross Road Lakshmipura, Bangalore",,,Inflatable Sofa Manufacturers; Sofa Repair & Services,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Bluetech Furnitures,+,5.0,39 Ratings,"Peenya 2nd Peenya 2nd Stage, Bangalore",,08867754196,Delivery Available; On Site Services,true,false,false,false,true,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
Noor Bedding Center,+,5.0,2 Ratings,"Main Road Yelahanka New Town, Bangalore",,,Bedding Set Dealers-IKEA; Sofa Repair & Services,true,false,false,false,false,Furniture Repair & Services,,Tumkur,2025-05-31T11:36:03.207Z
