name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
All For Kids,<,4.5,3 Ratings,"Banavadi, Bangalore",,,Hobby Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.583Z
Little Millennium,<,4.7,425 Ratings,"Channanayakanapalya Nagasandra, Bangalore",,,Business Owned By Women,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.583Z
Eurokids Rukmininagar,<,4.8,253 Ratings,"Rukmini Nagar Nagasandra, Bangalore",,09054863284,Day Care Centres; Pre Schools,true,false,false,true,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.583Z
Preeti Art Classes,<,3.0,3 Ratings,"Dollars Colony New Bel Road, Bangalore",,,Hobby Classes; Pottery Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.583Z
Happy Landings India,<,4.5,60 Ratings,"Layout Vidyaranyapura  Block 6, Bangalore",,,Toy Dealers; Stationery Shops,true,false,false,true,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Vruddhi Center For Learning,<,3.9,28 Ratings,"5th Block Vidyaranyapura, Bangalore",,,Dance Classes At Home; Dance Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Lakshmi Tailoring Classes And Ladies Tailors,<,3.3,6 Ratings,"Magadi Main Road Sunkadakatte, Bangalore",,,Tailoring Classes; Hobby Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Perfect Institute Of Fine Arts,<,3.9,4 Ratings,"Main Road Chikka Bommasandra, Bangalore",,,Hobby Classes For Children; Institutes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Uniq Fine Arts,<,5.0,1 Ratings,"3 Phase Yeshwanthpur, Bangalore",,,Charcoal Sketching Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Padmini Raghuram,<,4.0,3 Ratings,"17th Cross Mathikere, Bangalore",,,Hobby Classes; Arts & Crafts Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Savis Fashion Studio,+,4.6,140 Ratings,"14th Cross Judicial Layout, Bangalore",,,Tailoring Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Hobby Ideas,H,3.2,4 Ratings,"Mathikere, Bangalore",,,Hobby Classes; Arts & Crafts Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Creative Art Classes,+,4.2,14 Ratings,"2nd Stage Nagarbhavi, Bangalore",,,Fabric Painting Classes; Tutorials,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.584Z
Parisara Montessori House Of Children,+,4.7,37 Ratings,"Cross Mahalakshmipuram Layout, Bangalore",,,Playgroups; Schools,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Arts Film Academy,+,4.9,44 Ratings,"Subedarpalya Yeshwanthpur Circle, Bangalore",,09980781101,Videography,true,false,false,true,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Art Film Academy,+,4.8,6 Ratings,"Main Road Parimala Nagar, Bangalore",,,Computer Training Institutes; Tutorials,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
National School Of Drama Bengaluru Centre,+,4.3,164 Ratings,"Kajana Mallathahalli, Bangalore",,,Drama Classes; Acting Classes,false,false,false,true,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Raghavendra P Revankar,R,3.0,1 Ratings,"Rajajinagar 1st Block, Bangalore",,,Hobby Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Bangalore Peoples Tree,B,3.0,1 Ratings,"2a Crs Basaveshwara Nagar, Bangalore",,,Kindergartens; Schools,false,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Citrine Classes,C,3.9,17 Ratings,"AECS Layout Sanjay Nagar, Bangalore",,09980231564,,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Mudrika Foundation For Indian Performing Arts,M,4.0,20 Ratings,"18th Cross Malleswaram West, Bangalore",,,Dance Classes; Dance Classes For Bharatnatyam,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Honey Herbal Beauty Parlour,H,4.3,4 Ratings,"9th K Main Road Vijayanagar, Bangalore",,,Beauty Parlours; Women Beauty Parlours,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Music Kids,M,3.2,6 Ratings,"9th Block Nagarbhavi 2nd Stage, Bangalore",,,Music Classes; Music Classes For Guitar,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Rainbow Club Kids Library,+,4.4,18 Ratings,"17th Cross Malleswaram West, Bangalore",,,Children Libraries; Dance Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Dream Strokes,D,4.0,1 Ratings,"Manjunath Nagar Rajajinagar, Bangalore",,,Painting Classes; Institutes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
Kre8ive Kolors,+,4.9,14 Ratings,"8th Main Malleswaram West, Bangalore",,,Madhubani Painting Classes; Drawing Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.585Z
SRS Abacus,S,5.0,1 Ratings,"Lay Out Vijayanagar Attiguppe, Bangalore",,,Summer Camps; Abacus Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Natya Taranga Nrithyalaya,N,4.0,2 Ratings,"Rpc Layout Vijayanagar, Bangalore",,,Dance Classes; Dance Classes For Bharatnatyam,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Cubby Tales,+,4.9,80 Ratings,"Bengaluru Hebbal, Bangalore",,,Pre Schools; Nursery Schools,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
The Structural School Of Fine Arts,+,4.5,103 Ratings,"17th Cross Vijayanagar, Bangalore",,,Music Classes; Tutorials,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Madhuri Cooking & Hobby Classes,M,5.0,2 Ratings,"Rajajinagar Rajajinagar, Bangalore",,,Hobby Classes,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Ronav Hobby Classes,R,4.5,1 Ratings,"Prakash Nagar, Bangalore",,,Hobby Classes; Kuchu Work Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Artihc Creations,+,4.5,4 Ratings,"Vinayakanagar Hebbal, Bangalore",,,Painting Classes; Hobby Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Young Innovators Educational Services Pvt Ltd,+,4.9,93 Ratings,"21st Main Vijayanagar, Bangalore",,,Hobby Classes For Children; Hobby Classes,true,false,false,true,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Anncee,A,3.0,1 Ratings,"Bhuvaneshwari Nagar Hebbal, Bangalore",,,Hobby Classes; Cookery Classes,false,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Sri Rajarajeshwari Computer Embroidery,S,3.0,1 Ratings,"Dr Raj Kumar Rasthe Rajajinagar, Bangalore",,,Embroidery Job Works; Hobby Classes,false,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Roots Early Learning School,+,4.5,47 Ratings,"Main Road Coffee Bord Layout, Bangalore",,,Kindergartens; Schools,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Handwriting A One.com,+,4.8,357 Ratings,Bangalore,,09972952858,Summer Camps; Handwriting Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Keys Academy,+,4.8,24 Ratings,"Layout KV Jairam Road Jakkur, Bangalore",,07383178044,Dance Classes; Music Classes,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Kriti Hobby Classes & Tuitions,K,4.0,2 Ratings,"R T Nagar Rt Nagar, Bangalore",,,Tutorials; Dance Classes,false,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Towering Heights Kindergarten,T,3.7,16 Ratings,"2nd Stage Vijayanagar, Bangalore",,,Hobby Classes; Nursery Schools,true,false,false,false,false,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
Poshan,P,4.3,18 Ratings,"Judicial Layout Rt Nagar, Bangalore",,,Playgroups; Day Care Centres,true,false,false,false,true,Hobby Classes,,Tumkur,2025-05-31T11:45:48.586Z
