name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Gk Associates,<,4.7,29 Ratings,"5th Cross Sadashiva Nagar, Tumkur",,08123517485,Industrial; Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Shri Atharva Construction And Interiors Pvt Ltd,<,5.0,2 Ratings,"4th Main Road Siddarthanagar, Tumkur",,07411670843,Residential; Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Bhyrav Constructions,<,4.5,1 Ratings,"60ft Road Sapthagiri Extension, Tumkur",,08460256149,Residential,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
New Tech Design and Constructions,<,4.9,46 Ratings,"Sira Main Road Sira Road Tumkur, Tumkur",,07383823608,,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Global Design And Construction,<,4.3,8 Ratings,"Road Arekere Post Yellapur, Tumkur",,07383823529,Building; Industrial,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Sri Raghavendra Constructions,<,4.6,66 Ratings,"Bh Road, Tumkur",,,,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
MR Designs,<,4.6,17 Ratings,"New Extension Devarayapatna, Tumkur",,,,true,false,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Svp Construction,<,5.0,5 Ratings,"Venkateshpura Sira Gate, Tumkur",,08460201538,Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
S I Architects And Constructions,<,4.8,5 Ratings,"B H Road Batawadi, Tumkur",,08460233511,Residential; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.665Z
Concept Interior Architects,<,4.6,19 Ratings,"2nd Cross Csi Layout, Tumkur",,,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Sadhana Construction,+,4.9,4 Ratings,"Madhugiri Main Road Yalapura, Tumkur",,07411656654,Residential; Building; Kids Room,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Karthik Doors & Windows,+,4.7,3 Ratings,"Shetti Halli Ring Road Ring Road, Tumkur",,08460213022,Upvc Door; Building; Apartment,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Buildera Construction and Interiors,+,4.8,40 Ratings,"8th Cross Ashok Nagar Tumkur, Tumkur",,08460499924,Building; Apartment,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Sachin Construction,+,3.4,5 Ratings,"Circle Sira Road Tumkur, Tumkur",,07041422956,Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Kunshi Constructions,K,5.0,5 Ratings,"BH Road Heggere, Tumkur",,08460387261,Residential; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Vinyasa Design And Constructions,V,4.8,3 Ratings,"Bhagwan Circle Sira Sira, Sira",,09725428131,Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Aakruthi Associates,+,4.7,12 Ratings,"Mala Mansion Mg Road Tumkur, Tumkur",,08460379545,Architects; Interior Designers,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Aryavartha Design Consultants,+,4.2,59 Ratings,"Sit Main Road Sit, Tumkur",,,Engineering Consultants; Civil Contractors,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Sri Vivekananda Engineering Consultancy and Construction,+,4.9,9 Ratings,"Ranichannamma Badavane Belagumba, Tumkur",,08460504234,Architects; Interior Designers,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Mahalakshmi Construction,M,4.3,4 Ratings,"Nagar 60feet Road Batawadi, Tumkur",,08511770314,Civil Contractors; Architects,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Ganesh Constructions,+,5.0,2 Ratings,"Main Road Sadashiva Nagar, Tumkur",,07383814428,Industrial; Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Belaku Construction,B,3.5,2 Ratings,"Mitra Badavane Hirehali, Tumkur",,08401086372,Residential; Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Rajathadri Buildtech Pvt Ltd,+,4.8,4 Ratings,"Main Road Kuvempunagar Tumkur, Tumkur",,08460502886,Residential; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Sri Guru Raghavendra Architect and Designs,S,4.0,3 Ratings,"Binny Layout Vijayanagar, Bangalore",,08511420672,Building,true,true,false,true,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Checkmate Cubes,C,4.8,8 Ratings,"7th Cross Malleswaram, Bangalore",,08460529491,Civil Engineering Consultants; Architects,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Advaith Design Studio,A,3.5,2 Ratings,"Main 2nd Cross Ramakrishnanagar, Mysore",,09724677932,Building,true,true,false,false,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Shree ShivaNandi Constructions & Interiors,+,5.0,8 Ratings,"Bhadavane Davalagiri Badavane, Chitradurga",,07043941132,Building,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.666Z
Enif Designs,+,4.5,65 Ratings,"Bluecross Chambers Infantry Road, Bangalore",,08511266914,Architects; Civil Contractors,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
Logic Builders,+,5.0,13 Ratings,"Mahadeshwara Badavane Layout, Mysore",,09980764075,Residential; Building,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
DELTA ARCHITECTS,+,4.8,77 Ratings,"80 Feet Hunsinkere Main Road, Hassan",,08460214152,Industrial; Residential,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
K Concepts,+,3.7,3 Ratings,"City Market Hassan City Market, Hassan",,09725531062,,true,false,false,false,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
Chinitic Industries,+,5.0,2 Ratings,"Idikarai Main Road Idigarai, Coimbatore",,08460308699,Building; Industrial,true,true,false,true,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
Take Shape Interiors & Design Studio,+,4.5,28 Ratings,"Amman Nagar Sivathapuram, Salem",,07383601908,False Ceiling Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
Maqsood Traders and Contractors,+,3.9,15 Ratings,"Old State Bank Road Udupi Courts, Udupi",,08401894224,Residential; Building,true,true,false,true,false,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
Acha Homes Pvt Ltd,+,4.4,73 Ratings,"Periya Road Junction Pallikere, Kasaragod",,,Architects; Interior Designers,true,true,false,false,true,Interior Designers,Expert Architect Consultants,Tumkur,2025-05-31T11:47:38.667Z
