name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Gk Associates,<,4.7,29 Ratings,"5th Cross Sadashiva Nagar, Tumkur",,08123517485,Industrial; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Goodwill Interior Decor,<,4.7,33 Ratings,"Ring Road Maralur Amanikere, Tumkur",,08460210485,,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Aakruthi Associates,<,4.7,12 Ratings,"Mala Mansion Mg Road Tumkur, Tumkur",,08460379545,Architects; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Sadhana Construction,<,4.9,4 Ratings,"Madhugiri Main Road Yalapura, Tumkur",,07411656654,Residential; Building; Kids Room,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Shri Atharva Construction And Interiors Pvt Ltd,<,5.0,2 Ratings,"4th Main Road Siddarthanagar, Tumkur",,07411670843,Residential; Building,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Aryavartha Design Consultants,<,4.2,59 Ratings,"Sit Main Road Sit, Tumkur",,,Engineering Consultants; Civil Contractors,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Sachin Construction,<,3.4,5 Ratings,"Circle Sira Road Tumkur, Tumkur",,07041422956,Building,true,false,false,false,false,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Living Space,<,5.0,1 Ratings,"Near Dominos Batawadi, Tumkur",,09054608189,Civil Contractors; Interior Designers,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Sv Interiors and Construction,<,4.9,11 Ratings,"Temple Backside Sadashiva Nagar, Tumkur",,08460434869,Construction Contractors; Civil Contractors,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.024Z
Ganesh Constructions,<,5.0,2 Ratings,"Main Road Sadashiva Nagar, Tumkur",,07383814428,Industrial; Building,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.025Z
Global Design And Construction,+,4.3,8 Ratings,"Road Arekere Post Yellapur, Tumkur",,07383823529,Building; Industrial,true,false,false,false,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.025Z
Home Style,+,4.9,58 Ratings,"Feet Main Road Gokula Extension, Tumkur",,08105082771,Furniture Dealers; Interior Designers,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.025Z
Sri Raghavendra Constructions,+,4.6,66 Ratings,"Bh Road, Tumkur",,,,true,false,false,true,true,Interior Designers,Expert Commercial Interior Designers,Tumkur,2025-05-31T11:49:44.025Z
