name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Goodwill Interior Decor,<,4.7,33 Ratings,"Ring Road Maralur Amanikere, Tumkur",,08460210485,,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.560Z
R K Home Interiors,<,5.0,11 Ratings,"Batawadi Batawadi, Tumkur",,08460491429,On Site Services,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Shri Atharva Construction And Interiors Pvt Ltd,<,5.0,2 Ratings,"4th Main Road Siddarthanagar, Tumkur",,07411670843,Residential; Building,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Sri Manjunatha Wood Works and Carpenters,<,4.9,14 Ratings,"Main Road Upparahalli Main Road, Tumkur",,09724063846,Plumbers; House Painters,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Home Style,<,4.9,58 Ratings,"Feet Main Road Gokula Extension, Tumkur",,08105082771,Furniture Dealers; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Aryavartha Design Consultants,<,4.2,59 Ratings,"Sit Main Road Sit, Tumkur",,,Engineering Consultants; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Sri Nandi Glass and Plywoods,<,4.9,10 Ratings,"Koti Tope Road Bh Road, Tumkur",,08460528588,Glass Dealers; Carpenters,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Maharani Batiyani Interior Decorator,<,4.2,3 Ratings,"Shettyhalli Main Road Jayanagar, Tumkur",,,Carpenters; Interior Decorators,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Home Concepts,<,4.5,47 Ratings,"Shettihalli Main Road Jayanagar, Tumkur",,09035316576,Upvc Door,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Concept Interior Architects,<,4.6,19 Ratings,"2nd Cross Csi Layout, Tumkur",,,Architects; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.561Z
Ganesh Constructions,+,5.0,2 Ratings,"Main Road Sadashiva Nagar, Tumkur",,07383814428,Industrial; Building,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Sadhana Construction,+,4.9,4 Ratings,"Madhugiri Main Road Yalapura, Tumkur",,07411656654,Residential; Building; Kids Room,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Buildera Construction and Interiors,+,4.8,40 Ratings,"8th Cross Ashok Nagar Tumkur, Tumkur",,08460499924,Building; Apartment,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Shri Osiya Home Solutions,S,4.0,5 Ratings,"Jayanagara Main Road Jayanagar, Tumkur",,07411598070,Interior Designers; Plywood Dealers,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
A J Aluminium Fabricators,A,3.8,10 Ratings,"Bh Road, Tumkur",,,Door Fabricators; Aluminium Fabricators,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Roshan Plaster,+,4.7,6 Ratings,"Road Near  Gummanahalli Sira, Sira",,08511583387,Pop Contractors; Plaster Of Paris Dealers,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Goodline Interior,+,5.0,1 Ratings,"Main Road Ullal Upkar Layout, Bangalore",,08735891921,Modular Kitchen Dealers; Interior Designers,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
TSB CONSTRUCTION & DEVELOPERS,+,4.8,28 Ratings,"Bh Road Gauribidanur, Chickballapur",,09054791589,Building; GST Return,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Ideal Plywood and Hardware,+,4.8,21 Ratings,"80 Feet Road Hassan City Market, Hassan",,08511488193,Plywood Door Dealers; Wooden Door,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Royal Silvia Constructions And Interiors Pvt Ltd,R,5.0,12 Ratings,"Salagame Road Rangoli Halla, Hassan",,07411563299,Residential; Apartment,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Logic Builders,+,5.0,13 Ratings,"Mahadeshwara Badavane Layout, Mysore",,09980764075,Residential; Building,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
DELTA ARCHITECTS,+,4.8,77 Ratings,"80 Feet Hunsinkere Main Road, Hassan",,08460214152,Industrial; Residential,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
HN Groups HN Homes Interiors Artful,+,4.6,30 Ratings,"Banglore Rural Thanniruhalla, Hassan",,09035031473,Upvc Door; 3D Painting,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.562Z
Sri Kanteshwara Interior Design Studio,+,3.5,2 Ratings,"Hassan City Market, Hassan",,09980240465,Interior Designers; Upvc Window Dealers,true,true,false,false,false,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
AIE Buildtec Ind,+,4.5,14 Ratings,"Ganesh Temple Road Kundalahalli, Bangalore",,,Acoustic Insulation; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Royal Wood Designz,+,4.8,9 Ratings,"Harur Main Road Valasaiyur, Salem",,08460485960,Upvc Door; Bathroom Door Dealers,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Take Shape Interiors & Design Studio,+,4.5,28 Ratings,"Amman Nagar Sivathapuram, Salem",,07383601908,False Ceiling Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
M K Furniture,+,4.2,17 Ratings,"Kumsi Main Road Durgigudi, Shimoga",,,Antique Furniture Dealers; Furniture Dealers,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Padmashali Aluminium Fabricators,+,4.7,10 Ratings,"Sagri Kunjibettu, Udupi",,,Door Fabricators; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Krupa Builders & Infra Develpers PVT LTD,+,4.7,109 Ratings,"Nagar Sharavathi Nagar, Shimoga",,,Industrial; Residential,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Angel & Ana's Aluminium,+,4.6,12 Ratings,"Industrial Area Baikampady, Mangalore",,,Interior Designers For Apartment; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Mahamaya Industries,+,3.9,23 Ratings,"Venkatapura Road Shirali Bazar, Shirali",,,Wooden Door,true,true,false,true,false,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Design Ethics,+,4.9,159 Ratings,"BM Road Kushalnagar, Coorg",,,Industrial; Building; Online Appointments,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Shivapur Constructions,+,4.4,34 Ratings,"Vidyanagar P B Road Haveri, Haveri",,,Residential,true,true,false,false,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
Planning Point ( Mangalore ),+,4.7,30 Ratings,"Gurunagara Konchady, Mangalore",,,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Decorators,Tumkur,2025-05-31T11:50:53.563Z
