name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Gk Associates,<,4.7,29 Ratings,"5th Cross Sadashiva Nagar, Tumkur",,08123517485,Industrial; Building,true,true,false,true,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.510Z
Mahalakshmi Construction,<,4.3,4 Ratings,"Nagar 60feet Road Batawadi, Tumkur",,08511770314,Civil Contractors; Architects,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.510Z
Aakruthi Associates,<,4.7,12 Ratings,"Mala Mansion Mg Road Tumkur, Tumkur",,08460379545,Architects; Interior Designers,true,true,false,true,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Local Konnect Lewis Berger,<,5.0,21 Ratings,"3rd Cross Road Harpet Circle, Tumkur",,07405351170,Interior paint; Textured Paints,true,true,false,true,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Global Design And Construction,<,4.3,8 Ratings,"Road Arekere Post Yellapur, Tumkur",,07383823529,Building; Industrial,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Buildera Construction and Interiors,<,4.8,40 Ratings,"8th Cross Ashok Nagar Tumkur, Tumkur",,08460499924,Building; Apartment,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Sri Nandi Glass and Plywoods,<,4.9,10 Ratings,"Koti Tope Road Bh Road, Tumkur",,08460528588,Glass Dealers; Carpenters,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Engineers Arkade Constructions,<,5.0,2 Ratings,"BH Road Vidyanagar, Tumkur",,08460557731,Civil Contractors; Interior Designers,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.511Z
Aryavartha Design Consultants,<,4.2,59 Ratings,"Sit Main Road Sit, Tumkur",,,Engineering Consultants; Civil Contractors,true,true,false,false,true,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.512Z
Sri Vivekananda Engineering Consultancy and Construction,<,4.9,9 Ratings,"Ranichannamma Badavane Belagumba, Tumkur",,08460504234,Architects; Interior Designers,true,true,false,false,false,Interior Designers,Popular Interior Designers,Tumkur,2025-05-31T11:54:15.512Z
