name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
Sri Mahalakshmi Jewellers,<,4.9,"2,338 Ratings","Puram Main Road SS Puram, Tumkur",,09725557089,Gold Jewellery; Platinum Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
S K Ayodhyarama Setty & Sons,<,4.3,156 Ratings,"Road Vivekananda Road Tumkur, Tumkur",,07383800648,Diamond Jewellery; Gold Jewellery; Same Day Delivery,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
S K Ayodhyarama Setty Jewellers,<,4.4,82 Ratings,"Abharana Arcade Mg Road Tumkur, Tumkur",,08488984157,Gold Jewellery; Pearl Jewellery; Same Day Delivery,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
Vishwas Jewellers,<,4.7,"1,692 Ratings","Kaltex Circle Bh Road, Tumkur",,07383181799,Pearl Jewellery; Silver Jewellery; Same Day Delivery,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
N S Jewellery Mart,<,4.9,151 Ratings,"Mandipet Mandipet, Tumkur",,07383809105,Gold Jewellery; Pearl Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
Marudhar Jewellers,<,4.3,14 Ratings,"Mahendra Market Kyatasandra, Tumkur",,,Platinum Jewellery; Silver Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
Sri Balaji Jewellers,<,4.5,21 Ratings,"Bellary Road Pavagada, Tumkur",,,Pearl Jewellery; Platinum Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.489Z
Malabar Gold & Diamonds,<,4.6,"4,039 Ratings","Prosper Jewel Arcade Llp Bh Road, Tumkur",,,Diamond Jewellery; Gold Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Tanishq,<,4.8,"2,666 Ratings","Field Marshal General Cariappa Road, Tumkur",,,Diamond Jewellery; Silver Jewellery; Delivery Available,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Srv Jewellers,<,5.0,481 Ratings,"Amanikere Huliyar, Tumkur",,,Jewellery Showrooms,false,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Susheel Jewellery,S,4.0,265 Ratings,"Town Hall Circle Bh Road, Tumkur",,,Platinum Jewellery; Silver Jewellery; Delivery Available,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
H V S Jewellers,+,4.7,114 Ratings,"B H Road Cross Tiptur, Tumkur",,,Silver Jewellery; Same Day Delivery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Ashwini Jewellers,+,4.2,111 Ratings,"Krishna Raja Extension Tiptur, Tumkur",,,Gold Jewellery; Pearl Jewellery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Ashoka Jewellery Mart,+,4.3,101 Ratings,"Ashoka Road Tumkur, Tumkur",,,Silver Jewellery; Same Day Delivery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Alankar Jewellers,+,4.4,94 Ratings,"Vivekananda Road Tumkur, Tumkur",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Vijaya Jewellers,+,4.2,77 Ratings,"Mandipet Road Mandipet, Tumkur",,,Silver Jewellery; Delivery Available; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
V S Jewellerys,+,4.0,80 Ratings,"Horapete Gumchi Circle Barline, Tumkur",,,Silver Jewellery; Delivery Available; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Sri Mahila Pasand,+,4.8,64 Ratings,"Swamy Temple Road Tiptur, Tumkur",,,Jewellery Showrooms; Bridal Jewellery On Rent,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Gupta Jewellers,+,4.3,65 Ratings,Tumkur,,,Same Day Delivery; Shop In Store,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Ashoka Jewellers,A,4.4,61 Ratings,"Mandipet Mandipet, Tumkur",,,Jewellery Showrooms; Diamond Jewellery Showrooms,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
Dhanalakshmi Jewellery Mart,D,4.1,65 Ratings,"S K P T Mandipete Mandipet, Tumkur",,,Silver Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.490Z
N.S.Abharana,+,4.5,58 Ratings,"M.g.road Mg Road Tumkur, Tumkur",,,Silver Jewellery; Same Day Delivery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Soora Jewellers,+,4.5,51 Ratings,"Ashoka Road Tumkur, Tumkur",,,Pearl Jewellery; Diamond Jewellery,false,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Davasam Jewels,D,4.4,52 Ratings,"Bus Stand Road Rangappanapalya, Sira",,,Pearl Jewellery; Silver Jewellery; Shop In Store,true,false,false,true,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Abaya Gold Jewellers,+,4.9,42 Ratings,"1st Floor Valmik Nagar, Tumkur",,,Gold Jewellery; Pearl Jewellery; Same Day Delivery,true,false,false,false,true,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Lakshmi Jewellers,+,3.8,37 Ratings,"Kuvempu Road Pavagada, Tumkur",,,Silver Jewellery; Shop In Store; Same Day Delivery,true,false,false,false,false,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
J J Jewellers,J,4.7,27 Ratings,"M G Road Mg Road Tumkur, Tumkur",,,Pearl Jewellery; Silver Jewellery; Shop In Store,false,false,false,false,false,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Pavan Jewellers,+,4.7,27 Ratings,"Huliyar, Tumkur",,,Same Day Delivery; Shop In Store,true,false,false,false,false,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
Riti Jewellery,+,4.1,30 Ratings,"Gubbi Road Bh Road, Tumkur",,,Silver Jewellery,true,false,false,false,false,Jewellery Showrooms,,Tumkur,2025-05-31T11:56:47.491Z
