name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
SRS Packers & Movers,<,4.4,16 Ratings,"Near Railway Station Heggere, Tumkur",,07041785901,Residential Relocation Services; Within City,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.649Z
Vkm Packers And Movers,<,4.5,46 Ratings,"Vinobha Nagar, Tumkur",,08050865019,All India; Within City,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.649Z
Bhaagya Lakshmi Packers And Movers,<,4.9,20 Ratings,"Bangalore Highway Devarayapatna, Tumkur",,08511277950,All India; Within City,true,true,false,false,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.649Z
Venkateshwara Packers And Movers,<,4.3,7 Ratings,"Mandipet, Tumkur",,09606201763,Superior Quality; Residential Relocation Services; Factory Relocation,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.649Z
Mahesh Relocation Packers and Movers,<,3.9,7 Ratings,"Bh Road, Tumkur",,09740237739,Pets Transportation; All India; Within City,true,true,false,false,false,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
Sri Sai Packers Movers And Transport,<,4.3,28 Ratings,"Badavane Kyatasandra, Tumkur",,09980820460,,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
Perfect Packers & Movers,<,4.6,50 Ratings,"4th Cross Ashok Nagar Tumkur, Tumkur",,07383813379,Residential Relocation Services; Electronic,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
Sri Sai Ram Packers and Movers,<,4.2,89 Ratings,"8th Cross SS Puram, Tumkur",,07043694961,All India; Within City,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
Safe India Movers & Packers,<,4.6,581 Ratings,"Saiswara Temple Wilson Garden, Bangalore",,09035025567,All India; International; Within City,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
AR TRANSPORT PACKERS & MOVERS,<,4.8,157 Ratings,"Sai Nagar Hindhupur Db Colony, Hindupur",,08734975708,Residential Relocation Services; All India; Within City,true,true,false,true,true,Packers & Movers,,Tumkur,2025-05-31T12:13:26.650Z
