name,initial,rating,totalRatings,address,distance,phone,tags,hasWhatsApp,hasEnquiry,isTrusted,isVerified,isPopular,category,subcategory,city,timestamp
V Care Solutions,<,3.9,64 Ratings,"SIT Main Road Sit Campus, Tumkur",,07383811061,Commercial Pest Control Services; Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
R K Pest Control Services,<,4.5,25 Ratings,"Tumkur Mallasandra, Tumkur",,08511751087,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
Prahara Services,<,3.0,27 Ratings,"Municipal Layout SS Puram, Tumkur",,07383804131,Pest Control Services; Water Tank Cleaning Services,true,true,false,false,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
Gominee Pest Management Services,<,4.9,46 Ratings,"Nelalal Post Vasanthanarasapura, Tumkur",,09972907978,Quick Visit; 24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
Global Pest Solutions,<,3.2,13 Ratings,"1st A Main Sira Road Tumkur, Tumkur",,07383806919,Pest Control Services; Residential Pest Control Services,true,true,false,true,false,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
Pqgs Solutions Opc Pvt Ltd,<,4.0,14 Ratings,"Kacharakana Halli Hbr Layout, Bangalore",,09035175226,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.932Z
Southland Group Of Companies,<,4.2,115 Ratings,"PAPPANAICKENPALAYAM Gandhipuram, Coimbatore",,07022607720,Waterproofing; Wall Tiles,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Fumigation Services Pvt Ltd,<,4.3,122 Ratings,"Buddu Street Parrys, Chennai",,08460425863,Residential Pest Control Services; Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Transparent Pest Control,<,4.6,55 Ratings,"Sanmarg Nagar Airport Road Hubli, Hubli",,08401209692,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Misckin Pest Management Co,<,4.8,177 Ratings,"Gunj Road Gunj Road Raichur, Raichur",,08460536134,Commercial Pest Control Services; Waterproofing Contractors,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Total Solution & Pest Control Service,+,4.8,"1,089 Ratings","M G Road Bhawar Kuan, Indore",,08511358979,24 Hours,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Ingle Pest Control,+,4.1,45 Ratings,"Jain Colony Ekta Nagar Karond, Bhopal",,08401133470,,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
City Clap,+,4.0,652 Ratings,"Main Road Namkum, Ranchi",,,,true,true,false,true,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Active Pest Control,A,4.5,8 Ratings,"Prakash Nagar Krishna Nagar, Mathura",,08401673962,Fumigant Wholesalers; Pest Control Services,true,true,false,false,true,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Sai Suchith Pest Control,+,5.0,7 Ratings,"2nd Cross Nelamangala, Bangalore",,08511749631,Residential Pest Control Services; Pest Control Services,true,true,false,true,false,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
Maruthi Pest Control,M,3.5,2 Ratings,"Tank Road 10th Cross Nagasandra, Bangalore",,08867892549,24 Hours,true,true,false,false,false,Trusted Pest Control Services,,Tumkur,2025-05-31T12:10:42.933Z
